"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,3.16413,13.2541,-22.1984,-17.6054
0.0178619,3.16506,13.2392,-22.2032,-17.5968
0.121403,3.176,13.1535,-22.234,-17.5474
0.208624,3.18914,13.0795,-22.256,-17.5069
0.238848,3.194,13.0533,-22.263,-17.4935
0.308827,3.20517,12.994,-22.2799,-17.4605
0.31438,3.20601,12.9892,-22.2812,-17.458
0.346404,3.20987,12.9621,-22.2872,-17.4421
0.36563,3.21182,12.946,-22.292,-17.4328
0.36925,3.21218,12.9429,-22.293,-17.431
0.439434,3.21609,12.8826,-22.3118,-17.4004
0.450911,3.21682,12.8727,-22.3148,-17.3956
0.465602,3.21729,12.8601,-22.319,-17.3893
0.509487,3.21662,12.8217,-22.3317,-17.3723
0.548136,3.2146,12.7871,-22.3457,-17.362
0.564717,3.21303,12.7724,-22.3513,-17.3568
0.602097,3.20842,12.7387,-22.3624,-17.3452
0.739612,3.18855,12.6109,-22.3961,-17.3072
0.76716,3.18708,12.5853,-22.4038,-17.3006
0.773116,3.18692,12.5798,-22.4061,-17.2997
0.835396,3.17954,12.522,-22.4228,-17.2839
0.865891,3.17285,12.4939,-22.4311,-17.2755
0.924342,3.15897,12.439,-22.443,-17.2593
1.16844,3.11876,12.2102,-22.4889,-17.1876
1.25359,3.11135,12.1304,-22.5017,-17.1607
1.2857,3.10727,12.0998,-22.5054,-17.1519
1.4123,3.09781,11.9777,-22.52,-17.1215
1.45846,3.09635,11.9337,-22.5266,-17.1094
1.57281,3.09304,11.8264,-22.5453,-17.0746
1.66963,3.09734,11.7346,-22.5568,-17.0458
1.71052,3.0979,11.6951,-22.5627,-17.0373
1.72613,3.09784,11.6801,-22.5646,-17.0336
1.75756,3.09745,11.65,-22.5686,-17.0252
1.95957,3.10145,11.4568,-22.5923,-16.9712
2.00096,3.10387,11.4172,-22.5998,-16.9618
2.01694,3.10402,11.4019,-22.6029,-16.9585
2.07411,3.10114,11.3464,-22.6095,-16.9464
2.09405,3.0997,11.3272,-22.6121,-16.9416
2.27541,3.09488,11.1517,-22.6246,-16.8978
2.30646,3.09486,11.1222,-22.6251,-16.8881
2.312,3.0948,11.1169,-22.6253,-16.8863
2.39852,3.09342,11.0341,-22.6308,-16.862
2.44844,3.09245,10.9869,-22.634,-16.846
2.47038,3.09162,10.9659,-22.6362,-16.8401
2.54573,3.08711,10.893,-22.6411,-16.8218
2.64668,3.08217,10.796,-22.6546,-16.7971
2.69214,3.07975,10.7526,-22.6624,-16.7862
2.73818,3.07599,10.7092,-22.67,-16.7729
2.77665,3.07296,10.673,-22.6757,-16.761
2.78359,3.07236,10.6666,-22.6768,-16.7588
2.79168,3.07163,10.659,-22.6784,-16.7563
2.79891,3.07078,10.6523,-22.6796,-16.7539
3.00878,3.04163,10.4535,-22.6954,-16.6885
3.07064,3.03678,10.3953,-22.6941,-16.6676
3.07084,3.03677,10.3951,-22.6941,-16.6676
3.07927,3.03603,10.3872,-22.6943,-16.6646
3.16626,3.02688,10.3067,-22.7002,-16.6323
3.18826,3.02253,10.2857,-22.7037,-16.6266
3.37071,2.99392,10.1153,-22.7104,-16.5617
3.42454,2.98771,10.0656,-22.7124,-16.5413
3.45767,2.98337,10.035,-22.7114,-16.5285
3.46565,2.982,10.0278,-22.7112,-16.5251
3.53084,2.96732,9.96963,-22.7123,-16.4957
3.53105,2.96727,9.96943,-22.7123,-16.4956
3.54857,2.96316,9.95341,-22.7128,-16.4885
3.57478,2.95691,9.92935,-22.7131,-16.4781
