"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,3.35103,27.8281,-26.9503,-6.73218
0.0456346,3.41974,27.7893,-26.9641,-6.71245
0.094327,3.43521,27.7457,-26.9813,-6.72544
0.0996302,3.43677,27.7409,-26.9832,-6.72672
0.152569,3.45137,27.6938,-27.0028,-6.74082
0.188678,3.45948,27.6608,-27.0152,-6.74858
0.189934,3.4597,27.6596,-27.0156,-6.7489
0.247869,3.46573,27.6077,-27.0383,-6.76103
0.274005,3.46759,27.5832,-27.0461,-6.76588
0.313185,3.46039,27.5494,-27.0623,-6.77723
0.385483,3.42532,27.4876,-27.0859,-6.80636
0.39628,3.41999,27.4785,-27.0894,-6.811
0.473139,3.38209,27.4138,-27.1166,-6.84233
0.585031,3.3264,27.3139,-27.1481,-6.88175
0.821133,3.22943,27.1039,-27.2162,-6.9653
0.847219,3.22157,27.0813,-27.2248,-6.97513
0.895984,3.20447,27.0368,-27.2355,-6.99205
0.931823,3.19121,27.004,-27.2417,-7.00487
0.940932,3.18841,26.9964,-27.2455,-7.00825
1.03578,3.14983,26.9103,-27.2675,-7.04135
1.37719,3.06579,26.6051,-27.359,-7.16409
1.40238,3.06212,26.5822,-27.3646,-7.17311
1.42853,3.058,26.5588,-27.3703,-7.18313
1.44769,3.05484,26.5416,-27.3744,-7.19062
1.46594,3.05121,26.5251,-27.3773,-7.19791
1.46673,3.05102,26.5244,-27.3774,-7.19821
1.49065,3.04694,26.5034,-27.3837,-7.20764
1.53077,3.04084,26.4685,-27.3968,-7.22257
1.53192,3.04066,26.4675,-27.3972,-7.22303
1.56413,3.03241,26.4384,-27.4026,-7.23579
1.57344,3.03193,26.4312,-27.4072,-7.23947
1.86246,2.94843,26.1845,-27.4648,-7.37861
1.88534,2.9426,26.1656,-27.4696,-7.39055
1.9678,2.92224,26.096,-27.4871,-7.43116
1.96798,2.92219,26.0959,-27.4872,-7.43124
1.98993,2.91676,26.0769,-27.4915,-7.44143
2.01664,2.90929,26.0541,-27.4963,-7.45446
2.07783,2.89026,26.0005,-27.505,-7.48262
2.11323,2.88361,25.9706,-27.5138,-7.49954
2.13491,2.87946,25.9526,-27.5191,-7.51037
2.14598,2.8767,25.9432,-27.5215,-7.51559
2.19389,2.85886,25.9014,-27.5255,-7.53876
2.28802,2.8248,25.8185,-27.5326,-7.58276
2.34787,2.7977,25.7635,-27.5337,-7.60621
2.36439,2.79039,25.7481,-27.5343,-7.61214
2.39696,2.77183,25.7177,-27.5303,-7.62337
2.42021,2.76267,25.6958,-27.5327,-7.63085
2.4765,2.73437,25.6434,-27.5318,-7.65128
2.48808,2.72835,25.6327,-27.5313,-7.65576
2.5297,2.70614,25.5938,-27.5303,-7.67043
2.57448,2.68266,25.5522,-27.5296,-7.68709
2.64052,2.64681,25.4903,-27.5243,-7.70926
2.70131,2.61556,25.4331,-27.5185,-7.72902
2.77094,2.57898,25.3673,-27.5079,-7.74915
2.82972,2.5507,25.3111,-27.4994,-7.76435
2.87775,2.52917,25.2653,-27.4913,-7.77614
2.91516,2.51367,25.2294,-27.4849,-7.78468
2.91952,2.51189,25.2252,-27.4841,-7.78565
2.94432,2.50257,25.2013,-27.4802,-7.79095
2.96021,2.49651,25.186,-27.4775,-7.79419
2.96304,2.49529,25.1833,-27.477,-7.79483
3.01087,2.47736,25.1371,-27.4707,-7.80544
3.01097,2.47732,25.137,-27.4707,-7.80546
3.01903,2.47472,25.1291,-27.47,-7.80712
3.03839,2.46666,25.1106,-27.4666,-7.81141
3.11886,2.43653,25.0334,-27.4511,-7.82813
3.15405,2.42414,24.9994,-27.4455,-7.83527
3.16255,2.42145,24.9911,-27.4447,-7.8369
3.26089,2.39328,24.8957,-27.4332,-7.85802
3.337,2.37691,24.8216,-27.4231,-7.87198
3.34558,2.37508,24.8133,-27.4215,-7.8733
3.36076,2.37142,24.7987,-27.4181,-7.87577
3.4496,2.35686,24.712,-27.4035,-7.88832
3.45885,2.35601,24.7029,-27.4021,-7.88952
3.57976,2.35263,24.5838,-27.385,-7.90166
3.59667,2.3528,24.5673,-27.3818,-7.90388
3.63471,2.35463,24.5297,-27.3781,-7.90735
3.65752,2.35541,24.5071,-27.3773,-7.91044
3.67105,2.35445,24.4938,-27.3754,-7.91208
3.72537,2.35249,24.4399,-27.3709,-7.91743
3.8834,2.3615,24.2837,-27.3522,-7.93201
3.88417,2.36162,24.2829,-27.3521,-7.93206
3.92207,2.36728,24.2456,-27.346,-7.93479
3.95693,2.37273,24.2113,-27.3401,-7.9364
4.00675,2.37841,24.1626,-27.3297,-7.93842
4.10627,2.39418,24.0661,-27.3055,-7.94029
4.18213,2.41117,23.9932,-27.2845,-7.94088
4.18244,2.41121,23.9929,-27.2844,-7.94088
4.2342,2.41643,23.9449,-27.2649,-7.941
4.26059,2.42077,23.9198,-27.257,-7.94132
4.26073,2.42079,23.9196,-27.2569,-7.94132
4.26513,2.42108,23.9156,-27.2553,-7.94161
4.32319,2.42764,23.8602,-27.2379,-7.94275
4.37946,2.43642,23.8066,-27.2206,-7.94249
4.39398,2.43883,23.7928,-27.2161,-7.94201
4.40069,2.44005,23.7864,-27.2142,-7.94177
4.45345,2.45033,23.7362,-27.1983,-7.93902
4.5034,2.46071,23.6891,-27.1819,-7.93547
4.55938,2.47018,23.6385,-27.1581,-7.93255
4.65526,2.49066,23.5535,-27.1144,-7.92581
4.68046,2.49656,23.5316,-27.1022,-7.92346
4.69581,2.49886,23.519,-27.0933,-7.92284
4.71718,2.50288,23.5009,-27.082,-7.92193
4.73614,2.50625,23.4853,-27.0712,-7.92154
4.74072,2.50686,23.4816,-27.0686,-7.9213
4.77049,2.51072,23.457,-27.0519,-7.9202
4.82053,2.51698,23.4156,-27.0238,-7.92007
4.82441,2.51738,23.4125,-27.0215,-7.92016
4.83623,2.51869,23.4028,-27.0147,-7.92057
4.85494,2.52047,23.3878,-27.0036,-7.92149
4.88162,2.52231,23.3669,-26.9869,-7.92229
4.93082,2.52592,23.3296,-26.955,-7.92453
4.96205,2.52732,23.3071,-26.9334,-7.92563
5.03987,2.53159,23.2512,-26.8795,-7.93127
5.11108,2.54022,23.2,-26.8305,-7.93827
5.11156,2.54028,23.1997,-26.8302,-7.93833
5.12834,2.54225,23.1884,-26.818,-7.94056
5.12845,2.54226,23.1883,-26.8179,-7.94058
5.1347,2.54303,23.1841,-26.8133,-7.94137
5.16022,2.54614,23.1665,-26.795,-7.94406
5.19492,2.55141,23.1417,-26.771,-7.94766
5.20373,2.55243,23.1358,-26.7646,-7.94885
5.27121,2.55746,23.0913,-26.7148,-7.95826
5.27638,2.55795,23.0878,-26.7111,-7.95898
5.29181,2.55961,23.0775,-26.6999,-7.96155
5.33009,2.56453,23.0511,-26.6728,-7.9679
5.36265,2.56947,23.0286,-26.6497,-7.97266
5.36872,2.57056,23.0243,-26.6456,-7.97359
5.42922,2.58089,22.9826,-26.603,-7.98425
5.43807,2.58232,22.9766,-26.5967,-7.98555
5.45195,2.58451,22.9672,-26.5868,-7.98774
5.45625,2.58511,22.9643,-26.5837,-7.98849
5.48791,2.59029,22.9423,-26.5615,-7.99406
5.48807,2.59032,22.9422,-26.5614,-7.99409
5.52764,2.59647,22.9164,-26.5326,-8.00217
5.54014,2.59899,22.9079,-26.5238,-8.00472
5.56485,2.60473,22.8903,-26.5071,-8.00978
5.56502,2.60476,22.8902,-26.507,-8.00982
5.57499,2.60672,22.8835,-26.5,-8.01213
5.57547,2.60683,22.8832,-26.4996,-8.01224
5.63518,2.62047,22.8434,-26.4572,-8.02552
5.69141,2.63841,22.8031,-26.42,-8.03795
5.69146,2.63843,22.8031,-26.4199,-8.03796
5.703,2.64204,22.7952,-26.412,-8.04083
5.72068,2.64707,22.7832,-26.3996,-8.04474
5.76906,2.66289,22.7484,-26.3678,-8.0554
5.7691,2.6629,22.7483,-26.3677,-8.0554
5.77878,2.66597,22.7417,-26.3611,-8.0578
5.80501,2.67349,22.724,-26.3427,-8.06357
5.80552,2.67365,22.7236,-26.3423,-8.0637
5.86798,2.69242,22.6835,-26.297,-8.07899
5.87836,2.69604,22.676,-26.2902,-8.08155
5.88184,2.69714,22.6736,-26.2879,-8.08249
5.88356,2.69771,22.6725,-26.2867,-8.08293
5.95326,2.72108,22.6249,-26.2388,-8.10057
5.97497,2.72913,22.6103,-26.224,-8.10641
5.98363,2.73252,22.604,-26.2184,-8.10874
5.98372,2.73256,22.604,-26.2184,-8.10876
6.00497,2.74094,22.589,-26.2045,-8.1147
6.00817,2.74213,22.5868,-26.2023,-8.11562
6.03741,2.75205,22.5671,-26.1822,-8.12334
6.03781,2.75218,22.5668,-26.1819,-8.12345
6.08796,2.76884,22.5355,-26.1456,-8.13806
6.11138,2.77663,22.5216,-26.1282,-8.14545
6.13498,2.78537,22.5063,-26.1118,-8.15286
6.1353,2.78548,22.5061,-26.1116,-8.15297
6.17555,2.79934,22.4825,-26.0821,-8.16685
6.18023,2.801,22.4796,-26.0789,-8.16854
6.18543,2.80286,22.4762,-26.0754,-8.17041
6.18575,2.80297,22.476,-26.0751,-8.17053
6.20266,2.80859,22.4655,-26.0634,-8.17656
6.23104,2.81903,22.4465,-26.0449,-8.18662
6.2311,2.81905,22.4464,-26.0448,-8.18664
6.23622,2.82088,22.4431,-26.0415,-8.18854
6.23641,2.82095,22.443,-26.0413,-8.1886
6.28233,2.83711,22.4135,-26.01,-8.20487
6.2825,2.83717,22.4134,-26.0099,-8.20493
6.3036,2.84497,22.4002,-25.9952,-8.21217
6.30456,2.84535,22.3996,-25.9945,-8.21251
6.34344,2.86076,22.3754,-25.9673,-8.22611
6.34356,2.86081,22.3753,-25.9672,-8.22615
6.37571,2.87315,22.3562,-25.9435,-8.23653
6.37575,2.87316,22.3562,-25.9435,-8.23654
6.38517,2.87664,22.3507,-25.9365,-8.23975
6.3853,2.87668,22.3507,-25.9364,-8.23979
6.40126,2.88203,22.3418,-25.9241,-8.24488
6.40143,2.88209,22.3417,-25.924,-8.24493
6.41489,2.88702,22.3339,-25.9139,-8.24927
6.44951,2.89867,22.3146,-25.8878,-8.26127
6.44996,2.89882,22.3144,-25.8875,-8.26143
6.4684,2.9052,22.3044,-25.8733,-8.26759
6.47082,2.90605,22.3031,-25.8714,-8.26845
6.51885,2.9228,22.2778,-25.8342,-8.28537
6.52141,2.92368,22.2766,-25.8322,-8.28623
6.5492,2.93258,22.263,-25.81,-8.29609
6.62703,2.96356,22.2205,-25.7511,-8.324
6.62747,2.96376,22.2202,-25.7508,-8.32416
6.63712,2.96819,22.2147,-25.7437,-8.32764
6.63876,2.96885,22.2138,-25.7425,-8.32824
6.68768,2.98758,22.1882,-25.7044,-8.34521
6.68801,2.98771,22.188,-25.7041,-8.34534
6.70824,2.99537,22.1778,-25.6883,-8.35279
6.70837,2.99542,22.1778,-25.6882,-8.35285
6.74143,3.00766,22.1617,-25.6623,-8.36566
6.7471,3.0093,22.1592,-25.6577,-8.36776
6.74889,3.00973,22.1585,-25.6562,-8.36846
6.75676,3.01157,22.1552,-25.6498,-8.3716
6.75786,3.01183,22.1548,-25.6489,-8.37204
6.77995,3.01666,22.1454,-25.6311,-8.38126
6.79314,3.01929,22.1401,-25.6205,-8.38699
6.80374,3.02156,22.1356,-25.6121,-8.39161
6.82344,3.02532,22.1277,-25.596,-8.39978
6.82357,3.02535,22.1276,-25.5959,-8.39983
6.83878,3.02872,22.121,-25.5838,-8.40622
6.86802,3.03445,22.1089,-25.5604,-8.41903
6.89473,3.03876,22.0989,-25.5382,-8.42982
6.89477,3.03877,22.0988,-25.5381,-8.42984
6.9035,3.04028,22.0956,-25.5308,-8.43331
6.90373,3.04033,22.0955,-25.5306,-8.43341
6.9231,3.04408,22.0879,-25.5146,-8.44116
6.92316,3.04409,22.0879,-25.5145,-8.44118
6.93051,3.04531,22.0852,-25.5084,-8.44426
6.93217,3.04563,22.0846,-25.5071,-8.44497
6.98245,3.05532,22.0661,-25.4654,-8.46628
7.00095,3.0588,22.0597,-25.4501,-8.47442
7.02668,3.06076,22.0524,-25.4281,-8.48561
7.0342,3.06129,22.0501,-25.4217,-8.48876
7.06387,3.06295,22.0409,-25.3962,-8.50084
7.10769,3.06524,22.0274,-25.3591,-8.51984
7.14762,3.06781,22.0126,-25.327,-8.53847
7.20898,3.06938,21.9894,-25.2775,-8.56638
7.2261,3.0695,21.9831,-25.2639,-8.57454
7.2656,3.06906,21.9683,-25.2319,-8.5924
7.27191,3.06893,21.9659,-25.2269,-8.59537
7.36587,3.06729,21.9322,-25.1526,-8.64206
7.38161,3.06628,21.9265,-25.1402,-8.64982
7.46711,3.06246,21.8941,-25.0747,-8.69419
7.47786,3.0612,21.891,-25.066,-8.69982
7.53692,3.05587,21.8682,-25.0216,-8.73127
7.54509,3.05485,21.865,-25.0152,-8.73534
7.66837,3.03867,21.8205,-24.9186,-8.79765
7.67076,3.03849,21.8198,-24.9167,-8.79887
7.74174,3.03324,21.7959,-24.8614,-8.8365
7.74356,3.033,21.7952,-24.8601,-8.83752
7.81172,3.02418,21.7751,-24.8063,-8.87429
7.85497,3.01965,21.7616,-24.7732,-8.89854
7.87605,3.01628,21.7556,-24.7564,-8.90978
7.90913,3.01056,21.7471,-24.73,-8.92782
8.01298,2.99529,21.717,-24.6469,-8.98238
8.06429,2.98887,21.7001,-24.6058,-9.00801
8.18104,2.97932,21.6628,-24.514,-9.06973
8.18176,2.9793,21.6626,-24.5134,-9.07013
8.22639,2.97807,21.6495,-24.4785,-9.09467
8.24216,2.97762,21.6451,-24.4663,-9.10363
8.25502,2.97712,21.6417,-24.4564,-9.11103
8.3568,2.97367,21.6132,-24.3768,-9.1677
8.4443,2.96668,21.5922,-24.3051,-9.21332
8.48225,2.96336,21.5845,-24.2732,-9.23242
8.49774,2.962,21.5813,-24.2604,-9.24049
8.58563,2.95508,21.5645,-24.1886,-9.28835
8.63446,2.95233,21.5552,-24.1498,-9.31646
8.7329,2.94201,21.5438,-24.0687,-9.37109
8.74255,2.94111,21.5425,-24.0607,-9.37623
8.74843,2.94011,21.5419,-24.0556,-9.37924
8.85614,2.92534,21.5254,-23.9667,-9.43772
8.95602,2.91483,21.5027,-23.8884,-9.49548
8.96791,2.91405,21.4995,-23.8795,-9.50269
8.97012,2.91381,21.4989,-23.8779,-9.50398
9.04571,2.90633,21.4816,-23.8194,-9.54865
9.05247,2.90568,21.4801,-23.814,-9.55248
9.05312,2.90561,21.48,-23.8135,-9.55285
9.05561,2.90526,21.4795,-23.8115,-9.55428
9.12401,2.89563,21.4649,-23.7567,-9.59244
9.1377,2.89374,21.4622,-23.7457,-9.60025
9.2966,2.88313,21.4343,-23.6143,-9.68511
9.37111,2.8837,21.4291,-23.5509,-9.72389
9.39511,2.88458,21.4248,-23.5312,-9.73682
9.41156,2.8851,21.4221,-23.5179,-9.74611
9.46233,2.88734,21.4106,-23.4784,-9.77599
9.48373,2.88785,21.4055,-23.4614,-9.78784
9.50341,2.88799,21.4007,-23.4455,-9.79842
9.56214,2.89039,21.3845,-23.3996,-9.83133
9.62478,2.89204,21.3685,-23.3495,-9.86531
9.76436,2.9058,21.3351,-23.2397,-9.94475
9.77719,2.90759,21.3318,-23.2294,-9.95174
9.83021,2.91367,21.3195,-23.1877,-9.98203
9.84865,2.91541,21.3146,-23.173,-9.99208
9.85527,2.91593,21.3127,-23.1677,-9.99556
9.87873,2.91753,21.3066,-23.1486,-10.0077
9.89451,2.91798,21.3027,-23.136,-10.0163
9.9403,2.91645,21.2895,-23.0986,-10.0392
9.9672,2.91517,21.2816,-23.0772,-10.0535
10.0267,2.90647,21.2723,-23.0279,-10.0854
10.0718,2.89753,21.2667,-22.9907,-10.1105
10.105,2.8913,21.2626,-22.9629,-10.128
10.1544,2.88221,21.2542,-22.9216,-10.1538
10.1565,2.88174,21.254,-22.9199,-10.1549
10.2345,2.86748,21.2413,-22.854,-10.1947
10.2364,2.86711,21.2411,-22.8524,-10.1958
10.2885,2.8555,21.2388,-22.8095,-10.2251
10.2886,2.85548,21.2388,-22.8094,-10.2252
10.2927,2.85459,21.2385,-22.8059,-10.2274
10.3194,2.84807,21.2366,-22.7838,-10.2422
10.3859,2.83118,21.2303,-22.7283,-10.2784
10.4196,2.82326,21.2277,-22.6998,-10.2962
10.4629,2.8135,21.2233,-22.6636,-10.3195
10.4762,2.81019,21.2227,-22.6524,-10.3267
10.5108,2.80024,21.2206,-22.6233,-10.3453
10.5712,2.7843,21.2152,-22.5717,-10.3762
10.6514,2.76091,21.2078,-22.5033,-10.4172
10.6672,2.75616,21.2052,-22.4895,-10.4247
10.7247,2.73619,21.1986,-22.4406,-10.4542
10.7732,2.71892,21.1936,-22.399,-10.4786
10.7833,2.71489,21.1932,-22.3904,-10.484
10.8005,2.70635,21.1909,-22.3762,-10.4934
10.8614,2.67446,21.1795,-22.3253,-10.5248
10.8665,2.6715,21.1777,-22.3212,-10.5273
11.0043,2.58691,21.1552,-22.2123,-10.6085
11.0443,2.56311,21.1478,-22.1807,-10.6321
11.062,2.55247,21.1446,-22.1665,-10.642
11.0735,2.54505,21.1424,-22.1575,-10.6488
11.0817,2.53966,21.1402,-22.1509,-10.6532
11.1375,2.50773,21.1132,-22.1079,-10.6764
11.1407,2.50543,21.1131,-22.1054,-10.6784
11.3704,2.37583,21.0866,-21.9251,-10.8182
11.3983,2.36426,21.0849,-21.9039,-10.8363
11.4388,2.34708,21.0879,-21.8739,-10.8633
11.4458,2.34386,21.0879,-21.8684,-10.8675
11.4894,2.32338,21.0844,-21.8338,-10.8938
11.4909,2.32266,21.0842,-21.8325,-10.8947
11.5509,2.29375,21.0729,-21.784,-10.9282
11.7354,2.23301,21.0349,-21.6378,-11.034
11.7778,2.22535,21.0241,-21.6047,-11.0583
11.7955,2.22115,21.0233,-21.5913,-11.0698
11.8297,2.21295,21.022,-21.566,-11.0927
11.911,2.19583,21,-21.5022,-11.1382
11.9256,2.19261,20.9961,-21.4903,-11.1456
12.165,2.15946,20.9823,-21.308,-11.3003
12.1905,2.15807,20.9803,-21.2888,-11.3169
12.1981,2.1576,20.9797,-21.2831,-11.322
12.2031,2.15725,20.9794,-21.2795,-11.3253
12.2044,2.15717,20.9791,-21.2785,-11.3261
12.2118,2.15639,20.9783,-21.2729,-11.3308
12.2749,2.15116,20.9668,-21.2244,-11.3696
12.2814,2.15069,20.9655,-21.2195,-11.3737
12.3227,2.14737,20.9578,-21.1879,-11.3991
12.34,2.14606,20.9543,-21.1745,-11.4095
12.3435,2.14573,20.9537,-21.1718,-11.4115
12.3809,2.14145,20.9467,-21.143,-11.4344
12.4005,2.13925,20.9437,-21.1282,-11.447
12.4595,2.13344,20.9314,-21.0849,-11.4851
12.4699,2.13237,20.9289,-21.077,-11.4913
12.5273,2.12631,20.9168,-21.0347,-11.5283
12.547,2.12299,20.9164,-21.0204,-11.5418
12.5825,2.11699,20.9109,-20.9941,-11.5649
12.5868,2.11617,20.9104,-20.9909,-11.5677
12.6389,2.10616,20.9073,-20.9532,-11.6037
12.6567,2.10282,20.9064,-20.9408,-11.6163
12.6644,2.1009,20.9061,-20.9352,-11.6217
12.6724,2.09894,20.9042,-20.9291,-11.6265
