"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.92497,13.2937,-22.0892,-17.7335
0.121125,3.09052,13.2657,-22.1724,-17.65
0.223938,3.15208,13.1994,-22.2029,-17.5776
0.229156,3.15543,13.1961,-22.2043,-17.5738
0.254299,3.17184,13.18,-22.2118,-17.556
0.335198,3.1839,13.1124,-22.2358,-17.5186
0.392364,3.19335,13.0635,-22.2503,-17.4928
0.394286,3.19368,13.0618,-22.2507,-17.4919
0.432496,3.19958,13.0293,-22.2606,-17.4744
0.436214,3.20015,13.0262,-22.2619,-17.473
0.469545,3.20506,12.9978,-22.2725,-17.459
0.483949,3.20699,12.9857,-22.277,-17.4527
0.51786,3.20982,12.9572,-22.2859,-17.4366
0.528165,3.21077,12.9485,-22.2887,-17.4317
0.597449,3.21445,12.8889,-22.3057,-17.4009
0.59968,3.21457,12.887,-22.3063,-17.3999
0.615155,3.21555,12.8735,-22.3104,-17.3934
0.635333,3.2162,12.8563,-22.3162,-17.3847
0.675227,3.21662,12.8217,-22.3317,-17.3723
0.713876,3.2146,12.7871,-22.3457,-17.362
0.730457,3.21303,12.7724,-22.3513,-17.3568
0.767837,3.20842,12.7387,-22.3624,-17.3452
0.905352,3.18855,12.6109,-22.3961,-17.3072
0.9329,3.18708,12.5853,-22.4038,-17.3006
0.938856,3.18692,12.5798,-22.4061,-17.2997
1.00114,3.17954,12.522,-22.4228,-17.2839
1.03163,3.17285,12.4939,-22.4311,-17.2755
1.09008,3.15897,12.439,-22.443,-17.2593
1.33418,3.11876,12.2102,-22.4889,-17.1876
1.41933,3.11135,12.1304,-22.5017,-17.1607
1.45144,3.10727,12.0998,-22.5054,-17.1519
1.57804,3.09781,11.9777,-22.52,-17.1215
1.6242,3.09635,11.9337,-22.5266,-17.1094
1.73855,3.09304,11.8264,-22.5453,-17.0746
1.83537,3.09734,11.7346,-22.5568,-17.0458
1.87626,3.0979,11.6951,-22.5627,-17.0373
1.89187,3.09784,11.6801,-22.5646,-17.0336
1.9233,3.09745,11.65,-22.5686,-17.0252
2.12531,3.10145,11.4568,-22.5923,-16.9712
2.1667,3.10387,11.4172,-22.5998,-16.9618
2.18268,3.10402,11.4019,-22.6029,-16.9585
2.23985,3.10114,11.3464,-22.6095,-16.9464
2.25979,3.0997,11.3272,-22.6121,-16.9416
2.44115,3.09488,11.1517,-22.6246,-16.8978
2.4722,3.09486,11.1222,-22.6251,-16.8881
2.47774,3.0948,11.1169,-22.6253,-16.8863
2.56426,3.09342,11.0341,-22.6308,-16.862
