"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,1.30051,13.4236,9.83135,-28.2832
0.0431151,1.29278,13.3915,9.85196,-28.3032
0.106847,1.27667,13.3521,9.88847,-28.3376
0.156579,1.26569,13.3129,9.91218,-28.357
0.261459,1.25322,13.243,9.97777,-28.3995
0.296957,1.25256,13.219,9.99838,-28.4156
0.361756,1.24304,13.1712,10.0326,-28.4428
0.462433,1.24004,13.0959,10.0889,-28.4788
0.464167,1.24005,13.0946,10.09,-28.4793
0.505667,1.23895,13.0639,10.1138,-28.4939
0.506485,1.23888,13.0634,10.1142,-28.4943
0.655563,1.24504,12.9632,10.2091,-28.5508
0.665907,1.24649,12.9558,10.2156,-28.554
0.717489,1.25254,12.9203,10.2477,-28.5732
0.882009,1.28851,12.807,10.3518,-28.6313
0.902146,1.29524,12.7906,10.3624,-28.6365
0.919674,1.30078,12.777,10.372,-28.642
0.971288,1.31623,12.7389,10.4037,-28.6563
1.04095,1.33998,12.6837,10.4404,-28.6777
1.08319,1.35608,12.6501,10.4637,-28.6882
1.10693,1.36577,12.6319,10.4775,-28.695
1.12377,1.37184,12.6192,10.4878,-28.6989
1.19643,1.39975,12.5615,10.5282,-28.7168
1.24022,1.41787,12.5265,10.5509,-28.7301
1.24093,1.41818,12.526,10.5514,-28.7303
1.27565,1.4332,12.5021,10.5741,-28.7409
1.3571,1.47112,12.4419,10.6257,-28.7597
1.42337,1.50725,12.3982,10.6707,-28.781
1.42351,1.50732,12.3981,10.6708,-28.7811
1.43493,1.5133,12.3902,10.6786,-28.784
1.46464,1.52634,12.3688,10.6971,-28.793
1.50653,1.54434,12.3364,10.7216,-28.8032
1.58648,1.57919,12.2702,10.7647,-28.8156
1.58679,1.57931,12.27,10.7648,-28.8157
1.67253,1.61442,12.2043,10.8171,-28.8334
1.6837,1.61914,12.1957,10.824,-28.8352
1.72395,1.63263,12.1632,10.8462,-28.8434
1.81826,1.66868,12.0902,10.9041,-28.8583
1.83054,1.67366,12.0807,10.9117,-28.8596
1.88018,1.68902,12.0419,10.9415,-28.8682
1.89682,1.69373,12.0289,10.9516,-28.87
1.9571,1.70746,11.9799,10.9854,-28.88
1.96989,1.71007,11.9699,10.9932,-28.8814
1.99085,1.71284,11.9535,11.0062,-28.8826
2.0528,1.71862,11.9039,11.0426,-28.8896
2.07202,1.71973,11.888,11.053,-28.8928
2.09149,1.71989,11.8717,11.0633,-28.8949
2.15384,1.72018,11.8173,11.0937,-28.899
2.18699,1.71995,11.7938,11.1166,-28.9032
2.22633,1.71795,11.7638,11.1411,-28.9104
2.23369,1.71741,11.7581,11.1457,-28.9113
2.28454,1.71233,11.7185,11.1771,-28.9165
2.2979,1.71078,11.7081,11.1852,-28.9185
2.30039,1.7106,11.7064,11.187,-28.919
2.33411,1.70382,11.6815,11.2091,-28.9242
2.37635,1.69368,11.6524,11.2383,-28.9335
2.37838,1.69283,11.6509,11.2396,-28.9338
2.41828,1.6753,11.6201,11.2629,-28.9438
2.43373,1.66765,11.608,11.2717,-28.9478
2.51153,1.63135,11.5514,11.3205,-28.9694
2.54393,1.61496,11.5277,11.3401,-28.9796
2.55364,1.60994,11.5206,11.3458,-28.9829
2.55872,1.60716,11.5169,11.3489,-28.9846
2.57342,1.59858,11.506,11.3572,-28.9899
2.57637,1.59685,11.5039,11.3589,-28.9909
2.7121,1.52379,11.4049,11.4424,-29.0319
2.78359,1.49109,11.3523,11.4867,-29.0512
2.83093,1.4719,11.3201,11.5178,-29.0665
2.9217,1.43369,11.2593,11.5799,-29.0928
2.99852,1.4018,11.2073,11.6326,-29.1135
3.0296,1.39046,11.1879,11.6545,-29.1237
3.04972,1.38362,11.1752,11.6685,-29.1308
3.10272,1.36372,11.1396,11.7042,-29.1472
3.14776,1.3483,11.1085,11.7335,-29.1612
3.31423,1.31025,11.0046,11.8537,-29.211
3.35226,1.30772,10.9782,11.8776,-29.2244
3.38099,1.30406,10.9595,11.8974,-29.2335
3.49273,1.30022,10.8909,11.9805,-29.2629
3.55537,1.29752,10.8476,12.0237,-29.2764
3.62844,1.30022,10.8005,12.0772,-29.2925
3.68717,1.30815,10.7638,12.1204,-29.3079
3.70577,1.31113,10.7515,12.1333,-29.3133
3.71421,1.31246,10.7459,12.1393,-29.3154
3.75676,1.31923,10.717,12.1689,-29.3251
3.77408,1.32222,10.7054,12.1814,-29.3285
3.80768,1.32642,10.6836,12.2054,-29.3371
3.80822,1.32654,10.6832,12.2058,-29.3373
3.85311,1.33596,10.656,12.2393,-29.3495
3.87394,1.34032,10.6427,12.2541,-29.3559
3.88394,1.34186,10.6366,12.2613,-29.359
3.93051,1.34616,10.6062,12.2942,-29.3717
3.93084,1.34622,10.6059,12.2944,-29.3718
3.97115,1.35378,10.5774,12.3211,-29.3817
3.99579,1.35854,10.5608,12.338,-29.3886
3.99985,1.35917,10.5582,12.3409,-29.3898
3.99998,1.35918,10.5582,12.341,-29.3898
4.0319,1.3628,10.5377,12.3645,-29.3967
4.12266,1.38016,10.4848,12.435,-29.4182
4.17491,1.38068,10.4543,12.477,-29.4245
4.19928,1.3796,10.4393,12.4957,-29.4292
4.25039,1.37618,10.4046,12.5327,-29.4345
4.2557,1.37591,10.401,12.5366,-29.4348
4.31793,1.37499,10.3605,12.5838,-29.438
4.33274,1.37453,10.3503,12.5945,-29.4392
4.37385,1.37467,10.3236,12.6256,-29.4418
4.38432,1.37468,10.3167,12.6335,-29.442
4.45496,1.37235,10.2708,12.6867,-29.449
4.47939,1.37233,10.2554,12.7057,-29.4499
4.49967,1.37091,10.2426,12.7213,-29.4516
4.59508,1.36958,10.1791,12.7926,-29.4534
4.68675,1.37036,10.1153,12.8583,-29.4561
4.72354,1.37313,10.091,12.8859,-29.4562
4.73036,1.37349,10.0866,12.8911,-29.4566
4.80807,1.38029,10.0366,12.9506,-29.4566
4.80893,1.38038,10.0362,12.9513,-29.4566
4.84997,1.38265,10.0124,12.9845,-29.4607
4.99104,1.40705,9.9201,13.0912,-29.4629
5.03181,1.41798,9.89195,13.1207,-29.4631
5.06549,1.42807,9.86847,13.1448,-29.4644
5.07602,1.43127,9.86163,13.1528,-29.4647
5.09834,1.43708,9.8469,13.1694,-29.4667
5.19451,1.46601,9.78102,13.2394,-29.4695
5.19861,1.46748,9.77791,13.2421,-29.4694
5.25958,1.48921,9.73337,13.2838,-29.4698
5.27698,1.49657,9.72215,13.2971,-29.4696
5.29674,1.50442,9.70936,13.3121,-29.4704
5.29693,1.5045,9.70924,13.3122,-29.4704
5.34513,1.52278,9.678,13.3486,-29.4752
5.35829,1.5278,9.66879,13.358,-29.4762
5.3872,1.53898,9.64863,13.3787,-29.4776
5.3986,1.54329,9.64067,13.3868,-29.4779
5.40482,1.54565,9.63692,13.3918,-29.4778
5.43931,1.55778,9.61495,13.4183,-29.4794
5.46071,1.56465,9.60097,13.4343,-29.482
5.49824,1.57847,9.57863,13.4643,-29.4855
5.49916,1.57878,9.57804,13.465,-29.4855
5.5365,1.59123,9.55376,13.4933,-29.4871
5.53728,1.59152,9.5533,13.4939,-29.4871
5.63129,1.62718,9.49523,13.5673,-29.4957
5.63136,1.62721,9.49519,13.5674,-29.4957
5.64705,1.63342,9.48491,13.5789,-29.4984
5.66314,1.63859,9.47395,13.5906,-29.5003
5.68348,1.64564,9.46108,13.6062,-29.5022
5.70031,1.65211,9.45133,13.6199,-29.5031
5.76691,1.67482,9.4088,13.6711,-29.5038
5.86766,1.70765,9.33817,13.7417,-29.5176
5.86776,1.70769,9.33811,13.7417,-29.5176
5.88026,1.71339,9.33008,13.7512,-29.5191
5.8902,1.71791,9.32408,13.7591,-29.52
5.9057,1.72364,9.31402,13.7708,-29.5209
5.95013,1.73852,9.28364,13.8028,-29.5263
5.95051,1.73863,9.28336,13.803,-29.5264
5.96391,1.74225,9.27354,13.8121,-29.5273
5.98128,1.74675,9.26074,13.8237,-29.5291
6.00331,1.75283,9.24548,13.8395,-29.531
6.00879,1.75403,9.24154,13.8432,-29.5318
6.02738,1.75842,9.22862,13.8563,-29.5345
6.03611,1.76064,9.22291,13.8628,-29.5357
6.14145,1.79399,9.15227,13.9387,-29.5541
6.14764,1.79606,9.1481,13.9431,-29.5556
6.14875,1.79634,9.14737,13.9439,-29.5558
6.15684,1.79809,9.14186,13.9496,-29.5572
6.18692,1.80344,9.12206,13.9714,-29.5634
6.20614,1.80616,9.10696,13.9831,-29.5656
6.239,1.80846,9.08205,14.0044,-29.5676
6.30998,1.80803,9.02779,14.0501,-29.5706
6.38328,1.80785,8.97854,14.1032,-29.5821
6.3945,1.80791,8.97101,14.1114,-29.5835
6.40544,1.80611,8.96306,14.1187,-29.585
6.44472,1.79922,8.93739,14.148,-29.5902
6.56289,1.77929,8.85485,14.2305,-29.6089
6.6398,1.76583,8.79768,14.2807,-29.6198
6.64926,1.76362,8.7907,14.2868,-29.6219
