Distance,Diameter,Radius,,text,,,FFR
0,1.92982,0.96491,,0 0.96491 0,,,0.77
0.00138845,1.9319,0.96595,,0.00138845 0.96595 0,,,
0.0232994,1.96381,0.981905,,0.0232994 0.981905 0,,,
0.0502889,1.97209,0.986045,,0.0502889 0.986045 0,,,
0.0730312,1.9787,0.98935,,0.0730312 0.98935 0,,,
0.0757822,1.97944,0.98972,,0.0757822 0.98972 0,,,
0.160208,2.00652,1.00326,,0.160208 1.00326 0,,,
0.182772,2.01427,1.007135,,0.182772 1.007135 0,,,
0.194912,2.01847,1.009235,,0.194912 1.009235 0,,,
0.205063,2.02176,1.01088,,0.205063 1.01088 0,,,
0.223582,2.02756,1.01378,,0.223582 1.01378 0,,,
0.240391,2.03206,1.01603,,0.240391 1.01603 0,,,
0.255353,2.03564,1.01782,,0.255353 1.01782 0,,,
0.266337,2.03835,1.019175,,0.266337 1.019175 0,,,
0.302587,2.04682,1.02341,,0.302587 1.02341 0,,,
0.306962,2.04779,1.023895,,0.306962 1.023895 0,,,
0.321953,2.05106,1.02553,,0.321953 1.02553 0,,,
0.34952,2.05712,1.02856,,0.34952 1.02856 0,,,
0.367288,2.06088,1.03044,,0.367288 1.03044 0,,,
0.43266,2.07656,1.03828,,0.43266 1.03828 0,,,
0.437727,2.07779,1.038895,,0.437727 1.038895 0,,,
0.469512,2.08489,1.042445,,0.469512 1.042445 0,,,
0.491482,2.08894,1.04447,,0.491482 1.04447 0,,,
0.522557,2.09472,1.04736,,0.522557 1.04736 0,,,
0.591118,2.10922,1.05461,,0.591118 1.05461 0,,,
0.59485,2.11001,1.055005,,0.59485 1.055005 0,,,
0.621986,2.11596,1.05798,,0.621986 1.05798 0,,,
0.62614,2.1168,1.0584,,0.62614 1.0584 0,,,
0.671491,2.12555,1.062775,,0.671491 1.062775 0,,,
0.67267,2.1258,1.0629,,0.67267 1.0629 0,,,
0.685457,2.12854,1.06427,,0.685457 1.06427 0,,,
0.687366,2.12889,1.064445,,0.687366 1.064445 0,,,
0.730945,2.13597,1.067985,,0.730945 1.067985 0,,,
0.737159,2.13701,1.068505,,0.737159 1.068505 0,,,
0.789871,2.14411,1.072055,,0.789871 1.072055 0,,,
0.805478,2.14626,1.07313,,0.805478 1.07313 0,,,
0.812433,2.14724,1.07362,,0.812433 1.07362 0,,,
0.82261,2.14907,1.074535,,0.82261 1.074535 0,,,
0.825405,2.14927,1.074635,,0.825405 1.074635 0,,,
0.850643,2.14928,1.07464,,0.850643 1.07464 0,,,
0.856404,2.14888,1.07444,,0.856404 1.07444 0,,,
0.921965,2.14554,1.07277,,0.921965 1.07277 0,,,
0.934726,2.14502,1.07251,,0.934726 1.07251 0,,,
0.965104,2.14367,1.071835,,0.965104 1.071835 0,,,
0.982349,2.14307,1.071535,,0.982349 1.071535 0,,,
1.02708,2.14082,1.07041,,1.02708 1.07041 0,,,
1.06273,2.13624,1.06812,,1.06273 1.06812 0,,,
1.09156,2.13275,1.066375,,1.09156 1.066375 0,,,
1.09214,2.13267,1.066335,,1.09214 1.066335 0,,,
1.12219,2.12927,1.064635,,1.12219 1.064635 0,,,
1.1937,2.12428,1.06214,,1.1937 1.06214 0,,,
1.22078,2.12046,1.06023,,1.22078 1.06023 0,,,
