"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,3.29139,14.5085,-29.3039,-3.9208
0.0593345,3.27429,14.4497,-29.3065,-3.92865
0.344604,3.18019,14.1685,-29.3341,-3.96736
0.415899,3.16051,14.0972,-29.3344,-3.97027
0.498278,3.1319,14.0156,-29.337,-3.98106
0.721137,3.06893,13.7928,-29.3335,-3.98647
0.871237,3.01015,13.6432,-29.3345,-3.99771
0.891596,3.00028,13.6231,-29.3377,-3.9996
0.942602,2.9725,13.5728,-29.3427,-4.00612
0.972128,2.95365,13.5435,-29.3432,-4.01009
1.10623,2.86345,13.4114,-29.3584,-4.02713
1.13721,2.84226,13.381,-29.3608,-4.03257
1.1886,2.80295,13.3315,-29.3708,-4.04211
1.32134,2.70423,13.204,-29.3931,-4.07167
1.34058,2.69106,13.185,-29.394,-4.07408
1.5133,2.56866,13.0134,-29.4083,-4.08764
1.77732,2.42591,12.7511,-29.4093,-4.11765
1.80398,2.41527,12.7246,-29.4068,-4.12021
1.88465,2.38152,12.6456,-29.3912,-4.11636
2.32823,2.24545,12.2051,-29.4127,-4.16387
2.35555,2.24096,12.1779,-29.4136,-4.1668
2.36078,2.23966,12.1728,-29.4145,-4.16744
2.5839,2.20512,11.9565,-29.4509,-4.20844
2.66945,2.20059,11.874,-29.4637,-4.2271
2.76415,2.1987,11.7847,-29.4791,-4.25448
2.80732,2.19717,11.7442,-29.4896,-4.26513
2.83107,2.19453,11.7216,-29.4955,-4.26928
2.95893,2.17713,11.5993,-29.5171,-4.29976
3.05798,2.1762,11.5043,-29.5275,-4.32583
3.08142,2.17589,11.482,-29.5286,-4.33301
3.12255,2.1724,11.4422,-29.5312,-4.34314
3.12438,2.17213,11.4405,-29.5313,-4.34364
3.23661,2.15085,11.3325,-29.5448,-4.37111
3.30404,2.14101,11.2683,-29.5502,-4.39088
3.37255,2.12954,11.2022,-29.5584,-4.40725
3.38006,2.12772,11.1951,-29.5591,-4.40957
3.39525,2.12299,11.1806,-29.5611,-4.41341
3.42831,2.11318,11.1488,-29.5656,-4.42127
3.59639,2.0761,10.9832,-29.5872,-4.44016
3.62418,2.06905,10.9558,-29.5912,-4.44293
3.76457,2.03011,10.8182,-29.6165,-4.45479
