"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.33427,17.9718,-26.714,-13.587
1.06624e-05,2.33427,17.9718,-26.714,-13.587
0.00144888,2.33432,17.9705,-26.714,-13.5864
0.00149807,2.33432,17.9705,-26.714,-13.5864
0.0136537,2.33393,17.9596,-26.7148,-13.581
0.0922934,2.33257,17.8915,-26.7127,-13.5417
0.105067,2.33266,17.8805,-26.7118,-13.5353
0.16407,2.33122,17.8299,-26.7098,-13.505
0.204725,2.33232,17.7947,-26.7077,-13.4848
0.231532,2.33315,17.7703,-26.7083,-13.4737
0.233252,2.33321,17.7688,-26.7083,-13.4729
0.30896,2.33502,17.7068,-26.6996,-13.4303
0.318468,2.3353,17.6985,-26.6989,-13.4257
0.346279,2.33503,17.6743,-26.6978,-13.412
0.394723,2.33515,17.6321,-26.6947,-13.3885
0.413477,2.33497,17.6172,-26.6919,-13.3774
0.414219,2.33496,17.6166,-26.6918,-13.377
0.481996,2.33457,17.5555,-26.6926,-13.3477
0.498215,2.33439,17.5409,-26.6931,-13.3406
0.52633,2.33459,17.5153,-26.6934,-13.3289
0.581788,2.33549,17.4651,-26.6958,-13.3055
0.58179,2.33549,17.4651,-26.6958,-13.3055
0.582106,2.33548,17.4649,-26.6958,-13.3053
0.632707,2.33391,17.42,-26.6938,-13.282
0.64274,2.33351,17.4116,-26.6926,-13.2766
0.645311,2.33335,17.4094,-26.6924,-13.2753
0.645814,2.33331,17.409,-26.6923,-13.2751
0.731496,2.33122,17.3315,-26.6922,-13.2385
0.742557,2.33107,17.3213,-26.6928,-13.2343
0.814981,2.3295,17.2541,-26.6929,-13.2073
0.820011,2.32933,17.2495,-26.6927,-13.2051
0.835978,2.32904,17.2347,-26.6926,-13.1992
0.873252,2.32778,17.2033,-26.6874,-13.1799
0.950826,2.3261,17.1325,-26.6848,-13.1482
0.950985,2.3261,17.1324,-26.6848,-13.1481
0.990795,2.32626,17.0958,-26.6859,-13.1323
1.03975,2.32731,17.0507,-26.686,-13.1134
1.10227,2.32682,16.9961,-26.6811,-13.0833
1.14692,2.3273,16.9556,-26.6783,-13.0648
1.15792,2.32754,16.9455,-26.6774,-13.0604
1.22062,2.3296,16.889,-26.6723,-13.0339
1.22512,2.3299,16.8849,-26.672,-13.0319
1.2669,2.33297,16.8484,-26.6671,-13.0121
1.29264,2.33473,16.8257,-26.6645,-13.0004
1.31101,2.33595,16.8096,-26.6629,-12.9917
1.32097,2.33657,16.8004,-26.6628,-12.9878
1.32108,2.33658,16.8003,-26.6628,-12.9878
1.34831,2.33818,16.7751,-26.662,-12.9775
1.3487,2.33821,16.7747,-26.662,-12.9774
1.35492,2.33859,16.769,-26.6618,-12.9751
1.38543,2.33954,16.742,-26.6589,-12.9611
1.39271,2.33974,16.7355,-26.6583,-12.9578
1.50448,2.34863,16.636,-26.6475,-12.9082
1.54337,2.35264,16.6015,-26.6434,-12.8905
1.56804,2.35574,16.5791,-26.6416,-12.8805
1.57518,2.35661,16.5726,-26.641,-12.8776
1.61085,2.3605,16.5399,-26.6373,-12.8639
1.65315,2.36588,16.5013,-26.6339,-12.8468
1.66618,2.36754,16.4892,-26.6332,-12.842
1.6795,2.36968,16.477,-26.6321,-12.8367
1.74448,2.38069,16.4186,-26.6267,-12.8088
1.75244,2.3822,16.4114,-26.6261,-12.8056
1.80602,2.39187,16.3637,-26.6215,-12.7816
1.80625,2.39192,16.3635,-26.6215,-12.7815
1.82051,2.39497,16.3503,-26.621,-12.776
1.8266,2.3961,16.3446,-26.6208,-12.7739
1.87347,2.4042,16.3005,-26.6217,-12.7582
1.91589,2.41158,16.2616,-26.6185,-12.7414
1.94387,2.41657,16.2363,-26.617,-12.7296
1.958,2.41908,16.2235,-26.6162,-12.7236
1.99716,2.42584,16.1884,-26.6121,-12.7068
2.0777,2.44222,16.1172,-26.6049,-12.6699
2.08189,2.44302,16.1138,-26.6043,-12.6675
2.1463,2.45444,16.0581,-26.5974,-12.6359
2.15442,2.456,16.0507,-26.5975,-12.6326
2.15469,2.45603,16.0504,-26.5975,-12.6325
2.1619,2.45705,16.0441,-26.5974,-12.6291
2.23717,2.46772,15.9762,-26.5962,-12.5967
2.23728,2.46774,15.9761,-26.5962,-12.5966
2.26604,2.47235,15.9507,-26.5958,-12.583
2.2671,2.47249,15.9498,-26.5957,-12.5826
2.29906,2.47669,15.9213,-26.5944,-12.5682
2.34173,2.48055,15.8844,-26.5931,-12.5467
2.37363,2.4814,15.8569,-26.594,-12.5306
2.41434,2.48191,15.8215,-26.5941,-12.5106
2.45307,2.48231,15.7883,-26.5953,-12.4906
2.50744,2.48323,15.7411,-26.5954,-12.4636
2.52678,2.48326,15.7251,-26.5952,-12.4527
2.54436,2.48331,15.7111,-26.5946,-12.4421
2.55403,2.48289,15.7029,-26.5945,-12.437
2.58396,2.48143,15.6778,-26.5947,-12.4207
2.58609,2.48133,15.676,-26.5948,-12.4196
2.6606,2.47968,15.6137,-26.5982,-12.3787
2.67241,2.47948,15.6039,-26.5988,-12.3723
2.70935,2.47988,15.5731,-26.6022,-12.3521
2.76231,2.48116,15.5288,-26.6057,-12.3234
2.80998,2.47984,15.4899,-26.6071,-12.2957
2.86643,2.47903,15.4423,-26.6136,-12.2662
2.86759,2.47899,15.4413,-26.6137,-12.2656
2.89905,2.47702,15.4147,-26.6148,-12.2489
2.97885,2.4723,15.3502,-26.6162,-12.2019
3.04812,2.47024,15.2941,-26.6198,-12.1613
3.06392,2.46942,15.2802,-26.6218,-12.1542
3.12794,2.46591,15.2243,-26.6321,-12.1246
3.15977,2.46508,15.1962,-26.6368,-12.1105
3.19902,2.46325,15.1614,-26.6437,-12.0937
3.22433,2.46278,15.1387,-26.6493,-12.084
3.25473,2.46074,15.1126,-26.6529,-12.0689
3.29526,2.45923,15.0782,-26.6558,-12.0476
3.34075,2.45764,15.0411,-26.6588,-12.0216
3.37949,2.45662,15.0082,-26.6619,-12.0013
3.4045,2.45543,14.9882,-26.6628,-11.9863
3.42354,2.45486,14.9728,-26.6631,-11.9751
3.49263,2.45301,14.9134,-26.6695,-11.9403
3.51767,2.45236,14.8927,-26.6699,-11.9263
3.52547,2.45234,14.8863,-26.6701,-11.9218
3.58738,2.45228,14.8341,-26.6736,-11.8887
3.59099,2.45214,14.8309,-26.674,-11.8871
3.65734,2.45057,14.7735,-26.6804,-11.8544
3.65927,2.45048,14.7719,-26.6806,-11.8533
