"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.1946,15.5716,-26.6495,-12.5097
0.037784,2.24423,15.558,-26.639,-12.476
0.0699724,2.28303,15.5439,-26.6363,-12.4472
0.0896741,2.30652,15.5358,-26.6298,-12.4305
0.111143,2.32442,15.5231,-26.6302,-12.4131
0.126447,2.3246,15.5098,-26.6294,-12.4056
0.13927,2.32489,15.4988,-26.6296,-12.399
0.147653,2.32472,15.4914,-26.6298,-12.3951
0.17054,2.32346,15.4716,-26.6301,-12.3836
0.223231,2.32111,15.4252,-26.6305,-12.3587
0.23864,2.32056,15.4114,-26.6306,-12.3518
0.249352,2.32011,15.4018,-26.6307,-12.347
0.266867,2.31864,15.3864,-26.6308,-12.3387
0.352259,2.31504,15.3106,-26.6355,-12.2997
0.36186,2.31488,15.3022,-26.636,-12.2951
0.377868,2.31479,15.2883,-26.6369,-12.2871
0.41834,2.31444,15.2533,-26.6384,-12.2668
0.48135,2.31651,15.1998,-26.6401,-12.2337
0.484445,2.31657,15.1971,-26.6402,-12.2321
0.486285,2.31659,15.1955,-26.6402,-12.2312
0.544157,2.31778,15.1459,-26.6409,-12.2014
0.545884,2.31785,15.1444,-26.6409,-12.2005
0.587004,2.32045,15.1089,-26.6399,-12.1798
0.589583,2.32058,15.1067,-26.6398,-12.1784
0.646697,2.32188,15.0581,-26.6387,-12.1486
0.649915,2.32191,15.0554,-26.6386,-12.1468
0.661488,2.32211,15.0455,-26.6384,-12.1408
0.737398,2.32367,14.9806,-26.6388,-12.1014
0.818275,2.33148,14.9102,-26.6427,-12.0618
0.887647,2.34182,14.8508,-26.642,-12.026
1.02953,2.36248,14.7289,-26.647,-11.9536
1.03117,2.36285,14.7275,-26.6472,-11.9527
1.03316,2.36319,14.7258,-26.6473,-11.9517
1.08815,2.37258,14.6786,-26.6512,-11.9236
1.17195,2.39104,14.6076,-26.6553,-11.8793
1.19444,2.39621,14.5881,-26.656,-11.8682
1.19462,2.39625,14.5879,-26.656,-11.8681
1.23927,2.4053,14.5497,-26.6555,-11.845
1.27818,2.4126,14.5156,-26.654,-11.8263
1.28446,2.41375,14.5102,-26.654,-11.8231
1.39351,2.43504,14.415,-26.6531,-11.77
1.40176,2.43679,14.4077,-26.6529,-11.7662
1.43428,2.44394,14.3792,-26.6516,-11.7506
1.49088,2.45678,14.3297,-26.6506,-11.7232
1.51422,2.46275,14.3097,-26.6503,-11.7111
1.52316,2.46499,14.302,-26.6499,-11.7065
1.55281,2.47284,14.2769,-26.6487,-11.6909
1.60135,2.48693,14.2362,-26.6467,-11.6645
1.62019,2.49084,14.2198,-26.6467,-11.6552
1.6242,2.49166,14.2163,-26.6467,-11.6532
1.62846,2.49246,14.2126,-26.6465,-11.6511
1.66889,2.50023,14.1781,-26.6457,-11.63
1.69078,2.50398,14.1597,-26.6447,-11.6182
1.75282,2.51423,14.1069,-26.6441,-11.5857
1.79028,2.51858,14.0763,-26.6431,-11.5641
1.83507,2.52354,14.0391,-26.6432,-11.5392
1.88112,2.52909,14.0014,-26.6422,-11.5128
1.9511,2.53889,13.9426,-26.6412,-11.4747
2.00351,2.54779,13.8997,-26.6403,-11.4447
2.04934,2.5552,13.8627,-26.6435,-11.4179
2.10515,2.56485,13.8172,-26.6443,-11.3855
2.18022,2.56873,13.7538,-26.6386,-11.3457
2.19521,2.56942,13.7414,-26.6372,-11.3374
2.27116,2.574,13.6773,-26.633,-11.297
2.31081,2.5762,13.6439,-26.6299,-11.2758
2.32749,2.57601,13.6299,-26.6264,-11.2674
2.42026,2.57647,13.5506,-26.6159,-11.2204
2.47665,2.57709,13.5019,-26.6091,-11.1929
2.54251,2.58043,13.4463,-26.6039,-11.158
2.57317,2.58058,13.4213,-26.6,-11.1406
2.5989,2.58002,13.3998,-26.597,-11.1268
2.60358,2.57992,13.3959,-26.5968,-11.1242
2.64136,2.57819,13.365,-26.5936,-11.1027
2.65125,2.57766,13.3568,-26.593,-11.0972
2.65565,2.57744,13.3531,-26.5927,-11.0948
2.74319,2.57414,13.2789,-26.5873,-11.0488
2.79841,2.57367,13.2335,-26.5879,-11.0173
2.82523,2.57352,13.2113,-26.589,-11.0023
2.82846,2.57333,13.2087,-26.5891,-11.0003
2.85259,2.57131,13.1895,-26.5888,-10.9858
2.88192,2.56764,13.1653,-26.5874,-10.9692
2.94553,2.56127,13.113,-26.5803,-10.9337
3.00117,2.55592,13.0666,-26.5719,-10.9043
3.06839,2.55117,13.0089,-26.5657,-10.8702
3.07748,2.55053,13.001,-26.5646,-10.866
3.11711,2.54688,12.9668,-26.559,-10.8468
3.16192,2.54019,12.9296,-26.5519,-10.8228
3.40269,2.53062,12.7311,-26.5347,-10.6877
3.40633,2.53084,12.7281,-26.5351,-10.6856
3.427,2.53198,12.7107,-26.5364,-10.6746
3.46913,2.53216,12.6753,-26.5343,-10.6518
