Distance,Diameter,Radius,FFR,Text File Input
0,2.1946,1.0973,0.79,0 1.0973 0
0.037784,2.24423,1.122115,,0.037784 1.122115 0
0.0699724,2.28303,1.141515,,0.0699724 1.141515 0
0.0896741,2.30652,1.15326,,0.0896741 1.15326 0
0.111143,2.32442,1.16221,,0.111143 1.16221 0
0.126447,2.3246,1.1623,,0.126447 1.1623 0
0.13927,2.32489,1.162445,,0.13927 1.162445 0
0.147653,2.32472,1.16236,,0.147653 1.16236 0
0.17054,2.32346,1.16173,,0.17054 1.16173 0
0.223231,2.32111,1.160555,,0.223231 1.160555 0
0.23864,2.32056,1.16028,,0.23864 1.16028 0
0.249352,2.32011,1.160055,,0.249352 1.160055 0
0.266867,2.31864,1.15932,,0.266867 1.15932 0
0.352259,2.31504,1.15752,,0.352259 1.15752 0
0.36186,2.31488,1.15744,,0.36186 1.15744 0
0.377868,2.31479,1.157395,,0.377868 1.157395 0
0.41834,2.31444,1.15722,,0.41834 1.15722 0
0.48135,2.31651,1.158255,,0.48135 1.158255 0
0.484445,2.31657,1.158285,,0.484445 1.158285 0
0.486285,2.31659,1.158295,,0.486285 1.158295 0
0.544157,2.31778,1.15889,,0.544157 1.15889 0
0.545884,2.31785,1.158925,,0.545884 1.158925 0
0.587004,2.32045,1.160225,,0.587004 1.160225 0
0.589583,2.32058,1.16029,,0.589583 1.16029 0
0.646697,2.32188,1.16094,,0.646697 1.16094 0
0.649915,2.32191,1.160955,,0.649915 1.160955 0
0.661488,2.32211,1.161055,,0.661488 1.161055 0
0.737398,2.32367,1.161835,,0.737398 1.161835 0
0.818275,2.33148,1.16574,,0.818275 1.16574 0
0.887647,2.34182,1.17091,,0.887647 1.17091 0
1.02953,2.36248,1.18124,,1.02953 1.18124 0
1.03117,2.36285,1.181425,,1.03117 1.181425 0
1.03316,2.36319,1.181595,,1.03316 1.181595 0
1.08815,2.37258,1.18629,,1.08815 1.18629 0
1.17195,2.39104,1.19552,,1.17195 1.19552 0
1.19444,2.39621,1.198105,,1.19444 1.198105 0
1.19462,2.39625,1.198125,,1.19462 1.198125 0
1.23927,2.4053,1.20265,,1.23927 1.20265 0
1.27818,2.4126,1.2063,,1.27818 1.2063 0
1.28446,2.41375,1.206875,,1.28446 1.206875 0
1.39351,2.43504,1.21752,,1.39351 1.21752 0
1.40176,2.43679,1.218395,,1.40176 1.218395 0
1.43428,2.44394,1.22197,,1.43428 1.22197 0
1.49088,2.45678,1.22839,,1.49088 1.22839 0
1.51422,2.46275,1.231375,,1.51422 1.231375 0
1.52316,2.46499,1.232495,,1.52316 1.232495 0
1.55281,2.47284,1.23642,,1.55281 1.23642 0
1.60135,2.48693,1.243465,,1.60135 1.243465 0
1.62019,2.49084,1.24542,,1.62019 1.24542 0
1.6242,2.49166,1.24583,,1.6242 1.24583 0
1.62846,2.49246,1.24623,,1.62846 1.24623 0
1.66889,2.50023,1.250115,,1.66889 1.250115 0
1.69078,2.50398,1.25199,,1.69078 1.25199 0
1.75282,2.51423,1.257115,,1.75282 1.257115 0
1.79028,2.51858,1.25929,,1.79028 1.25929 0
1.83507,2.52354,1.26177,,1.83507 1.26177 0
1.88112,2.52909,1.264545,,1.88112 1.264545 0
1.9511,2.53889,1.269445,,1.9511 1.269445 0
2.00351,2.54779,1.273895,,2.00351 1.273895 0
2.04934,2.5552,1.2776,,2.04934 1.2776 0
2.10515,2.56485,1.282425,,2.10515 1.282425 0
2.18022,2.56873,1.284365,,2.18022 1.284365 0
2.19521,2.56942,1.28471,,2.19521 1.28471 0
2.27116,2.574,1.287,,2.27116 1.287 0
2.31081,2.5762,1.2881,,2.31081 1.2881 0
2.32749,2.57601,1.288005,,2.32749 1.288005 0
2.42026,2.57647,1.288235,,2.42026 1.288235 0
2.47665,2.57709,1.288545,,2.47665 1.288545 0
2.54251,2.58043,1.290215,,2.54251 1.290215 0
2.57317,2.58058,1.29029,,2.57317 1.29029 0
2.5989,2.58002,1.29001,,2.5989 1.29001 0
2.60358,2.57992,1.28996,,2.60358 1.28996 0
2.64136,2.57819,1.289095,,2.64136 1.289095 0
2.65125,2.57766,1.28883,,2.65125 1.28883 0
2.65565,2.57744,1.28872,,2.65565 1.28872 0
2.74319,2.57414,1.28707,,2.74319 1.28707 0
2.79841,2.57367,1.286835,,2.79841 1.286835 0
2.82523,2.57352,1.28676,,2.82523 1.28676 0
2.82846,2.57333,1.286665,,2.82846 1.286665 0
2.85259,2.57131,1.285655,,2.85259 1.285655 0
2.88192,2.56764,1.28382,,2.88192 1.28382 0
2.94553,2.56127,1.280635,,2.94553 1.280635 0
3.00117,2.55592,1.27796,,3.00117 1.27796 0
3.06839,2.55117,1.275585,,3.06839 1.275585 0
3.07748,2.55053,1.275265,,3.07748 1.275265 0
3.11711,2.54688,1.27344,,3.11711 1.27344 0
3.16192,2.54019,1.270095,,3.16192 1.270095 0
3.40269,2.53062,1.26531,,3.40269 1.26531 0
3.40633,2.53084,1.26542,,3.40633 1.26542 0
3.427,2.53198,1.26599,,3.427 1.26599 0
3.46913,2.53216,1.26608,,3.46913 1.26608 0
3.47412,2.53199,1.265995,,3.47412 1.265995 0
3.54083,2.52549,1.262745,,3.54083 1.262745 0
3.68421,2.52647,1.263235,,3.68421 1.263235 0
3.77413,2.53324,1.26662,,3.77413 1.26662 0
3.77966,2.53365,1.266825,,3.77966 1.266825 0
3.79446,2.53409,1.267045,,3.79446 1.267045 0
3.86303,2.5362,1.2681,,3.86303 1.2681 0
3.86336,2.53621,1.268105,,3.86336 1.268105 0
3.90418,2.53819,1.269095,,3.90418 1.269095 0
4.01068,2.54589,1.272945,,4.01068 1.272945 0
4.02462,2.54705,1.273525,,4.02462 1.273525 0
4.02479,2.54706,1.27353,,4.02479 1.27353 0
4.06969,2.55044,1.27522,,4.06969 1.27522 0
4.07886,2.55104,1.27552,,4.07886 1.27552 0
4.08849,2.55118,1.27559,,4.08849 1.27559 0
4.16964,2.55202,1.27601,,4.16964 1.27601 0
4.28002,2.5571,1.27855,,4.28002 1.27855 0
4.2884,2.55765,1.278825,,4.2884 1.278825 0
4.33071,2.55968,1.27984,,4.33071 1.27984 0
4.36731,2.56003,1.280015,,4.36731 1.280015 0
4.40006,2.56011,1.280055,,4.40006 1.280055 0
4.40897,2.55957,1.279785,,4.40897 1.279785 0
4.47033,2.55525,1.277625,,4.47033 1.277625 0
4.53329,2.55221,1.276105,,4.53329 1.276105 0
4.60234,2.55128,1.27564,,4.60234 1.27564 0
4.60704,2.55115,1.275575,,4.60704 1.275575 0
4.61261,2.55079,1.275395,,4.61261 1.275395 0
4.69221,2.5461,1.27305,,4.69221 1.27305 0
4.72123,2.54293,1.271465,,4.72123 1.271465 0
4.78449,2.5385,1.26925,,4.78449 1.26925 0
4.79899,2.53709,1.268545,,4.79899 1.268545 0
4.87605,2.52823,1.264115,,4.87605 1.264115 0
4.91826,2.52392,1.26196,,4.91826 1.26196 0
4.92884,2.52263,1.261315,,4.92884 1.261315 0
4.95264,2.51946,1.25973,,4.95264 1.25973 0
4.96554,2.51794,1.25897,,4.96554 1.25897 0
5.002,2.51317,1.256585,,5.002 1.256585 0
5.03181,2.50921,1.254605,,5.03181 1.254605 0
5.07156,2.50362,1.25181,,5.07156 1.25181 0
5.08315,2.50165,1.250825,,5.08315 1.250825 0
5.1072,2.49723,1.248615,,5.1072 1.248615 0
5.12022,2.49465,1.247325,,5.12022 1.247325 0
5.15003,2.48871,1.244355,,5.15003 1.244355 0
5.15157,2.48841,1.244205,,5.15157 1.244205 0
5.19096,2.47954,1.23977,,5.19096 1.23977 0
5.25462,2.46453,1.232265,,5.25462 1.232265 0
5.33843,2.44738,1.22369,,5.33843 1.22369 0
5.37051,2.44086,1.22043,,5.37051 1.22043 0
5.41801,2.43142,1.21571,,5.41801 1.21571 0
5.50865,2.41529,1.207645,,5.50865 1.207645 0
5.54222,2.40939,1.204695,,5.54222 1.204695 0
5.56533,2.40574,1.20287,,5.56533 1.20287 0
5.57598,2.40348,1.20174,,5.57598 1.20174 0
5.69897,2.37722,1.18861,,5.69897 1.18861 0
5.82339,2.36252,1.18126,,5.82339 1.18126 0
5.8487,2.36097,1.180485,,5.8487 1.180485 0
5.89091,2.35787,1.178935,,5.89091 1.178935 0
5.89714,2.35734,1.17867,,5.89714 1.17867 0
5.92849,2.35367,1.176835,,5.92849 1.176835 0
5.95863,2.34873,1.174365,,5.95863 1.174365 0
6.12178,2.33713,1.168565,,6.12178 1.168565 0
6.1883,2.33928,1.16964,,6.1883 1.16964 0
6.23477,2.3402,1.1701,,6.23477 1.1701 0
6.24912,2.33997,1.169985,,6.24912 1.169985 0
6.39017,2.33253,1.166265,,6.39017 1.166265 0
6.44429,2.33162,1.16581,,6.44429 1.16581 0
6.47508,2.33166,1.16583,,6.47508 1.16583 0
6.53536,2.33202,1.16601,,6.53536 1.16601 0
6.58401,2.33426,1.16713,,6.58401 1.16713 0
6.64922,2.33779,1.168895,,6.64922 1.168895 0
6.68727,2.34137,1.170685,,6.68727 1.170685 0
6.70002,2.34243,1.171215,,6.70002 1.171215 0
6.70888,2.34276,1.17138,,6.70888 1.17138 0
6.76698,2.34396,1.17198,,6.76698 1.17198 0
6.83073,2.3447,1.17235,,6.83073 1.17235 0
6.86414,2.3467,1.17335,,6.86414 1.17335 0
6.9267,2.35377,1.176885,,6.9267 1.176885 0
6.95333,2.35719,1.178595,,6.95333 1.178595 0
6.95353,2.35723,1.178615,,6.95353 1.178615 0
7.00373,2.36587,1.182935,,7.00373 1.182935 0
7.04138,2.37299,1.186495,,7.04138 1.186495 0
7.09163,2.38064,1.19032,,7.09163 1.19032 0
7.0945,2.3809,1.19045,,7.0945 1.19045 0
7.17579,2.38776,1.19388,,7.17579 1.19388 0
