"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.32138,15.5414,-26.6465,-12.4206
0.0537613,2.32417,15.4943,-26.6439,-12.3948
0.107305,2.32389,15.4476,-26.6441,-12.3688
0.127583,2.32375,15.4296,-26.6446,-12.3593
0.150467,2.32292,15.4091,-26.6454,-12.3493
0.176511,2.32127,15.3863,-26.6471,-12.3368
0.189695,2.32027,15.3747,-26.6472,-12.3306
0.237358,2.31723,15.3321,-26.6463,-12.3092
0.333405,2.3145,15.2481,-26.6424,-12.2627
0.389546,2.31645,15.2001,-26.641,-12.2336
0.453782,2.31781,15.1449,-26.641,-12.2008
0.495618,2.32045,15.1088,-26.6399,-12.1797
0.49838,2.32058,15.1064,-26.6399,-12.1782
0.555161,2.32188,15.058,-26.6388,-12.1486
0.558356,2.32192,15.0554,-26.6387,-12.1468
0.572384,2.32216,15.0434,-26.6384,-12.1396
0.645844,2.32367,14.9806,-26.6388,-12.1014
0.726722,2.33148,14.9102,-26.6427,-12.0618
0.796094,2.34182,14.8508,-26.642,-12.026
0.937979,2.36248,14.7289,-26.647,-11.9536
0.939616,2.36285,14.7275,-26.6472,-11.9527
0.941609,2.36319,14.7258,-26.6473,-11.9517
0.996602,2.37258,14.6786,-26.6512,-11.9236
1.08039,2.39104,14.6076,-26.6553,-11.8793
1.10289,2.39621,14.5881,-26.656,-11.8682
1.10307,2.39625,14.5879,-26.656,-11.8681
1.14771,2.4053,14.5497,-26.6555,-11.845
1.18663,2.4126,14.5156,-26.654,-11.8263
1.19291,2.41375,14.5102,-26.654,-11.8231
1.30195,2.43504,14.415,-26.6531,-11.77
1.31021,2.43679,14.4077,-26.6529,-11.7662
1.34273,2.44394,14.3792,-26.6516,-11.7506
1.39933,2.45678,14.3297,-26.6506,-11.7232
1.42267,2.46275,14.3097,-26.6503,-11.7111
1.4316,2.46499,14.302,-26.6499,-11.7065
1.46126,2.47284,14.2769,-26.6487,-11.6909
1.50979,2.48693,14.2362,-26.6467,-11.6645
1.52864,2.49084,14.2198,-26.6467,-11.6552
1.53265,2.49166,14.2163,-26.6467,-11.6532
1.5369,2.49246,14.2126,-26.6465,-11.6511
1.57734,2.50023,14.1781,-26.6457,-11.63
1.59923,2.50398,14.1597,-26.6447,-11.6182
1.66127,2.51423,14.1069,-26.6441,-11.5857
1.69873,2.51858,14.0763,-26.6431,-11.5641
1.74351,2.52354,14.0391,-26.6432,-11.5392
1.78956,2.52909,14.0014,-26.6422,-11.5128
1.85955,2.53889,13.9426,-26.6412,-11.4747
1.91196,2.54779,13.8997,-26.6403,-11.4447
1.95778,2.5552,13.8627,-26.6435,-11.4179
2.0136,2.56485,13.8172,-26.6443,-11.3855
2.08867,2.56873,13.7538,-26.6386,-11.3457
2.10366,2.56942,13.7414,-26.6372,-11.3374
2.17961,2.574,13.6773,-26.633,-11.297
2.21925,2.5762,13.6439,-26.6299,-11.2758
2.23594,2.57601,13.6299,-26.6264,-11.2674
2.32871,2.57647,13.5506,-26.6159,-11.2204
2.3851,2.57709,13.5019,-26.6091,-11.1929
2.45096,2.58043,13.4463,-26.6039,-11.158
2.48162,2.58058,13.4213,-26.6,-11.1406
2.50735,2.58002,13.3998,-26.597,-11.1268
2.51203,2.57992,13.3959,-26.5968,-11.1242
2.54981,2.57819,13.365,-26.5936,-11.1027
2.5597,2.57766,13.3568,-26.593,-11.0972
2.5641,2.57744,13.3531,-26.5927,-11.0948
2.65164,2.57414,13.2789,-26.5873,-11.0488
2.70686,2.57367,13.2335,-26.5879,-11.0173
2.73368,2.57352,13.2113,-26.589,-11.0023
2.73691,2.57333,13.2087,-26.5891,-11.0003
2.76104,2.57131,13.1895,-26.5888,-10.9858
2.79036,2.56764,13.1653,-26.5874,-10.9692
2.85398,2.56127,13.113,-26.5803,-10.9337
2.90962,2.55592,13.0666,-26.5719,-10.9043
2.97684,2.55117,13.0089,-26.5657,-10.8702
2.98593,2.55053,13.001,-26.5646,-10.866
3.02555,2.54688,12.9668,-26.559,-10.8468
3.07037,2.54019,12.9296,-26.5519,-10.8228
3.31113,2.53062,12.7311,-26.5347,-10.6877
3.31478,2.53084,12.7281,-26.5351,-10.6856
3.33544,2.53198,12.7107,-26.5364,-10.6746
3.37758,2.53216,12.6753,-26.5343,-10.6518
3.38256,2.53199,12.6709,-26.5335,-10.6496
3.44927,2.52549,12.6146,-26.5261,-10.6145
3.59266,2.52647,12.4957,-26.5084,-10.5363
3.68257,2.53324,12.4215,-26.497,-10.4869
3.6881,2.53365,12.417,-26.4962,-10.4838
3.7029,2.53409,12.4052,-26.4937,-10.4752
3.77148,2.5362,12.3487,-26.4808,-10.4384
3.7723,2.53624,12.3481,-26.4807,-10.438
3.81262,2.53819,12.3159,-26.4748,-10.4144
3.91913,2.54589,12.2281,-26.4539,-10.3579
3.93306,2.54705,12.2163,-26.4512,-10.351
3.9336,2.54709,12.2158,-26.4511,-10.3507
3.97813,2.55044,12.1787,-26.4419,-10.3279
3.98731,2.55104,12.1712,-26.4398,-10.3231
3.99694,2.55118,12.1631,-26.4377,-10.3183
4.07809,2.55202,12.0966,-26.4201,-10.2752
4.18847,2.5571,12.0062,-26.4069,-10.2133
4.19685,2.55765,11.9995,-26.4061,-10.2084
4.23915,2.55968,11.9645,-26.4003,-10.1853
4.27575,2.56003,11.934,-26.3924,-10.1667
4.30851,2.56011,11.907,-26.3837,-10.1503
4.31741,2.55957,11.8994,-26.3816,-10.1461
4.37877,2.55525,11.8487,-26.3704,-10.1134
4.44173,2.55221,11.7956,-26.3615,-10.0808
4.51079,2.55128,11.7383,-26.3498,-10.044
4.51549,2.55115,11.7343,-26.3491,-10.0417
4.52106,2.55079,11.7297,-26.3482,-10.0387
4.60066,2.5461,11.6642,-26.3309,-9.99691
4.62967,2.54293,11.6404,-26.3242,-9.98164
4.69294,2.5385,11.5889,-26.3116,-9.94719
4.70744,2.53709,11.5768,-26.3074,-9.94031
4.7845,2.52823,11.5149,-26.2887,-9.89843
4.82671,2.52392,11.4805,-26.281,-9.87527
4.83729,2.52263,11.4717,-26.2792,-9.86971
4.86109,2.51946,11.452,-26.2751,-9.85687
4.87399,2.51794,11.4416,-26.2728,-9.84971
4.91045,2.51317,11.4119,-26.2642,-9.83034
4.94026,2.50921,11.3871,-26.2573,-9.8153
4.98,2.50362,11.3546,-26.2451,-9.79594
4.99159,2.50165,11.3454,-26.2423,-9.78948
5.01565,2.49723,11.3258,-26.2365,-9.77678
5.02866,2.49465,11.3154,-26.2334,-9.76963
5.05848,2.48871,11.2918,-26.2261,-9.7529
5.06002,2.48841,11.2906,-26.2258,-9.75204
5.0994,2.47954,11.2585,-26.2167,-9.73114
5.16306,2.46453,11.2073,-26.1998,-9.69716
5.24688,2.44738,11.1377,-26.1822,-9.65392
5.27896,2.44086,11.1104,-26.1745,-9.63907
5.32646,2.43142,11.0707,-26.1631,-9.61565
5.4171,2.41529,10.9961,-26.1396,-9.56979
5.45067,2.40939,10.969,-26.1285,-9.5533
5.47378,2.40574,10.9503,-26.1207,-9.54226
5.48443,2.40348,10.9418,-26.1173,-9.53676
5.60742,2.37722,10.8395,-26.0874,-9.47542
5.73184,2.36252,10.7359,-26.0494,-9.41802
5.75715,2.36097,10.7153,-26.0419,-9.4052
5.79935,2.35787,10.682,-26.0282,-9.38335
5.80558,2.35734,10.6769,-26.0262,-9.38028
5.83694,2.35367,10.6513,-26.0144,-9.36654
5.86708,2.34873,10.6268,-26.004,-9.35243
6.03023,2.33713,10.4908,-25.9496,-9.28059
6.09675,2.33928,10.4356,-25.9312,-9.24837
6.14322,2.3402,10.3987,-25.918,-9.2234
6.15757,2.33997,10.3872,-25.9144,-9.21564
6.29862,2.33253,10.2694,-25.869,-9.15257
6.35273,2.33162,10.2241,-25.8508,-9.12933
6.38353,2.33166,10.1988,-25.84,-9.11554
6.44381,2.33202,10.1505,-25.8165,-9.08813
6.49245,2.33426,10.1124,-25.7968,-9.06518
6.55767,2.33779,10.0604,-25.7674,-9.03899
6.59572,2.34137,10.0291,-25.7541,-9.02198
6.60847,2.34243,10.0188,-25.7495,-9.01604
6.61733,2.34276,10.0115,-25.7464,-9.01212
6.67543,2.34396,9.96198,-25.7316,-8.98551
6.73918,2.3447,9.90962,-25.7143,-8.95349
6.77259,2.3467,9.88269,-25.705,-8.93609
6.83515,2.35377,9.83186,-25.6874,-8.90409
6.86178,2.35719,9.81029,-25.6818,-8.88954
6.86198,2.35723,9.81012,-25.6817,-8.88943
6.91218,2.36587,9.76861,-25.6717,-8.86306
6.94983,2.37299,9.73804,-25.6626,-8.84308
7.00008,2.38064,9.69582,-25.6534,-8.8174
7.00295,2.3809,9.69336,-25.6524,-8.81634
7.08424,2.38776,9.62599,-25.6305,-8.77649
7.10229,2.38995,9.61131,-25.6253,-8.76731
7.11498,2.39154,9.60101,-25.6219,-8.76071
7.1426,2.39548,9.57836,-25.6147,-8.74667
7.14274,2.3955,9.57824,-25.6147,-8.7466
7.17832,2.40105,9.54865,-25.6057,-8.72903
7.23951,2.41534,9.49784,-25.5891,-8.69922
7.25765,2.41927,9.48285,-25.587,-8.68922
7.32863,2.43547,9.42448,-25.5734,-8.65119
7.32863,2.43547,9.42448,-25.5734,-8.65119
7.32912,2.43557,9.42409,-25.5734,-8.65089
7.33912,2.43749,9.41577,-25.5714,-8.64575
7.35638,2.4405,9.40166,-25.5677,-8.6365
7.38386,2.44492,9.37906,-25.5591,-8.62346
7.39041,2.44605,9.37363,-25.557,-8.62043
7.4319,2.45268,9.33992,-25.5451,-8.59939
7.44042,2.45413,9.33294,-25.5432,-8.59487
7.45095,2.45576,9.32419,-25.5402,-8.58982
7.48649,2.46237,9.29445,-25.5296,-8.57354
7.52952,2.47118,9.25839,-25.5186,-8.55278
7.592,2.48635,9.20724,-25.5087,-8.51829
7.61312,2.49042,9.18999,-25.504,-8.50706
7.6534,2.49769,9.15806,-25.4979,-8.48326
7.65684,2.4983,9.15528,-25.4973,-8.48134
7.66201,2.4993,9.15105,-25.4954,-8.479
7.66217,2.49932,9.15092,-25.4954,-8.47893
7.68139,2.50247,9.13495,-25.4887,-8.47055
7.70015,2.50561,9.11948,-25.4825,-8.46194
7.70219,2.50589,9.11782,-25.4818,-8.46098
7.75543,2.51328,9.07398,-25.4652,-8.43579
7.77385,2.51569,9.05885,-25.4587,-8.42749
7.81407,2.51993,9.02694,-25.4433,-8.4085
7.86677,2.52644,8.98448,-25.4244,-8.38365
7.89638,2.52874,8.95971,-25.4133,-8.37179
7.91693,2.5295,8.94278,-25.4059,-8.3628
7.94726,2.52895,8.91854,-25.3949,-8.34828
7.97576,2.52874,8.89555,-25.3842,-8.33528
7.99412,2.52797,8.88098,-25.3775,-8.32632
8.00196,2.52767,8.87469,-25.3747,-8.32259
8.04143,2.52609,8.84297,-25.361,-8.30349
8.05282,2.52519,8.83407,-25.3571,-8.29759
8.07408,2.52313,8.81713,-25.35,-8.28686
8.07722,2.52279,8.8146,-25.3489,-8.28531
8.12897,2.51676,8.77337,-25.3326,-8.25865
8.14081,2.51568,8.76406,-25.3287,-8.25244
8.16107,2.51307,8.74759,-25.3232,-8.24201
8.19082,2.50889,8.72361,-25.3146,-8.22667
8.19133,2.50879,8.72321,-25.3144,-8.22638
8.21616,2.50366,8.70345,-25.3087,-8.21247
8.28135,2.49044,8.65017,-25.2927,-8.17849
8.33224,2.4775,8.60992,-25.2811,-8.14959
8.34428,2.4738,8.60019,-25.2787,-8.14292
8.3468,2.47295,8.59818,-25.2782,-8.14147
8.36034,2.46879,8.58751,-25.275,-8.1338
8.40322,2.45714,8.55408,-25.2641,-8.10926
8.46071,2.4402,8.50929,-25.2506,-8.07583
8.47081,2.43723,8.50151,-25.2475,-8.0702
8.60028,2.39212,8.39901,-25.2307,-7.99291
8.60419,2.3909,8.39588,-25.2306,-7.99057
8.63716,2.37971,8.36978,-25.2282,-7.97058
8.64654,2.37657,8.36242,-25.2272,-7.96486
8.714,2.3521,8.31028,-25.2195,-7.92272
8.71412,2.35206,8.31018,-25.2195,-7.92266
8.72896,2.34738,8.2983,-25.2165,-7.91428
8.87276,2.30837,8.18629,-25.1922,-7.82746
8.87285,2.30836,8.18622,-25.1921,-7.82741
8.89476,2.3041,8.16853,-25.1878,-7.81521
8.97413,2.28739,8.10625,-25.1766,-7.76731
9.00376,2.28029,8.0828,-25.1707,-7.7502
9.08889,2.25512,8.01655,-25.1625,-7.69738
9.09617,2.25312,8.01097,-25.1613,-7.69285
9.29734,2.21916,7.85348,-25.1364,-7.5702
9.30332,2.21916,7.84892,-25.1355,-7.56643
9.38233,2.21962,7.78858,-25.1177,-7.5186
9.42774,2.21639,7.7545,-25.1082,-7.49015
9.44281,2.21521,7.74288,-25.1037,-7.4817
9.44416,2.21505,7.74182,-25.1033,-7.48095
9.44637,2.21469,7.74013,-25.1027,-7.47965
9.46754,2.21085,7.72387,-25.0982,-7.46685
9.63457,2.19443,7.5914,-25.0704,-7.36898
9.65168,2.19496,7.57822,-25.0662,-7.35895
9.69175,2.19594,7.54755,-25.0602,-7.33386
9.73962,2.19584,7.5126,-25.0544,-7.30166
9.88708,2.19115,7.40189,-25.0516,-7.20431
9.91415,2.19128,7.38044,-25.0491,-7.18797
9.91771,2.19133,7.37765,-25.0488,-7.18579
9.94691,2.19193,7.35504,-25.0461,-7.16751
9.94741,2.19192,7.35466,-25.046,-7.16718
