Distance,Diameter,Radius,,text
0,2.08141,1.040705,,0 1.040705 0
0.0206566,2.08138,1.04069,,0.0206566 1.04069 0
0.0281372,2.08113,1.040565,,0.0281372 1.040565 0
0.065628,2.07917,1.039585,,0.065628 1.039585 0
0.0735835,2.07865,1.039325,,0.0735835 1.039325 0
0.110701,2.07547,1.037735,,0.110701 1.037735 0
0.119405,2.07494,1.03747,,0.119405 1.03747 0
0.208381,2.0715,1.03575,,0.208381 1.03575 0
0.258935,2.07192,1.03596,,0.258935 1.03596 0
0.281877,2.07311,1.036555,,0.281877 1.036555 0
0.313837,2.07328,1.03664,,0.313837 1.03664 0
0.318059,2.07318,1.03659,,0.318059 1.03659 0
0.320268,2.07304,1.03652,,0.320268 1.03652 0
0.336311,2.07192,1.03596,,0.336311 1.03596 0
0.415388,2.06846,1.03423,,0.415388 1.03423 0
0.467,2.06897,1.034485,,0.467 1.034485 0
0.50315,2.07022,1.03511,,0.50315 1.03511 0
0.505871,2.07009,1.035045,,0.505871 1.035045 0
0.521102,2.06957,1.034785,,0.521102 1.034785 0
0.541827,2.06794,1.03397,,0.541827 1.03397 0
0.622456,2.06543,1.032715,,0.622456 1.032715 0
0.627979,2.06535,1.032675,,0.627979 1.032675 0
0.695896,2.06598,1.03299,,0.695896 1.03299 0
0.713303,2.06618,1.03309,,0.713303 1.03309 0
0.751031,2.0658,1.0329,,0.751031 1.0329 0
0.752467,2.06574,1.03287,,0.752467 1.03287 0
0.767939,2.0647,1.03235,,0.767939 1.03235 0
0.790674,2.06275,1.031375,,0.790674 1.031375 0
0.833791,2.05821,1.029105,,0.833791 1.029105 0
0.857499,2.05701,1.028505,,0.857499 1.028505 0
1.02678,2.06199,1.030995,,1.02678 1.030995 0
1.03546,2.06324,1.03162,,1.03546 1.03162 0
1.03741,2.06341,1.031705,,1.03741 1.031705 0
1.0435,2.06377,1.031885,,1.0435 1.031885 0
1.11562,2.06853,1.034265,,1.11562 1.034265 0
1.1175,2.06865,1.034325,,1.1175 1.034325 0
1.15248,2.07059,1.035295,,1.15248 1.035295 0
1.23227,2.07838,1.03919,,1.23227 1.03919 0
1.23935,2.07913,1.039565,,1.23935 1.039565 0
1.27924,2.08223,1.041115,,1.27924 1.041115 0
1.33004,2.08572,1.04286,,1.33004 1.04286 0
1.35641,2.08843,1.044215,,1.35641 1.044215 0
1.399,2.09176,1.04588,,1.399 1.04588 0
1.40723,2.09216,1.04608,,1.40723 1.04608 0
1.40871,2.09227,1.046135,,1.40871 1.046135 0
1.47616,2.09572,1.04786,,1.47616 1.04786 0
