"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.08306,1.4609,-22.2009,-5.52099
0.064947,2.08108,1.42043,-22.1681,-5.48218
0.0718886,2.08053,1.41614,-22.165,-5.47775
0.143848,2.0728,1.37207,-22.1351,-5.42933
0.160363,2.07254,1.3617,-22.1281,-5.41857
0.271562,2.07336,1.294,-22.0807,-5.34413
0.312262,2.07325,1.26974,-22.0606,-5.31843
0.319473,2.07313,1.26517,-22.057,-5.31411
0.372201,2.07131,1.23499,-22.0309,-5.27962
0.50536,2.07256,1.15828,-21.9736,-5.18711
0.515202,2.07242,1.15142,-21.9695,-5.18135
0.625587,2.06555,1.08929,-21.9162,-5.10733
0.732688,2.06749,1.02557,-21.8697,-5.03487
0.743887,2.06763,1.01957,-21.865,-5.02666
0.761551,2.06645,1.01013,-21.8567,-5.01426
0.762796,2.06626,1.00937,-21.8562,-5.01341
0.852049,2.05739,0.959623,-21.8139,-4.95258
1.04608,2.0651,0.843173,-21.732,-4.82073
1.07166,2.06741,0.827236,-21.72,-4.80471
1.08068,2.06801,0.821403,-21.7158,-4.79929
1.08116,2.06802,0.821117,-21.7156,-4.79898
1.13544,2.0688,0.788259,-21.6914,-4.76317
1.224,2.07727,0.738913,-21.6507,-4.7019
1.29109,2.08397,0.699398,-21.6226,-4.65554
1.3305,2.08753,0.675066,-21.6052,-4.62986
1.36702,2.09133,0.653732,-21.5874,-4.6062
1.43574,2.09577,0.621203,-21.5522,-4.55692
1.54686,2.1035,0.557008,-21.5094,-4.47699
1.56293,2.10448,0.547952,-21.502,-4.46592
1.64844,2.10692,0.497395,-21.4662,-4.40699
1.6772,2.10751,0.47959,-21.4538,-4.38812
1.80436,2.112,0.406015,-21.4058,-4.29617
1.81558,2.11267,0.399494,-21.4021,-4.28785
1.86396,2.11479,0.372822,-21.3834,-4.25203
1.96831,2.12023,0.31471,-21.3372,-4.17875
1.98002,2.12124,0.30824,-21.3324,-4.17021
2.03356,2.12547,0.281611,-21.3106,-4.12925
2.05353,2.12406,0.271346,-21.3008,-4.11515
2.28466,2.13636,0.139488,-21.2016,-3.95329
2.29289,2.13759,0.134883,-21.1985,-3.94721
2.30247,2.13877,0.129466,-21.1951,-3.94008
2.42914,2.14322,0.0558628,-21.139,-3.85362
2.44868,2.14604,0.0439676,-21.1304,-3.84073
2.46938,2.14857,0.0321507,-21.1204,-3.82696
2.51255,2.15266,0.00823912,-21.1012,-3.79659
2.52091,2.15316,0.00331457,-21.0973,-3.7911
2.69274,2.15805,-0.102536,-21.0161,-3.68277
2.78075,2.17343,-0.153807,-20.9752,-3.62405
2.80505,2.17773,-0.167088,-20.9631,-3.60774
2.81508,2.17903,-0.173041,-20.9581,-3.60143
2.83075,2.18096,-0.1822,-20.9495,-3.59199
2.84685,2.18222,-0.192246,-20.9414,-3.58241
2.90275,2.18802,-0.22696,-20.914,-3.54816
2.93416,2.18909,-0.24745,-20.8977,-3.53084
3.02303,2.19457,-0.304729,-20.8539,-3.4789
3.09568,2.19947,-0.349604,-20.813,-3.43901
3.1112,2.20062,-0.35943,-20.8049,-3.43015
3.12678,2.20144,-0.368886,-20.7963,-3.4212
3.22818,2.19957,-0.436194,-20.7448,-3.3656
3.24229,2.19866,-0.444896,-20.7365,-3.35817
3.32716,2.19047,-0.49796,-20.6911,-3.30997
3.37673,2.18298,-0.531766,-20.6659,-3.28388
3.44062,2.17372,-0.572965,-20.6322,-3.24858
3.4977,2.1689,-0.610399,-20.5998,-3.22009
3.57129,2.1628,-0.654927,-20.5547,-3.18273
3.75087,2.15229,-0.768663,-20.4503,-3.09102
3.89282,2.1498,-0.857584,-20.3669,-3.01832
3.91081,2.1497,-0.868744,-20.3554,-3.01005
4.08624,2.15775,-0.975379,-20.2494,-2.91971
4.10897,2.15982,-0.988495,-20.2343,-2.90897
4.12151,2.16093,-0.995684,-20.2263,-2.90248
4.24808,2.17424,-1.07378,-20.1509,-2.83738
4.26986,2.17489,-1.08757,-20.138,-2.82649
4.34095,2.18023,-1.13224,-20.0952,-2.79151
4.36331,2.18198,-1.14725,-20.0826,-2.78076
4.36377,2.18201,-1.14757,-20.0823,-2.78056
4.39211,2.18386,-1.167,-20.0658,-2.76817
4.39267,2.1839,-1.16738,-20.0655,-2.76791
4.46732,2.18735,-1.21734,-20.0237,-2.73143
4.47955,2.18846,-1.22565,-20.0168,-2.72568
4.51973,2.19034,-1.2542,-19.9946,-2.70821
4.54362,2.19203,-1.27106,-19.9814,-2.69768
4.5546,2.193,-1.27849,-19.9748,-2.69298
4.57839,2.19355,-1.29579,-19.9613,-2.68383
4.71212,2.19695,-1.38651,-19.8822,-2.62547
4.812,2.1954,-1.45694,-19.8266,-2.58161
4.85882,2.19026,-1.48937,-19.8004,-2.56026
4.95712,2.18494,-1.5542,-19.7405,-2.51708
5.03489,2.1822,-1.60576,-19.6962,-2.47929
5.03844,2.18184,-1.6081,-19.6944,-2.47735
5.06908,2.1745,-1.62979,-19.6779,-2.46335
5.15269,2.15987,-1.68964,-19.6323,-2.42684
5.29661,2.14229,-1.7954,-19.561,-2.36017
5.31097,2.14006,-1.80603,-19.5537,-2.35381
5.3262,2.1362,-1.81735,-19.5457,-2.34753
5.46977,2.10981,-1.91769,-19.4666,-2.28206
5.50845,2.10544,-1.9436,-19.4459,-2.26217
5.51857,2.1038,-1.94869,-19.439,-2.25675
5.65857,2.06666,-2.04212,-19.3582,-2.19093
5.66483,2.06466,-2.04585,-19.3542,-2.18777
5.66888,2.06292,-2.04809,-19.3518,-2.18544
5.67402,2.06074,-2.05075,-19.3485,-2.1825
5.85011,1.99327,-2.16496,-19.2438,-2.09892
5.89289,1.98085,-2.19642,-19.2226,-2.07908
5.89993,1.97781,-2.20114,-19.2187,-2.07566
5.90219,1.97693,-2.20263,-19.2173,-2.07466
6.11143,1.90141,-2.31968,-19.0837,-1.96405
