"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.37664,6.80609,-14.6833,-33.9963
0.0116146,2.39189,6.80352,-14.6788,-34.0067
0.0172111,2.39222,6.79917,-14.6767,-34.0095
0.0474108,2.39201,6.77522,-14.6641,-34.0229
0.0651057,2.39161,6.76153,-14.6566,-34.0313
0.131826,2.38629,6.71034,-14.6231,-34.0578
0.200188,2.38442,6.6591,-14.5878,-34.0862
0.205603,2.38433,6.65514,-14.585,-34.0886
0.25937,2.37976,6.61556,-14.5545,-34.1085
0.284029,2.37711,6.59705,-14.5405,-34.1167
0.336993,2.3712,6.55678,-14.5098,-34.1324
0.386096,2.36766,6.51835,-14.4826,-34.1463
0.461867,2.36466,6.46076,-14.4391,-34.1693
0.467308,2.36442,6.45679,-14.4357,-34.1709
0.493768,2.36194,6.43833,-14.4185,-34.1788
0.512071,2.35981,6.42518,-14.4071,-34.1844
0.572635,2.34607,6.38019,-14.3694,-34.1993
0.726105,2.31612,6.26848,-14.2676,-34.226
0.855325,2.30333,6.18151,-14.1751,-34.2502
0.953044,2.30163,6.11292,-14.1106,-34.2763
0.959116,2.30169,6.10853,-14.1066,-34.2777
1.04658,2.29712,6.04557,-14.0477,-34.2923
1.0469,2.29713,6.04534,-14.0475,-34.2923
1.08645,2.29853,6.01668,-14.0209,-34.2984
1.15234,2.29751,5.97207,-13.9733,-34.3076
1.16341,2.29711,5.96479,-13.9652,-34.3094
1.24107,2.29156,5.91414,-13.9074,-34.3209
1.29365,2.28987,5.879,-13.8696,-34.3308
1.37744,2.29043,5.8227,-13.809,-34.3441
1.42674,2.2932,5.78871,-13.7738,-34.3504
1.42838,2.29326,5.78757,-13.7727,-34.3505
1.50496,2.29683,5.73472,-13.718,-34.3598
1.61697,2.29872,5.66571,-13.6311,-34.3752
1.6675,2.29871,5.63513,-13.5913,-34.3809
1.70758,2.29772,5.61078,-13.5596,-34.384
1.71811,2.29735,5.60445,-13.5512,-34.3844
1.76499,2.29495,5.57752,-13.513,-34.3874
1.76653,2.29483,5.57665,-13.5117,-34.3875
1.77363,2.2939,5.57253,-13.5059,-34.3879
1.79674,2.28923,5.5599,-13.4866,-34.3888
1.82444,2.28261,5.54552,-13.463,-34.3896
1.83675,2.27972,5.53896,-13.4525,-34.39
1.86532,2.27193,5.5247,-13.4278,-34.3912
1.90805,2.25897,5.50252,-13.3913,-34.391
1.99423,2.23862,5.45339,-13.3205,-34.3884
2.04848,2.22898,5.42139,-13.2767,-34.3887
2.0719,2.22494,5.40701,-13.2583,-34.3896
2.13403,2.21358,5.36985,-13.2085,-34.3909
2.14419,2.21166,5.3638,-13.2004,-34.3914
2.16843,2.20549,5.34956,-13.1807,-34.3924
2.2551,2.18759,5.29467,-13.1137,-34.3937
2.25513,2.18758,5.29465,-13.1137,-34.3937
2.25898,2.18709,5.29198,-13.1109,-34.3938
2.38124,2.17432,5.21093,-13.0194,-34.3926
2.41332,2.17035,5.191,-12.9942,-34.3926
2.46911,2.16576,5.15557,-12.9511,-34.393
2.50156,2.16177,5.13508,-12.926,-34.3935
2.57483,2.15269,5.09091,-12.8675,-34.3935
2.63728,2.14614,5.04898,-12.8213,-34.3929
2.65297,2.14495,5.03776,-12.8103,-34.3924
2.67653,2.14268,5.02147,-12.7933,-34.3924
2.69803,2.14081,5.0064,-12.778,-34.392
2.69883,2.14073,5.00586,-12.7774,-34.392
2.7665,2.13444,4.96218,-12.7257,-34.3907
2.76819,2.13423,4.96116,-12.7243,-34.3908
2.82011,2.12842,4.9239,-12.6882,-34.3889
2.8435,2.12578,4.90817,-12.671,-34.3876
2.85891,2.12395,4.89783,-12.6595,-34.3873
2.90137,2.11957,4.86752,-12.6298,-34.3859
2.93106,2.1175,4.84578,-12.6097,-34.3842
2.93816,2.11717,4.84053,-12.6049,-34.3839
2.96199,2.11443,4.82328,-12.5885,-34.3837
3.0144,2.10929,4.78668,-12.551,-34.3812
3.01503,2.10921,4.78631,-12.5505,-34.3812
3.06182,2.10274,4.75493,-12.516,-34.3783
3.07627,2.10069,4.74528,-12.5053,-34.3769
