"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.40133,6.79258,-14.694,-34.0257
0.00632091,2.401,6.78796,-14.691,-34.0287
0.0403827,2.39822,6.76275,-14.6734,-34.0434
0.0797076,2.39437,6.73334,-14.6515,-34.0576
0.17408,2.39017,6.66119,-14.5998,-34.0896
0.174206,2.39017,6.6611,-14.5997,-34.0896
0.184539,2.38999,6.65351,-14.5935,-34.093
0.212278,2.38822,6.63346,-14.5777,-34.1038
0.2254,2.38686,6.62391,-14.57,-34.1084
0.270911,2.38202,6.58972,-14.5441,-34.1236
0.311779,2.3774,6.55869,-14.5204,-34.1357
0.33268,2.37503,6.5425,-14.5084,-34.1413
0.411498,2.36626,6.48404,-14.4594,-34.1612
0.446629,2.36467,6.45833,-14.4373,-34.1704
0.481654,2.36138,6.4339,-14.4145,-34.1808
0.493656,2.35981,6.42518,-14.4071,-34.1844
0.55422,2.34607,6.38019,-14.3694,-34.1993
0.70769,2.31612,6.26848,-14.2676,-34.226
0.83691,2.30333,6.18151,-14.1751,-34.2502
0.934628,2.30163,6.11292,-14.1106,-34.2763
0.940701,2.30169,6.10853,-14.1066,-34.2777
1.02817,2.29712,6.04557,-14.0477,-34.2923
1.02849,2.29713,6.04534,-14.0475,-34.2923
1.06804,2.29853,6.01668,-14.0209,-34.2984
1.13393,2.29751,5.97207,-13.9733,-34.3076
1.145,2.29711,5.96479,-13.9652,-34.3094
1.22266,2.29156,5.91414,-13.9074,-34.3209
1.27523,2.28987,5.879,-13.8696,-34.3308
1.35902,2.29043,5.8227,-13.809,-34.3441
1.40833,2.2932,5.78871,-13.7738,-34.3504
1.40996,2.29326,5.78757,-13.7727,-34.3505
1.48655,2.29683,5.73472,-13.718,-34.3598
1.59855,2.29872,5.66571,-13.6311,-34.3752
1.64909,2.29871,5.63513,-13.5913,-34.3809
1.68916,2.29772,5.61078,-13.5596,-34.384
1.69969,2.29735,5.60445,-13.5512,-34.3844
1.74657,2.29495,5.57752,-13.513,-34.3874
1.74812,2.29483,5.57665,-13.5117,-34.3875
1.75521,2.2939,5.57253,-13.5059,-34.3879
1.77833,2.28923,5.5599,-13.4866,-34.3888
1.80602,2.28261,5.54552,-13.463,-34.3896
1.81834,2.27972,5.53896,-13.4525,-34.39
1.84691,2.27193,5.5247,-13.4278,-34.3912
1.88964,2.25897,5.50252,-13.3913,-34.391
1.97581,2.23862,5.45339,-13.3205,-34.3884
2.03006,2.22898,5.42139,-13.2767,-34.3887
2.05348,2.22494,5.40701,-13.2583,-34.3896
2.11561,2.21358,5.36985,-13.2085,-34.3909
2.12577,2.21166,5.3638,-13.2004,-34.3914
2.15002,2.20549,5.34956,-13.1807,-34.3924
2.23668,2.18759,5.29467,-13.1137,-34.3937
2.23672,2.18758,5.29465,-13.1137,-34.3937
2.24056,2.18709,5.29198,-13.1109,-34.3938
2.36282,2.17432,5.21093,-13.0194,-34.3926
2.39491,2.17035,5.191,-12.9942,-34.3926
2.45069,2.16576,5.15557,-12.9511,-34.393
2.48314,2.16177,5.13508,-12.926,-34.3935
2.55642,2.15269,5.09091,-12.8675,-34.3935
2.61886,2.14614,5.04898,-12.8213,-34.3929
2.63456,2.14495,5.03776,-12.8103,-34.3924
2.65812,2.14268,5.02147,-12.7933,-34.3924
2.67961,2.14081,5.0064,-12.778,-34.392
2.68042,2.14073,5.00586,-12.7774,-34.392
2.74809,2.13444,4.96218,-12.7257,-34.3907
2.74978,2.13423,4.96116,-12.7243,-34.3908
2.80169,2.12842,4.9239,-12.6882,-34.3889
2.82509,2.12578,4.90817,-12.671,-34.3876
2.8405,2.12395,4.89783,-12.6595,-34.3873
2.88295,2.11957,4.86752,-12.6298,-34.3859
2.91264,2.1175,4.84578,-12.6097,-34.3842
2.91975,2.11717,4.84053,-12.6049,-34.3839
2.94357,2.11443,4.82328,-12.5885,-34.3837
2.99598,2.10929,4.78668,-12.551,-34.3812
2.99661,2.10921,4.78631,-12.5505,-34.3812
3.0434,2.10274,4.75493,-12.516,-34.3783
3.05785,2.10069,4.74528,-12.5053,-34.3769
3.07458,2.09789,4.73385,-12.4931,-34.3758
3.09578,2.09401,4.71924,-12.4779,-34.3739
3.12968,2.0874,4.69819,-12.4514,-34.372
3.14043,2.08523,4.69141,-12.4431,-34.3711
3.16422,2.08014,4.67498,-12.426,-34.3687
3.16985,2.07882,4.67084,-12.4223,-34.368
3.21487,2.0638,4.64677,-12.3847,-34.3619
3.22237,2.06124,4.64257,-12.3787,-34.3607
3.24612,2.05303,4.62556,-12.3626,-34.3564
3.27753,2.04209,4.60294,-12.3414,-34.3515
3.31644,2.02696,4.57804,-12.3121,-34.3455
3.37428,2.00433,4.53429,-12.2749,-34.3389
3.38264,2.00087,4.52897,-12.2685,-34.3377
3.42177,1.98441,4.50405,-12.239,-34.3314
3.43361,1.97953,4.49709,-12.2296,-34.3295
3.45765,1.97003,4.48233,-12.2109,-34.3266
3.50851,1.95048,4.45522,-12.1685,-34.3191
3.57428,1.92819,4.41798,-12.1155,-34.308
3.59833,1.92042,4.40484,-12.0958,-34.3037
3.62091,1.91142,4.39134,-12.0781,-34.2998
3.64077,1.90324,4.37992,-12.0622,-34.2966
3.64088,1.90319,4.37986,-12.0621,-34.2966
3.64806,1.9002,4.37606,-12.0561,-34.2952
3.67837,1.8873,4.36013,-12.0312,-34.2887
3.8206,1.8255,4.28027,-11.9191,-34.2527
3.83812,1.8188,4.27023,-11.9055,-34.2481
3.88442,1.80092,4.24208,-11.8702,-34.2379
3.89182,1.79809,4.23774,-11.8644,-34.2362
3.89789,1.79502,4.23454,-11.8597,-34.2343
4.04681,1.74307,4.15079,-11.7426,-34.1962
4.07568,1.73555,4.1344,-11.7199,-34.1891
4.09075,1.73194,4.12579,-11.7082,-34.1852
4.1214,1.72327,4.10879,-11.6842,-34.1765
4.1214,1.72327,4.10879,-11.6842,-34.1765
4.12251,1.72298,4.10818,-11.6833,-34.1762
4.13075,1.72036,4.10367,-11.6768,-34.174
4.16707,1.70902,4.08309,-11.6481,-34.1655
4.28381,1.67751,4.02106,-11.558,-34.1247
4.28383,1.67751,4.02106,-11.558,-34.1247
4.28601,1.67716,4.01998,-11.5562,-34.124
4.32084,1.66876,4.00062,-11.5298,-34.1121
4.32118,1.6687,4.00045,-11.5295,-34.112
4.33115,1.66639,3.99565,-11.5216,-34.1084
4.35486,1.66053,3.98396,-11.5024,-34.1008
4.35934,1.65924,3.9817,-11.4989,-34.0992
4.36676,1.65704,3.97769,-11.4932,-34.0967
4.45773,1.63635,3.92965,-11.4214,-34.068
4.51533,1.62859,3.89729,-11.3778,-34.0487
4.5578,1.62249,3.87573,-11.3451,-34.0325
4.55956,1.62212,3.87497,-11.3437,-34.0317
4.60957,1.61192,3.85012,-11.3047,-34.0126
4.66122,1.60054,3.82454,-11.2648,-33.9921
4.72482,1.59003,3.79064,-11.2177,-33.9661
4.72485,1.59003,3.79062,-11.2177,-33.9661
4.72534,1.58998,3.79036,-11.2173,-33.9659
4.75394,1.5852,3.77631,-11.1959,-33.9531
4.75394,1.5852,3.77631,-11.1959,-33.9531
4.75399,1.58519,3.77629,-11.1959,-33.953
4.78141,1.57824,3.75992,-11.1767,-33.9424
4.78756,1.57673,3.7563,-11.1722,-33.9401
4.80042,1.57367,3.74939,-11.1627,-33.9349
4.80989,1.57099,3.74432,-11.1559,-33.9307
4.88719,1.54887,3.70419,-11.1001,-33.8954
4.92162,1.54041,3.68639,-11.0751,-33.8798
4.96037,1.53024,3.66648,-11.0458,-33.864
5.05558,1.51074,3.62625,-10.9713,-33.8205
5.06652,1.5085,3.62091,-10.9631,-33.8156
5.07136,1.50742,3.61855,-10.9595,-33.8133
5.07858,1.50578,3.61522,-10.9541,-33.8099
5.0786,1.50578,3.61522,-10.9541,-33.8099
5.07971,1.50551,3.61465,-10.9533,-33.8094
5.13503,1.49205,3.58645,-10.9118,-33.7861
5.19257,1.48152,3.55609,-10.8679,-33.7645
5.20485,1.47911,3.54993,-10.8583,-33.76
5.22238,1.47474,3.54166,-10.8442,-33.7538
5.22424,1.47419,3.54078,-10.8426,-33.7532
5.22627,1.47347,3.53992,-10.8409,-33.7526
5.22673,1.4733,3.53972,-10.8405,-33.7524
5.25223,1.46541,3.52604,-10.8209,-33.7437
5.28472,1.45531,3.5099,-10.7954,-33.7316
5.31738,1.4439,3.49526,-10.7688,-33.7196
5.31748,1.44385,3.49523,-10.7687,-33.7196
5.32228,1.44159,3.49376,-10.7644,-33.718
5.39254,1.41503,3.46862,-10.7031,-33.6946
5.41105,1.40744,3.46324,-10.686,-33.6899
5.43328,1.3985,3.45689,-10.6656,-33.6837
5.43748,1.39671,3.45561,-10.6617,-33.6827
5.44231,1.39448,3.45412,-10.6573,-33.6814
5.47704,1.37822,3.44483,-10.6255,-33.6713
5.58365,1.33253,3.41803,-10.5264,-33.6425
5.61074,1.32069,3.41324,-10.5003,-33.6366
5.64394,1.30758,3.40699,-10.4688,-33.6284
5.64773,1.30602,3.40618,-10.4653,-33.6273
5.64958,1.3052,3.40575,-10.4635,-33.6269
5.69117,1.28882,3.39456,-10.4252,-33.6151
5.73397,1.27195,3.38227,-10.3853,-33.6056
5.74686,1.26863,3.37846,-10.3733,-33.6031
5.84029,1.24783,3.34755,-10.2871,-33.5846
5.85498,1.24564,3.34335,-10.2735,-33.581
5.87741,1.24313,3.33379,-10.2538,-33.576
5.87877,1.24289,3.33328,-10.2526,-33.5757
5.88258,1.24206,3.33189,-10.2491,-33.5749
5.88381,1.24176,3.33149,-10.248,-33.5747
5.90194,1.23725,3.32521,-10.2313,-33.5715
5.97453,1.22805,3.29678,-10.1664,-33.5557
6.02097,1.22761,3.27875,-10.1244,-33.5473
6.04608,1.22736,3.268,-10.1019,-33.5444
6.07129,1.22655,3.25886,-10.0787,-33.541
6.0738,1.22645,3.25791,-10.0764,-33.5407
6.08939,1.22425,3.25402,-10.0614,-33.539
6.18487,1.22397,3.22355,-9.97232,-33.5228
6.1849,1.22397,3.22355,-9.97229,-33.5228
6.18763,1.22412,3.22303,-9.96962,-33.5226
6.20739,1.22567,3.21866,-9.95049,-33.5203
6.23533,1.2271,3.21335,-9.92318,-33.5177
6.25359,1.22877,3.20846,-9.90578,-33.5151
6.29151,1.23161,3.19663,-9.86995,-33.5114
6.29407,1.23194,3.19587,-9.86753,-33.511
6.33153,1.23538,3.18814,-9.83105,-33.5075
6.33387,1.23556,3.18726,-9.82887,-33.5074
6.38134,1.23938,3.1709,-9.78458,-33.5025
6.4205,1.24127,3.16286,-9.74631,-33.5006
6.42515,1.2416,3.16185,-9.74178,-33.5003
6.46247,1.24496,3.1536,-9.7054,-33.499
6.4876,1.24774,3.1483,-9.68084,-33.4991
6.50884,1.25144,3.14112,-9.66091,-33.4976
6.52452,1.25367,3.1362,-9.64602,-33.4971
6.52816,1.25401,3.13508,-9.64257,-33.4972
6.56803,1.2567,3.12599,-9.60374,-33.497
6.57275,1.25698,3.12518,-9.59909,-33.4969
6.64502,1.26383,3.11483,-9.52758,-33.4983
6.65303,1.26475,3.11437,-9.51961,-33.4988
6.67692,1.26789,3.11142,-9.4959,-33.4994
6.67701,1.26791,3.1114,-9.49582,-33.4994
6.69159,1.26958,3.10834,-9.48157,-33.4995
6.7139,1.27088,3.10509,-9.45952,-33.5007
6.72784,1.27142,3.10396,-9.44565,-33.5013
6.73947,1.27176,3.10283,-9.4341,-33.5021
6.77789,1.2749,3.0949,-9.39651,-33.5029
6.81651,1.28192,3.08256,-9.35994,-33.5039
6.82417,1.28279,3.08173,-9.35235,-33.5046
6.86192,1.28913,3.07291,-9.31568,-33.506
6.86193,1.28913,3.07291,-9.31567,-33.506
6.86309,1.28934,3.0726,-9.31455,-33.5061
6.8658,1.2897,3.07183,-9.31195,-33.5063
6.90747,1.29432,3.06237,-9.27147,-33.5092
6.93304,1.29792,3.05724,-9.24659,-33.512
6.94152,1.29904,3.05575,-9.2383,-33.513
6.95442,1.30077,3.05307,-9.22572,-33.514
6.99408,1.30624,3.04552,-9.18704,-33.5184
6.9999,1.30707,3.04419,-9.18138,-33.5187
7.02992,1.31125,3.03614,-9.1526,-33.5215
7.07084,1.31686,3.0248,-9.11353,-33.526
7.09687,1.32153,3.01459,-9.0898,-33.5292
7.10008,1.32211,3.01336,-9.08685,-33.5294
7.12124,1.32492,3.00925,-9.06626,-33.5321
7.14253,1.32743,3.00563,-9.04558,-33.5357
7.17136,1.33092,3.00147,-9.01734,-33.5397
7.19148,1.33319,2.99853,-8.99773,-33.5431
7.20747,1.33478,2.99641,-8.98205,-33.5454
7.23982,1.33785,2.99119,-8.95062,-33.551
7.26082,1.34012,2.98799,-8.93008,-33.5539
7.26206,1.34027,2.98775,-8.92887,-33.5541
7.31435,1.3471,2.98148,-8.87782,-33.5635
7.36588,1.35562,2.97115,-8.82812,-33.5724
7.3747,1.35727,2.96848,-8.81988,-33.574
7.38247,1.35844,2.96617,-8.81256,-33.5752
7.41004,1.36199,2.95785,-8.78684,-33.5807
7.42001,1.36325,2.95491,-8.77753,-33.5826
7.45197,1.36816,2.94728,-8.747,-33.5882
7.46492,1.36996,2.94417,-8.73473,-33.591
7.50741,1.37651,2.93412,-8.69418,-33.5988
7.54737,1.38384,2.9262,-8.65608,-33.6078
7.61347,1.39752,2.91409,-8.59317,-33.6241
7.61376,1.39759,2.91404,-8.59289,-33.6242
7.62561,1.40035,2.91202,-8.58173,-33.6276
