"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,1.96502,19.6517,-26.4129,-16.7169
0.0273983,1.96938,19.63,-26.3964,-16.7141
0.0731234,1.97507,19.5947,-26.3685,-16.7062
0.0983104,1.97819,19.5735,-26.3548,-16.7049
0.227765,2.00322,19.4574,-26.3,-16.7207
0.264877,2.00882,19.4266,-26.2792,-16.7198
0.266225,2.00875,19.4255,-26.2786,-16.7201
0.416139,2.00978,19.305,-26.1895,-16.725
0.462359,2.00964,19.2669,-26.1635,-16.7274
0.55427,2.00315,19.1907,-26.1126,-16.7357
0.719414,2.00581,19.0596,-26.0139,-16.7535
0.728238,2.00571,19.0521,-26.0092,-16.754
0.729114,2.00559,19.0514,-26.0087,-16.7541
0.844226,1.99937,18.9594,-25.9397,-16.7594
0.976009,2.00572,18.8571,-25.8582,-16.7752
1.03576,2.01224,18.8094,-25.8224,-16.7795
1.1012,2.01831,18.7601,-25.7801,-16.7875
1.16254,2.02254,18.7119,-25.7423,-16.7906
1.32903,2.03977,18.5818,-25.642,-16.8176
1.34241,2.04209,18.5714,-25.6336,-16.8182
1.46511,2.05811,18.4776,-25.5567,-16.8365
1.49226,2.06238,18.4564,-25.5398,-16.8384
1.63243,2.0837,18.3513,-25.4493,-16.8587
1.6626,2.08952,18.3276,-25.4309,-16.862
1.73367,2.09944,18.2741,-25.3858,-16.8744
1.76186,2.10402,18.2522,-25.3687,-16.8792
1.77319,2.10566,18.2431,-25.3622,-16.8809
1.79403,2.10869,18.2273,-25.3488,-16.8828
1.89464,2.11914,18.1498,-25.2889,-16.906
1.91682,2.12104,18.1334,-25.2746,-16.9103
1.9223,2.12141,18.1292,-25.2713,-16.9114
1.98116,2.12435,18.0843,-25.2358,-16.9252
2.01414,2.12623,18.0594,-25.2149,-16.9307
2.05612,2.12652,18.029,-25.1876,-16.9403
2.0984,2.12684,17.9981,-25.1599,-16.9482
2.11028,2.12704,17.9891,-25.1523,-16.9503
2.14097,2.12698,17.9674,-25.1307,-16.9516
2.25465,2.12455,17.8831,-25.0585,-16.9762
2.26552,2.12424,17.875,-25.0514,-16.9775
2.38715,2.11953,17.789,-24.9674,-16.9962
2.40417,2.11881,17.7774,-24.955,-16.9976
2.40713,2.11857,17.7753,-24.9529,-16.9979
2.49619,2.11128,17.7104,-24.8944,-17.0147
2.5193,2.11055,17.6937,-24.8788,-17.018
2.51999,2.1106,17.6932,-24.8783,-17.0181
2.52221,2.11053,17.6917,-24.8767,-17.0183
2.56015,2.11002,17.6661,-24.8489,-17.0221
2.566,2.10968,17.6619,-24.8448,-17.0226
2.73025,2.10976,17.543,-24.7349,-17.0499
2.75003,2.11032,17.5299,-24.7204,-17.0533
2.75869,2.11012,17.524,-24.7143,-17.0545
2.77906,2.10952,17.5093,-24.7008,-17.0586
2.87029,2.10706,17.4405,-24.6427,-17.0733
3.00989,2.11552,17.342,-24.5474,-17.0998
3.06302,2.1223,17.3034,-24.5114,-17.1059
3.07675,2.1234,17.2932,-24.5022,-17.1072
3.12879,2.12639,17.2567,-24.4659,-17.1147
3.18022,2.1291,17.2192,-24.4313,-17.1206
3.18833,2.12965,17.2133,-24.4257,-17.1216
3.34517,2.15076,17.1018,-24.3197,-17.1519
3.34523,2.15077,17.1017,-24.3197,-17.1519
3.35335,2.15197,17.0956,-24.3145,-17.1531
3.35394,2.15205,17.0952,-24.3141,-17.1532
3.39053,2.15705,17.0682,-24.2901,-17.1592
3.50593,2.17359,16.9882,-24.2103,-17.1825
3.50901,2.17387,16.9859,-24.2083,-17.1831
3.66954,2.19751,16.8711,-24.0997,-17.2112
3.79074,2.21363,16.7826,-24.0207,-17.2361
3.80093,2.21544,16.7753,-24.0141,-17.2385
3.89677,2.22135,16.7036,-23.9545,-17.2607
3.91322,2.22157,16.691,-23.9444,-17.2643
3.91824,2.2214,16.6872,-23.9414,-17.2653
4.00809,2.21543,16.6206,-23.8849,-17.2866
4.02531,2.21339,16.6068,-23.8757,-17.2912
4.13577,2.19877,16.523,-23.8113,-17.3233
4.20057,2.19292,16.477,-23.7697,-17.342
4.22005,2.19062,16.4625,-23.7576,-17.3469
4.28199,2.18082,16.4167,-23.7168,-17.3554
4.31092,2.17528,16.3955,-23.6982,-17.3618
4.51404,2.15081,16.247,-23.5767,-17.4284
4.54253,2.14942,16.2246,-23.5617,-17.4377
4.59797,2.1441,16.1792,-23.5343,-17.4538
4.66545,2.13652,16.1282,-23.4936,-17.4711
4.76839,2.13753,16.0539,-23.4289,-17.5008
4.84129,2.13831,16.0011,-23.3834,-17.5223
4.87713,2.1449,15.9763,-23.3592,-17.5312
4.96602,2.14715,15.9111,-23.3043,-17.5567
4.96959,2.14749,15.9084,-23.3022,-17.5577
5.04727,2.1549,15.849,-23.2574,-17.58
5.07191,2.15836,15.8302,-23.2425,-17.5856
5.18903,2.17221,15.7472,-23.1662,-17.6174
5.27688,2.18977,15.6852,-23.1072,-17.6371
5.2885,2.19289,15.6775,-23.099,-17.6401
5.39201,2.21983,15.6074,-23.0301,-17.6724
5.45173,2.23813,15.5652,-22.9909,-17.6882
5.59332,2.27058,15.469,-22.8927,-17.7222
5.61289,2.27549,15.4563,-22.8792,-17.7284
5.64575,2.28338,15.4343,-22.8567,-17.7379
5.73538,2.30466,15.378,-22.7931,-17.7665
5.74333,2.30648,15.3728,-22.7877,-17.7692
5.7619,2.30971,15.3598,-22.7758,-17.7751
5.79139,2.31434,15.3393,-22.757,-17.7849
5.93709,2.34287,15.2452,-22.6583,-17.8361
5.9397,2.3432,15.2436,-22.6565,-17.8372
6.02451,2.35252,15.1891,-22.6007,-17.8705
6.03034,2.35315,15.1851,-22.597,-17.8727
6.05713,2.35602,15.167,-22.5805,-17.8834
6.13463,2.36401,15.1126,-22.5358,-17.9158
6.25061,2.36672,15.0326,-22.4674,-17.9644
6.25261,2.36674,15.0313,-22.4662,-17.9654
6.31612,2.36314,14.9914,-22.4287,-17.9976
6.35737,2.35959,14.9654,-22.4034,-18.0173
6.36583,2.35846,14.9602,-22.3982,-18.0214
6.44921,2.34827,14.9074,-22.3452,-18.0582
6.57276,2.34263,14.8298,-22.2701,-18.1183
6.6575,2.33293,14.7804,-22.2179,-18.1632
6.7601,2.32171,14.712,-22.1634,-18.2167
6.79289,2.31634,14.6913,-22.1461,-18.2353
6.79655,2.31553,14.6891,-22.1441,-18.2375
6.95437,2.29069,14.5904,-22.055,-18.3226
6.98276,2.28368,14.5731,-22.0394,-18.3387
7.00455,2.27726,14.5601,-22.0282,-18.3523
7.06855,2.25612,14.5242,-21.9928,-18.3916
7.07652,2.25351,14.5194,-21.9883,-18.3962
7.12026,2.23982,14.4929,-21.9633,-18.4203
7.18463,2.2188,14.4518,-21.9299,-18.4568
7.20811,2.21073,14.4377,-21.9162,-18.4698
7.38631,2.13726,14.3426,-21.8084,-18.5751
7.39758,2.13351,14.3355,-21.8032,-18.5821
7.53933,2.08512,14.2548,-21.7254,-18.6688
7.6056,2.06521,14.2166,-21.6855,-18.7055
7.62874,2.05822,14.2036,-21.6724,-18.7194
7.70841,2.03361,14.1611,-21.6272,-18.7694
7.81676,2.00433,14.1076,-21.562,-18.8374
7.88015,1.99025,14.0736,-21.5224,-18.8735
