"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,3.46403,21.2154,-18.3661,-2.16217
0.0916875,3.47838,21.1279,-18.3886,-2.1462
0.19399,3.48959,21.0344,-18.424,-2.1248
0.263316,3.49838,20.9698,-18.4446,-2.11031
0.392754,3.49491,20.8507,-18.4808,-2.07491
0.44508,3.49452,20.8027,-18.4977,-2.06244
0.632253,3.50418,20.6277,-18.5493,-2.02069
0.671415,3.50242,20.5931,-18.5621,-2.0075
0.721337,3.49926,20.5495,-18.5793,-1.99036
0.859536,3.49525,20.426,-18.6233,-1.94668
0.910612,3.49317,20.3797,-18.6365,-1.92956
0.975761,3.48103,20.3228,-18.6582,-1.90639
1.06882,3.46538,20.2398,-18.6856,-1.87442
1.06884,3.46538,20.2398,-18.6856,-1.87441
1.07457,3.4643,20.2348,-18.6869,-1.87198
1.33848,3.42748,20.0066,-18.7669,-1.76624
1.35453,3.42691,19.9936,-18.7717,-1.75819
1.35761,3.42642,19.9911,-18.7726,-1.75662
1.57619,3.36493,19.81,-18.8553,-1.66645
1.58044,3.36322,19.8067,-18.8566,-1.66411
1.67994,3.32014,19.7325,-18.8815,-1.60268
1.68229,3.3188,19.7307,-18.8821,-1.60122
1.90472,3.18607,19.5595,-18.965,-1.48597
1.95631,3.15723,19.5178,-18.9822,-1.46086
2.01649,3.1201,19.4723,-19.0098,-1.43286
2.29217,2.96406,19.2532,-19.1031,-1.29388
2.54057,2.84496,19.0476,-19.1487,-1.16221
2.83417,2.74293,18.8131,-19.2377,-1.00959
2.99176,2.71262,18.6888,-19.2637,-0.916273
3.31439,2.64466,18.4331,-19.356,-0.742568
3.33747,2.64115,18.4143,-19.362,-0.73057
3.44154,2.62595,18.3332,-19.3946,-0.674155
3.50684,2.6174,18.2831,-19.4158,-0.637931
3.54652,2.61242,18.254,-19.4306,-0.615416
3.55729,2.61079,18.2458,-19.4346,-0.609675
3.64991,2.59554,18.1725,-19.4663,-0.562725
3.72886,2.58336,18.1119,-19.4911,-0.518558
3.89398,2.56099,17.98,-19.5608,-0.447943
3.90334,2.55968,17.9727,-19.5644,-0.443346
3.93719,2.55187,17.9446,-19.5762,-0.428462
4.05358,2.52823,17.8504,-19.6121,-0.370296
4.1714,2.50763,17.7532,-19.649,-0.31502
4.21131,2.49993,17.7185,-19.6597,-0.298241
4.21366,2.49938,17.7165,-19.6602,-0.297129
4.21906,2.49827,17.712,-19.662,-0.29489
4.36719,2.47207,17.5858,-19.6896,-0.222297
4.37327,2.47112,17.5805,-19.6912,-0.219757
4.38416,2.46887,17.5713,-19.6941,-0.214748
4.44344,2.45469,17.5219,-19.7104,-0.186322
4.61134,2.4315,17.3764,-19.7455,-0.110207
4.67262,2.42538,17.3244,-19.7585,-0.0805425
4.69533,2.42339,17.3044,-19.7628,-0.0706781
4.74869,2.41774,17.2583,-19.7701,-0.0448614
4.7896,2.41432,17.2233,-19.7788,-0.0254741
4.79501,2.41348,17.2185,-19.7798,-0.0231896
