"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.39571,7.06338,-25.0013,-21.0354
0.0315084,2.38951,7.05847,-24.9999,-21.0043
0.0951924,2.37159,7.04383,-24.9979,-20.9424
0.0992812,2.37027,7.04327,-24.9979,-20.9383
0.565148,2.35069,6.87868,-25.0612,-20.5071
0.573625,2.35203,6.87696,-25.0615,-20.4989
0.729111,2.38745,6.82174,-25.0815,-20.3549
0.866444,2.41406,6.76533,-25.0981,-20.2308
0.996973,2.46526,6.70852,-25.1197,-20.1153
1.04529,2.48047,6.68676,-25.1215,-20.0722
1.06374,2.48506,6.67978,-25.1225,-20.0551
1.08373,2.48958,6.67275,-25.1242,-20.0365
1.12096,2.49812,6.65876,-25.1281,-20.0022
1.21114,2.51252,6.61834,-25.1326,-19.9217
1.23823,2.51585,6.60519,-25.1326,-19.898
1.24875,2.51677,6.59983,-25.132,-19.889
1.34253,2.52467,6.55067,-25.1266,-19.8093
1.35065,2.52376,6.54586,-25.1253,-19.8029
1.36164,2.52152,6.5397,-25.1239,-19.7939
1.49297,2.49306,6.47298,-25.1093,-19.6817
1.54735,2.47972,6.4488,-25.0955,-19.635
1.63668,2.45008,6.40508,-25.0753,-19.5598
1.80737,2.3824,6.3164,-25.0427,-19.4176
1.9794,2.31483,6.22671,-25.0142,-19.2736
2.01475,2.30414,6.20697,-25.01,-19.2446
2.15891,2.26927,6.12128,-24.984,-19.1316
2.24007,2.24269,6.07408,-24.9668,-19.0679
2.50666,2.19127,5.92612,-24.9151,-18.8522
2.55817,2.19098,5.89527,-24.907,-18.8118
2.56046,2.19093,5.89385,-24.9067,-18.81
2.56293,2.19081,5.89225,-24.9065,-18.8081
2.62002,2.18667,5.85739,-24.8986,-18.7636
2.75702,2.17731,5.77644,-24.867,-18.6577
2.86758,2.17797,5.71045,-24.842,-18.5726
2.88154,2.17812,5.70176,-24.8383,-18.5623
2.95022,2.18143,5.65992,-24.8227,-18.5102
3.04221,2.18809,5.60155,-24.8018,-18.4422
3.0544,2.18926,5.59368,-24.7985,-18.4335
3.18523,2.20306,5.51255,-24.7679,-18.3355
3.20241,2.20502,5.50136,-24.7632,-18.3233
3.27815,2.21524,5.45174,-24.7453,-18.269
3.33893,2.224,5.41378,-24.7329,-18.2232
3.43883,2.23948,5.3498,-24.7067,-18.151
3.50956,2.25306,5.30624,-24.6911,-18.0976
3.5801,2.26707,5.26101,-24.672,-18.0469
3.59433,2.26979,5.25156,-24.6685,-18.0369
3.65225,2.28799,5.21423,-24.6528,-17.9954
3.65621,2.28891,5.21187,-24.6519,-17.9924
3.67505,2.29193,5.20072,-24.6461,-17.9784
3.67632,2.29212,5.19997,-24.6458,-17.9774
3.72412,2.29999,5.17009,-24.6331,-17.9423
3.80698,2.32196,5.11655,-24.6119,-17.8827
3.80782,2.32219,5.116,-24.6116,-17.8822
3.87669,2.34097,5.07097,-24.5902,-17.8346
3.98459,2.37214,5.00246,-24.5624,-17.756
3.98919,2.37377,4.99947,-24.5613,-17.7528
4.0373,2.3867,4.96718,-24.5466,-17.7202
4.11196,2.40179,4.91544,-24.5303,-17.6689
4.12787,2.40508,4.90453,-24.5263,-17.6581
4.21205,2.42222,4.8486,-24.5078,-17.5979
4.31052,2.44075,4.79036,-24.4878,-17.5211
4.31617,2.4415,4.78658,-24.4871,-17.517
4.33214,2.44223,4.77654,-24.4855,-17.5047
4.48102,2.44573,4.67847,-24.4604,-17.3955
4.48169,2.44576,4.67806,-24.4604,-17.3949
4.56463,2.44959,4.62724,-24.4506,-17.3301
4.60252,2.45262,4.60332,-24.4454,-17.3012
4.7276,2.45177,4.5274,-24.4315,-17.2028
4.79534,2.4511,4.48764,-24.4285,-17.148
4.79541,2.45109,4.48759,-24.4285,-17.148
4.81497,2.44967,4.47503,-24.4275,-17.133
4.95559,2.43209,4.39652,-24.4189,-17.0167
5.08817,2.41341,4.32081,-24.4114,-16.9081
5.10105,2.41218,4.31383,-24.4111,-16.8973
5.16,2.40475,4.28423,-24.408,-16.8464
5.20799,2.39635,4.25731,-24.4049,-16.8068
5.30716,2.37738,4.20853,-24.3942,-16.7211
5.48392,2.33932,4.11983,-24.3772,-16.5692
5.58569,2.32293,4.0653,-24.3825,-16.4834
5.65422,2.31389,4.03217,-24.3845,-16.4234
5.76449,2.30025,3.97619,-24.3778,-16.3287
5.78677,2.29831,3.9644,-24.3789,-16.3098
5.82116,2.29488,3.9477,-24.3798,-16.2797
5.88205,2.28456,3.91516,-24.3771,-16.2284
5.96944,2.26525,3.87535,-24.3671,-16.1512
6.07852,2.24465,3.81968,-24.361,-16.0576
6.08503,2.24269,3.81658,-24.3603,-16.0519
6.08872,2.24122,3.81522,-24.36,-16.0485
6.11126,2.22863,3.80145,-24.362,-16.0307
6.31847,2.12627,3.67738,-24.3614,-15.8648
6.46763,2.05024,3.59831,-24.361,-15.7383
6.60097,1.98818,3.52012,-24.3595,-15.6303
6.79093,1.90305,3.42441,-24.3492,-15.4665
6.89658,1.8449,3.36806,-24.3521,-15.3772
7.04485,1.78226,3.28408,-24.353,-15.255
7.04492,1.78223,3.28404,-24.353,-15.255
7.05068,1.78006,3.28053,-24.3529,-15.2504
7.09487,1.75595,3.2561,-24.3559,-15.2137
7.26916,1.68028,3.16023,-24.352,-15.0682
7.28525,1.67459,3.15179,-24.3527,-15.0545
7.49182,1.5891,3.03858,-24.3565,-14.8818
7.49317,1.58862,3.03775,-24.3567,-14.8807
7.50824,1.58193,3.02883,-24.3574,-14.8686
7.54327,1.56679,3.00877,-24.3585,-14.8399
7.54845,1.56415,3.00603,-24.359,-14.8355
7.75018,1.48768,2.89322,-24.3652,-14.6684
7.78593,1.47987,2.87387,-24.3628,-14.6385
7.80022,1.47572,2.8666,-24.3627,-14.6262
7.87646,1.45192,2.82428,-24.358,-14.5629
8.02103,1.42168,2.75081,-24.3593,-14.4384
8.08803,1.41656,2.72026,-24.3494,-14.3796
8.13222,1.41101,2.69076,-24.3543,-14.3471
8.15734,1.40796,2.67396,-24.3568,-14.3286
8.18817,1.40455,2.65532,-24.3565,-14.304
8.2353,1.40098,2.62901,-24.3593,-14.265
8.28846,1.39636,2.60289,-24.3589,-14.2187
8.38928,1.4015,2.54943,-24.3522,-14.1335
8.39944,1.40194,2.54372,-24.3527,-14.1251
8.50134,1.40899,2.48474,-24.3511,-14.042
8.53197,1.41188,2.46841,-24.3524,-14.0161
8.64839,1.43014,2.40492,-24.3482,-13.9186
8.74592,1.44931,2.35505,-24.3443,-13.8349
8.75045,1.45004,2.35281,-24.3443,-13.831
8.85166,1.46721,2.30275,-24.3369,-13.7433
8.86601,1.47029,2.29563,-24.3353,-13.731
8.90856,1.48082,2.2728,-24.333,-13.6951
8.9087,1.48085,2.27273,-24.333,-13.695
8.9429,1.49057,2.2556,-24.3318,-13.6655
8.98081,1.50074,2.23474,-24.3293,-13.6339
8.98174,1.50103,2.23418,-24.3293,-13.6331
9.00206,1.50726,2.22194,-24.3283,-13.617
9.00933,1.50879,2.21792,-24.3283,-13.6109
9.06665,1.52086,2.19079,-24.3223,-13.5608
9.12535,1.53274,2.15557,-24.3161,-13.5142
9.14794,1.53739,2.14502,-24.3138,-13.4944
9.17448,1.54209,2.13212,-24.3096,-13.4716
9.19774,1.54593,2.11967,-24.3065,-13.4521
9.2075,1.5476,2.11435,-24.3049,-13.4441
9.20768,1.54763,2.11425,-24.3049,-13.444
9.25249,1.55467,2.08934,-24.2959,-13.4079
9.26264,1.55614,2.0844,-24.2931,-13.3994
9.27246,1.55698,2.07977,-24.291,-13.391
9.3145,1.56128,2.05962,-24.2824,-13.3552
9.36622,1.56215,2.03504,-24.2663,-13.3126
9.40243,1.56119,2.01529,-24.2553,-13.2843
9.48098,1.56198,1.97255,-24.2345,-13.2217
9.52237,1.56284,1.94992,-24.2206,-13.19
9.61721,1.563,1.89992,-24.1905,-13.1153
9.67182,1.56944,1.87243,-24.1708,-13.0724
9.67271,1.56957,1.87204,-24.1704,-13.0717
9.70455,1.57127,1.85552,-24.1585,-13.0472
9.71398,1.57165,1.85049,-24.1553,-13.0399
9.71903,1.57176,1.84768,-24.1534,-13.0361
9.76561,1.57361,1.82227,-24.1354,-13.0015
9.76563,1.57361,1.82226,-24.1354,-13.0015
9.77047,1.57324,1.81997,-24.1334,-12.9977
9.86471,1.57268,1.77275,-24.0943,-12.9261
9.86697,1.57294,1.77163,-24.0933,-12.9244
9.91174,1.57816,1.74927,-24.0736,-12.891
9.92627,1.58052,1.74164,-24.0679,-12.8801
9.95293,1.58411,1.72745,-24.0585,-12.8596
9.96142,1.585,1.72275,-24.0551,-12.8533
9.99963,1.58759,1.70434,-24.0379,-12.8246
10.0148,1.58841,1.69758,-24.0312,-12.8129
10.1055,1.60285,1.65377,-23.9902,-12.7447
10.1633,1.61422,1.62565,-23.9661,-12.7004
10.1689,1.61557,1.62318,-23.9639,-12.6959
10.2093,1.62423,1.60463,-23.9475,-12.664
10.2265,1.62755,1.59716,-23.9405,-12.6502
10.2839,1.63922,1.56927,-23.916,-12.6063
10.323,1.64813,1.54875,-23.9022,-12.576
10.3328,1.65067,1.5445,-23.898,-12.5683
10.3331,1.65077,1.54435,-23.8978,-12.5681
10.3613,1.65846,1.53178,-23.8853,-12.5462
10.372,1.66085,1.52735,-23.8809,-12.5374
10.3837,1.66341,1.52242,-23.8765,-12.5279
10.3838,1.66344,1.52236,-23.8764,-12.5278
10.4163,1.67126,1.50809,-23.8635,-12.5016
10.4166,1.67135,1.50791,-23.8634,-12.5013
10.4402,1.67745,1.49718,-23.8537,-12.4828
10.4402,1.67748,1.49715,-23.8537,-12.4827
10.4592,1.68307,1.48821,-23.8465,-12.4676
10.4856,1.69123,1.47522,-23.838,-12.4463
10.5202,1.70233,1.46052,-23.8248,-12.4178
10.5383,1.70793,1.45363,-23.818,-12.4025
10.5576,1.71386,1.44574,-23.8118,-12.3861
10.5901,1.72275,1.43142,-23.7996,-12.3595
10.6012,1.72577,1.42674,-23.7958,-12.3503
10.6378,1.73596,1.41252,-23.7819,-12.3195
