"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,3.21957,10.407,-14.2211,1.92636
0.0191235,3.22279,10.4246,-14.224,1.93328
0.318719,3.22971,10.6872,-14.1785,2.07014
0.366087,3.23518,10.7299,-14.1709,2.08912
0.547836,3.25945,10.8975,-14.1383,2.15151
0.585925,3.26375,10.9317,-14.1317,2.16683
0.72262,3.2868,11.0511,-14.1084,2.22925
0.7968,3.29871,11.115,-14.0921,2.26307
0.873306,3.31402,11.1835,-14.0771,2.2938
1.01717,3.3441,11.3158,-14.0511,2.34393
1.05041,3.35144,11.3456,-14.045,2.35726
1.20948,3.38365,11.4874,-14.0357,2.42883
1.25334,3.38795,11.528,-14.0281,2.44366
1.25375,3.38799,11.5283,-14.0281,2.44381
1.35509,3.3978,11.6213,-14.0135,2.48153
1.35558,3.39787,11.6217,-14.0135,2.48172
1.38529,3.40207,11.6488,-14.0093,2.49322
1.67276,3.46077,11.9079,-13.9866,2.61563
1.67765,3.46206,11.9124,-13.9862,2.61746
1.68483,3.46325,11.9192,-13.9857,2.61978
1.70829,3.46785,11.941,-13.9821,2.62759
1.79269,3.47944,12.0182,-13.971,2.65994
1.91484,3.50279,12.1287,-13.957,2.71013
2.17634,3.58274,12.3632,-13.9402,2.82452
2.19917,3.58836,12.3841,-13.9405,2.83385
2.22089,3.593,12.4035,-13.9401,2.84352
2.23885,3.59579,12.42,-13.9398,2.85056
2.31675,3.60327,12.4907,-13.9424,2.88315
2.31739,3.60338,12.4913,-13.9423,2.88344
2.36996,3.61256,12.5381,-13.9393,2.9072
2.43185,3.62566,12.5922,-13.9337,2.93671
2.43663,3.62618,12.5963,-13.9335,2.93916
2.50598,3.62676,12.658,-13.9345,2.9708
2.57332,3.61858,12.7186,-13.9374,3.00014
2.57619,3.61765,12.7212,-13.9377,3.00127
2.64401,3.5875,12.7801,-13.9483,3.03317
2.86024,3.50252,12.973,-13.9749,3.12717
2.9588,3.4724,13.0615,-13.9755,3.17046
3.03916,3.44776,13.1329,-13.964,3.20558
3.67665,3.32174,13.7023,-13.981,3.4917
4.17887,3.35339,14.1466,-14.0161,3.72322
4.28789,3.38362,14.2465,-14.0221,3.76641
4.29948,3.38621,14.2574,-14.0227,3.77033
4.57321,3.42756,14.5025,-14.0547,3.88792
4.73434,3.47004,14.6515,-14.0715,3.94708
4.74825,3.47288,14.6647,-14.0725,3.95122
4.79023,3.47775,14.7038,-14.0761,3.96614
4.79732,3.47806,14.7102,-14.0769,3.96897
4.85256,3.4829,14.7605,-14.0848,3.99042
4.94678,3.49371,14.846,-14.0966,4.02825
4.9472,3.49376,14.8464,-14.0966,4.0284
5.05174,3.50693,14.9439,-14.1072,4.06466
5.14833,3.52317,15.0351,-14.1166,4.09488
5.16262,3.52509,15.0488,-14.1182,4.0987
5.26216,3.53068,15.1419,-14.1349,4.12971
5.48929,3.54132,15.3563,-14.1654,4.19817
5.56469,3.54455,15.4266,-14.1832,4.21871
5.70683,3.55205,15.5609,-14.2089,4.25767
5.83528,3.55976,15.6829,-14.223,4.29543
5.95987,3.57073,15.8008,-14.2437,4.32992
5.96554,3.5712,15.8061,-14.2449,4.33144
5.9992,3.57141,15.8379,-14.2529,4.33901
6.04734,3.56565,15.8832,-14.263,4.35188
6.04739,3.56564,15.8832,-14.263,4.35189
6.04975,3.56512,15.8855,-14.2633,4.35249
6.19727,3.52574,16.0239,-14.2933,4.39374
6.2914,3.50259,16.11,-14.3208,4.42004
6.38989,3.46917,16.2031,-14.3367,4.44798
6.41401,3.45985,16.2258,-14.3413,4.45465
6.45875,3.44169,16.2684,-14.3484,4.46655
6.55581,3.39329,16.3593,-14.3694,4.49324
6.7282,3.30966,16.5244,-14.3971,4.53447
6.80948,3.271,16.6016,-14.4173,4.54982
6.9783,3.1903,16.7616,-14.4388,4.59907
7.00136,3.18001,16.7837,-14.4431,4.60412
7.20239,3.09009,16.9795,-14.46,4.64654
7.24235,3.06758,17.0181,-14.4646,4.65576
7.51077,2.9367,17.2811,-14.4909,4.70269
7.52982,2.9286,17.2997,-14.4943,4.70473
7.67864,2.85688,17.4454,-14.4882,4.73455
7.8161,2.78179,17.5777,-14.4734,4.76857
7.83001,2.77538,17.5911,-14.4771,4.76952
8.08324,2.64522,17.8412,-14.4866,4.80849
8.11887,2.62396,17.8746,-14.4773,4.81643
8.11901,2.62386,17.8748,-14.4773,4.81646
8.1304,2.61619,17.8859,-14.4773,4.81876
8.46646,2.43076,18.2167,-14.4553,4.87407
8.48564,2.41983,18.2355,-14.4546,4.87773
8.72475,2.2974,18.4698,-14.4238,4.91432
8.81375,2.26068,18.5541,-14.4052,4.93571
9.02606,2.17832,18.76,-14.3647,4.96841
9.04058,2.17513,18.7744,-14.3639,4.96998
9.07135,2.16884,18.805,-14.362,4.97236
9.20759,2.13766,18.9363,-14.3323,4.99341
9.417,2.10915,19.1412,-14.2996,5.02158
9.48782,2.10794,19.2108,-14.2871,5.02603
9.52234,2.10717,19.2447,-14.2819,5.02998
9.6027,2.10495,19.3224,-14.2675,5.04463
9.7413,2.1189,19.4567,-14.2378,5.06169
9.79851,2.12435,19.5117,-14.2242,5.06951
9.79857,2.12435,19.5117,-14.2242,5.06951
9.8139,2.12677,19.5264,-14.22,5.07068
9.84255,2.12951,19.5539,-14.2126,5.07437
9.84415,2.12972,19.5554,-14.2122,5.07465
9.99019,2.14938,19.6938,-14.1741,5.1014
10.0686,2.17062,19.7678,-14.1514,5.11404
10.1363,2.19373,19.8324,-14.1329,5.12183
10.1817,2.20893,19.8759,-14.1218,5.12928
10.2316,2.22504,19.9234,-14.1107,5.13965
10.4137,2.29207,20.096,-14.062,5.17073
10.4854,2.32481,20.1635,-14.0394,5.18004
10.5165,2.33846,20.1923,-14.0294,5.18619
10.6218,2.38616,20.2877,-13.9941,5.2133
10.6621,2.40421,20.3249,-13.9805,5.22079
10.8037,2.4783,20.4485,-13.9184,5.25114
10.8627,2.50885,20.5019,-13.8993,5.26715
10.8636,2.50936,20.5028,-13.8989,5.26738
10.9601,2.55846,20.5879,-13.862,5.29389
11.0302,2.59868,20.6522,-13.8394,5.30995
11.0453,2.60768,20.666,-13.8342,5.31315
11.1371,2.66341,20.7495,-13.8,5.33014
11.1446,2.66758,20.7562,-13.7971,5.33203
11.2194,2.7074,20.823,-13.7712,5.35345
11.2265,2.71103,20.829,-13.7683,5.35572
11.305,2.75376,20.8984,-13.738,5.37685
11.3777,2.79501,20.9647,-13.7127,5.39262
11.3854,2.79928,20.9718,-13.7101,5.39402
11.4362,2.82408,21.0181,-13.6935,5.4064
11.4831,2.84431,21.0592,-13.6763,5.42112
11.519,2.85894,21.0927,-13.6657,5.42891
11.6111,2.8983,21.1788,-13.638,5.44589
11.6332,2.90767,21.1981,-13.6284,5.45073
11.676,2.92282,21.2358,-13.6117,5.46196
11.7213,2.93651,21.2746,-13.5934,5.47678
11.8508,2.97434,21.3815,-13.5309,5.51475
11.8885,2.98502,21.4132,-13.5124,5.52341
11.951,3.0007,21.469,-13.4888,5.53848
12.0089,3.01262,21.5192,-13.4663,5.55667
12.1546,3.04369,21.6461,-13.4056,5.59479
12.2014,3.05132,21.6861,-13.3841,5.60601
12.321,3.06973,21.791,-13.3372,5.63887
12.4037,3.08304,21.8635,-13.3019,5.65714
12.4481,3.08884,21.9005,-13.2811,5.67024
12.5918,3.10747,22.0265,-13.2191,5.70076
12.6332,3.11266,22.0621,-13.1991,5.70759
12.6456,3.11389,22.0727,-13.1932,5.71008
12.7559,3.12471,22.1673,-13.1424,5.7353
12.838,3.13182,22.238,-13.1028,5.74853
12.9414,3.14125,22.3258,-13.0529,5.77112
12.9606,3.14319,22.3418,-13.0431,5.77478
13.0329,3.15187,22.4025,-13.0056,5.78674
13.0602,3.1554,22.425,-12.9908,5.79154
13.1438,3.16627,22.4936,-12.9472,5.81088
13.1869,3.17178,22.5288,-12.9242,5.82001
13.3194,3.18724,22.6317,-12.8435,5.84193
13.3512,3.19046,22.6561,-12.8247,5.84933
13.5318,3.20878,22.8075,-12.7306,5.87853
13.7398,3.22367,22.9824,-12.6203,5.90177
13.7803,3.22879,23.0159,-12.5979,5.90511
13.8131,3.23271,23.0422,-12.5786,5.90904
13.8309,3.23322,23.0564,-12.5684,5.9124
13.9049,3.23272,23.1171,-12.5274,5.9226
14.0651,3.23302,23.2554,-12.4472,5.93209
14.1253,3.23838,23.3048,-12.4129,5.93505
14.2754,3.23602,23.4247,-12.3226,5.93874
14.51,3.22627,23.6287,-12.2069,5.94392
14.6192,3.23183,23.7222,-12.1506,5.94491
14.6356,3.2329,23.7361,-12.1418,5.94471
14.6975,3.23614,23.7866,-12.1061,5.94283
14.7001,3.23602,23.7889,-12.1047,5.94287
14.7333,3.23205,23.8181,-12.0889,5.94339
14.981,3.21218,24.0275,-11.957,5.9533
14.9812,3.21217,24.0277,-11.9569,5.9533
14.9913,3.21205,24.0363,-11.9517,5.95321
15.0753,3.21055,24.1089,-11.9097,5.94946
