"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.00487,9.4299,-16.5026,-14.8478
0.136902,1.96768,9.33229,-16.4378,-14.9186
0.136998,1.96765,9.33222,-16.4377,-14.9186
0.161022,1.96238,9.31572,-16.4267,-14.9322
0.305769,1.93443,9.21057,-16.3691,-15.0133
0.324195,1.9325,9.19746,-16.3611,-15.0234
0.356021,1.92595,9.17348,-16.3505,-15.0415
0.553622,1.91374,9.03868,-16.2611,-15.155
0.568129,1.91423,9.02926,-16.2541,-15.1636
0.705561,1.92445,8.93613,-16.1963,-15.2464
0.737295,1.92864,8.9144,-16.1846,-15.2664
0.744955,1.9297,8.90911,-16.1815,-15.271
0.798833,1.937,8.87151,-16.16,-15.303
0.799107,1.93707,8.87132,-16.1599,-15.3032
0.867128,1.9539,8.82414,-16.1332,-15.3442
0.867362,1.95395,8.82398,-16.1331,-15.3444
0.896343,1.96066,8.8046,-16.1227,-15.3633
0.922518,1.9676,8.78802,-16.1118,-15.3803
0.941201,1.97265,8.77697,-16.1028,-15.3924
0.978751,1.98317,8.75221,-16.0867,-15.4156
0.97908,1.98323,8.75198,-16.0866,-15.4158
0.999263,1.9867,8.7375,-16.0801,-15.4283
0.999602,1.98679,8.73726,-16.08,-15.4285
1.0838,2.00938,8.67769,-16.0503,-15.4801
1.15121,2.03433,8.62867,-16.0271,-15.5201
1.16455,2.04019,8.61985,-16.0208,-15.5279
1.18776,2.04737,8.60433,-16.0116,-15.5425
1.27644,2.07061,8.54444,-15.9836,-15.6016
1.32084,2.08034,8.51164,-15.9727,-15.6295
1.3368,2.08501,8.50041,-15.9669,-15.6392
1.39344,2.09728,8.46206,-15.9496,-15.6771
1.42521,2.09753,8.44003,-15.945,-15.6996
1.4823,2.09497,8.40245,-15.9382,-15.742
1.50827,2.09403,8.38615,-15.9339,-15.7618
1.58335,2.08734,8.33697,-15.907,-15.8117
1.61456,2.08383,8.31735,-15.8992,-15.8347
1.66057,2.07123,8.2877,-15.8901,-15.8687
1.66096,2.07112,8.28743,-15.89,-15.869
1.76974,2.04008,8.21241,-15.8528,-15.9384
1.83747,2.01931,8.16747,-15.8487,-15.9889
1.84549,2.0168,8.16241,-15.8481,-15.9951
1.946,1.98573,8.0942,-15.8267,-16.0657
2.00632,1.97006,8.05206,-15.8197,-16.1083
2.09214,1.94416,7.99358,-15.8118,-16.1706
2.3418,1.89571,7.8155,-15.7745,-16.3416
2.41378,1.89217,7.76763,-15.7684,-16.395
2.57548,1.88655,7.65766,-15.7515,-16.5123
2.74341,1.91583,7.53185,-15.7114,-16.6161
2.87806,1.96065,7.42718,-15.6968,-16.6995
2.89503,1.96549,7.41374,-15.6947,-16.7097
