"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.68475,9.87776,-36.5333,23.1771
0.00428755,2.68562,9.8745,-36.5326,23.1798
0.16779,2.70938,9.76131,-36.52,23.2971
0.336827,2.75059,9.64517,-36.4974,23.4179
0.417754,2.75937,9.58714,-36.4882,23.4735
0.542544,2.78259,9.49898,-36.4763,23.561
0.544386,2.78287,9.49761,-36.4762,23.5623
0.659165,2.79816,9.41142,-36.4642,23.6371
0.705907,2.80613,9.3774,-36.461,23.669
0.717434,2.80798,9.36895,-36.46,23.6768
0.805707,2.82055,9.30278,-36.4483,23.734
0.806041,2.82058,9.30252,-36.4483,23.7342
0.889469,2.82864,9.23806,-36.4446,23.7871
0.892523,2.82903,9.23567,-36.4444,23.789
0.916737,2.83209,9.21677,-36.4427,23.804
0.999017,2.8428,9.15292,-36.4339,23.8552
1.00975,2.84456,9.1451,-36.4327,23.8624
1.03482,2.84839,9.12637,-36.4298,23.8788
1.08239,2.85301,9.08954,-36.4264,23.9087
1.14008,2.85651,9.04741,-36.4258,23.9481
1.30582,2.87142,8.92549,-36.4137,24.0598
1.39414,2.88244,8.86191,-36.401,24.1197
1.50114,2.88744,8.78239,-36.3967,24.1912
1.54544,2.89021,8.74794,-36.3949,24.219
1.71083,2.91201,8.62551,-36.3814,24.3293
1.82533,2.93003,8.53557,-36.3678,24.3989
1.84339,2.93125,8.52169,-36.367,24.4104
1.92126,2.93608,8.46091,-36.3643,24.459
1.98553,2.93883,8.40998,-36.3582,24.4978
2.11394,2.95468,8.3082,-36.3426,24.5745
2.16396,2.96484,8.26957,-36.3355,24.6054
2.20573,2.96671,8.23822,-36.3341,24.633
2.41591,2.97014,8.07369,-36.3099,24.7616
2.41623,2.97018,8.07344,-36.3099,24.7617
2.4951,2.9799,8.01162,-36.2973,24.8091
2.49513,2.9799,8.0116,-36.2973,24.8091
2.5017,2.98014,8.00634,-36.2959,24.8128
2.65354,2.96732,7.88918,-36.2767,24.9074
2.80956,2.9628,7.76296,-36.2512,24.9955
2.90759,2.96094,7.68175,-36.2297,25.046
2.92016,2.96009,7.67173,-36.2271,25.0532
3.10439,2.951,7.52904,-36.1969,25.1657
3.26363,2.94221,7.39685,-36.1632,25.2479
3.26589,2.9421,7.39505,-36.1628,25.2492
3.4327,2.93204,7.26342,-36.1389,25.3488
3.493,2.93058,7.21465,-36.128,25.3826
3.54259,2.93085,7.17354,-36.1171,25.4081
3.80139,2.9378,6.95151,-36.0881,25.5379
3.8771,2.93876,6.88793,-36.0797,25.5781
4.11729,2.95887,6.68324,-36.0356,25.6958
4.13654,2.96144,6.667,-36.0333,25.7058
4.19786,2.96549,6.61694,-36.018,25.7378
4.42409,2.99651,6.43486,-35.9736,25.8645
4.54133,3.02023,6.33711,-35.9454,25.9228
4.58541,3.02671,6.29927,-35.9386,25.9443
4.79484,3.04469,6.11293,-35.9256,26.039
4.79855,3.04449,6.10934,-35.9256,26.04
4.86719,3.03669,6.04736,-35.916,26.0679
4.98299,3.02225,5.94673,-35.8932,26.1205
4.99749,3.01594,5.93446,-35.8931,26.1282
5.06589,2.9747,5.87353,-35.8881,26.1589
5.07624,2.96756,5.86411,-35.8871,26.1631
5.13061,2.92596,5.81658,-35.8805,26.1886
5.21252,2.86671,5.74801,-35.8659,26.231
5.29727,2.80185,5.67601,-35.8583,26.275
5.29734,2.80179,5.67594,-35.8583,26.2751
5.31523,2.78727,5.66035,-35.856,26.2835
5.50881,2.65072,5.49786,-35.8216,26.3829
5.56025,2.61642,5.45426,-35.8159,26.4096
5.85422,2.45193,5.2016,-35.7799,26.5555
5.88448,2.43854,5.17315,-35.78,26.5658
6.05672,2.37279,5.01206,-35.7693,26.6259
6.06136,2.37132,5.00839,-35.7686,26.6286
6.06387,2.37051,5.00635,-35.7681,26.63
6.37548,2.29857,4.74733,-35.723,26.7972
6.48654,2.28368,4.64915,-35.7092,26.8473
6.58121,2.27592,4.56653,-35.6987,26.8923
6.60592,2.27489,4.54407,-35.6958,26.9022
6.76679,2.28048,4.40082,-35.6854,26.9746
6.76756,2.2805,4.40014,-35.6853,26.975
6.77296,2.28047,4.39534,-35.6851,26.9774
6.89404,2.27574,4.29128,-35.6693,27.0373
6.95964,2.27746,4.23577,-35.6623,27.0716
7.00889,2.27929,4.19579,-35.6572,27.0999
7.0224,2.27814,4.18514,-35.6572,27.1082
7.04512,2.27563,4.1664,-35.6568,27.121
7.15508,2.26114,4.07325,-35.6476,27.1787
7.16284,2.26031,4.06649,-35.6468,27.1824
7.18987,2.2576,4.04251,-35.645,27.1948
7.2884,2.24792,3.95572,-35.6399,27.2411
7.32058,2.24509,3.928,-35.6394,27.2575
7.35376,2.23909,3.90025,-35.6411,27.2756
7.41542,2.22568,3.84816,-35.6409,27.3086
7.45653,2.21596,3.81312,-35.6386,27.33
7.55572,2.1984,3.72671,-35.6311,27.3781
7.55591,2.19835,3.72655,-35.6311,27.3782
7.56138,2.19705,3.72186,-35.6302,27.3809
7.67891,2.15002,3.62429,-35.6249,27.4462
7.67891,2.15002,3.62429,-35.6249,27.4462
7.67892,2.15001,3.62428,-35.6249,27.4462
7.79331,2.11018,3.5307,-35.6097,27.5102
7.7958,2.10973,3.52831,-35.6097,27.5109
7.89751,2.07858,3.43963,-35.5986,27.5594
7.90671,2.07572,3.43206,-35.5974,27.5645
7.90671,2.07571,3.43206,-35.5974,27.5645
