"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,3.067,2.01692,-29.3158,-1.7415
0.0221128,3.08551,2.00439,-29.3184,-1.72346
0.0997783,3.08664,1.9357,-29.3226,-1.68745
0.100048,3.08664,1.93546,-29.3226,-1.68734
0.119908,3.08586,1.91773,-29.3236,-1.67844
0.424381,3.09161,1.66291,-29.3782,-1.52098
0.459497,3.09595,1.63383,-29.3819,-1.50165
0.528859,3.10246,1.57395,-29.3869,-1.46699
0.541502,3.10267,1.56367,-29.3886,-1.45986
0.776188,3.11856,1.36188,-29.4075,-1.34152
0.902448,3.14077,1.25642,-29.4117,-1.27222
0.929332,3.14444,1.23307,-29.412,-1.25891
1.02316,3.1538,1.15513,-29.4172,-1.20694
1.08733,3.15878,1.09995,-29.4223,-1.17456
1.21881,3.1665,0.989812,-29.4224,-1.10276
1.22201,3.16669,0.987055,-29.4224,-1.10114
1.26661,3.16575,0.951029,-29.4279,-1.07542
1.30072,3.1646,0.923102,-29.431,-1.05608
1.36965,3.15858,0.862606,-29.4305,-1.02304
1.39527,3.15581,0.840201,-29.4296,-1.01065
1.55095,3.14148,0.713323,-29.4367,-0.920698
1.56178,3.14029,0.704897,-29.4393,-0.914416
1.78678,3.11472,0.512371,-29.4432,-0.798041
1.9892,3.07931,0.3425,-29.4323,-0.688489
2.19611,3.04946,0.165805,-29.4206,-0.581487
2.41599,3.01007,-0.0154454,-29.4143,-0.457155
2.42337,3.00915,-0.0217547,-29.4135,-0.453407
2.59362,2.98986,-0.171723,-29.3994,-0.374076
2.59381,2.98984,-0.171883,-29.3993,-0.373985
2.64053,2.98508,-0.211894,-29.3909,-0.351354
2.7152,2.97285,-0.273089,-29.3796,-0.310098
2.77664,2.95935,-0.325142,-29.3693,-0.279139
3.04922,2.88744,-0.550144,-29.3449,-0.12722
3.1485,2.86364,-0.626987,-29.358,-0.0657297
3.43703,2.79847,-0.854636,-29.3796,0.110211
3.59645,2.77144,-0.981679,-29.3755,0.206441
3.65544,2.76254,-1.03086,-29.3759,0.238994
3.83285,2.73726,-1.17038,-29.3733,0.348558
3.94499,2.73205,-1.25509,-29.3696,0.421947
4.10023,2.7277,-1.37696,-29.3662,0.518042
4.16029,2.72159,-1.42578,-29.3634,0.552928
4.39741,2.70854,-1.60819,-29.3285,0.70036
4.42221,2.70878,-1.62609,-29.3257,0.717268
4.48594,2.70282,-1.67592,-29.3132,0.754976
4.58003,2.6953,-1.74678,-29.2939,0.813801
4.58076,2.69524,-1.7473,-29.2939,0.814318
4.74351,2.67825,-1.87091,-29.2901,0.920127
4.78797,2.67536,-1.90274,-29.2888,0.951133
4.86117,2.67,-1.95713,-29.287,1.00009
4.94271,2.66899,-2.01869,-29.2883,1.05355
4.95286,2.66828,-2.02669,-29.289,1.05975
4.97525,2.66592,-2.0437,-29.2912,1.07417
5.06368,2.66344,-2.109,-29.2988,1.1333
5.15319,2.66089,-2.17551,-29.3039,1.19299
5.16766,2.66124,-2.18664,-29.3048,1.20218
5.17534,2.66055,-2.19217,-29.3054,1.20747
5.17878,2.66014,-2.19471,-29.3056,1.20979
5.33994,2.64344,-2.32039,-29.3078,1.31064
5.50384,2.64681,-2.44109,-29.312,1.42146
5.65765,2.66595,-2.56121,-29.3166,1.5174
5.69882,2.669,-2.59221,-29.3167,1.5445
5.70658,2.66939,-2.59832,-29.3165,1.54928
5.78348,2.67555,-2.65704,-29.3193,1.59884
6.00269,2.7102,-2.82133,-29.3091,1.74361
6.00368,2.71034,-2.82209,-29.309,1.74425
6.16936,2.7596,-2.9549,-29.306,1.84324
6.23451,2.7833,-3.00592,-29.3088,1.88366
6.23913,2.78483,-3.00968,-29.3091,1.88633
6.26262,2.79119,-3.02841,-29.3091,1.90051
6.37501,2.81833,-3.11394,-29.3062,1.97337
6.53204,2.881,-3.23284,-29.2984,2.07565
6.55697,2.89151,-3.25242,-29.2983,2.09107
6.60017,2.90608,-3.28475,-29.2965,2.11967
6.64045,2.91691,-3.31663,-29.2951,2.14426
6.67002,2.9247,-3.3395,-29.2939,2.16296
6.74295,2.94563,-3.39433,-29.2888,2.21076
6.83536,2.97058,-3.46499,-29.2824,2.26998
6.88942,2.98397,-3.50593,-29.2816,2.30527
6.90018,2.98597,-3.51441,-29.2817,2.3119
6.93311,2.98874,-3.53924,-29.2805,2.3335
6.94902,2.98964,-3.55155,-29.2802,2.34358
7.08837,2.99829,-3.6594,-29.2668,2.43078
7.09094,2.99848,-3.66147,-29.2666,2.43229
7.16629,2.99867,-3.71915,-29.2587,2.48013
7.17,2.99888,-3.72202,-29.2583,2.48245
7.19937,2.99979,-3.74452,-29.2543,2.50089
7.2504,3.00189,-3.78447,-29.2473,2.53186
7.40557,2.99263,-3.90207,-29.2313,2.63183
7.63559,3.01173,-4.0779,-29.2091,2.77845
7.64225,3.01257,-4.08275,-29.208,2.78288
7.65535,3.01302,-4.09262,-29.2067,2.7914
7.67314,3.01339,-4.10612,-29.2055,2.80292
7.68826,3.01365,-4.11777,-29.2049,2.81254
7.72941,3.01422,-4.14902,-29.2027,2.83923
7.90993,3.03164,-4.28369,-29.1969,2.9593
7.9347,3.03581,-4.30278,-29.1963,2.97507
7.96466,3.04043,-4.32508,-29.1988,2.99493
8.07986,3.04049,-4.40807,-29.1947,3.07471
8.1813,3.04476,-4.48445,-29.1929,3.14144
8.21873,3.0484,-4.51215,-29.1922,3.16661
8.26127,3.04962,-4.54189,-29.1909,3.197
8.2662,3.04937,-4.54515,-29.1907,3.2007
8.27335,3.04855,-4.55006,-29.1904,3.20588
8.28115,3.04755,-4.55549,-29.1896,3.21142
8.49936,3.02479,-4.71292,-29.1876,3.36252
8.54647,3.02225,-4.74701,-29.1849,3.39492
8.59242,3.01657,-4.77828,-29.1803,3.42829
8.78961,2.99606,-4.91389,-29.1658,3.57071
8.79632,2.99514,-4.91843,-29.1663,3.57562
8.87311,2.98146,-4.97346,-29.1587,3.62863
9.07802,2.95974,-5.11164,-29.1453,3.77934
9.08446,2.95927,-5.11579,-29.1446,3.78422
9.21113,2.95035,-5.20314,-29.1323,3.87512
9.2723,2.949,-5.24438,-29.1264,3.91992
9.29777,2.94913,-5.262,-29.1237,3.9381
9.31185,2.94841,-5.27215,-29.1227,3.94781
9.51978,2.93814,-5.4105,-29.1054,4.10206
9.55427,2.9382,-5.4323,-29.1016,4.12852
9.65036,2.93919,-5.49763,-29.0918,4.19829
9.75144,2.9451,-5.56483,-29.0806,4.27297
9.8087,2.94441,-5.60473,-29.0742,4.31356
10.0303,2.93207,-5.74956,-29.0471,4.47904
10.0914,2.93357,-5.78827,-29.0386,4.52558
10.1379,2.93567,-5.81652,-29.0302,4.56152
10.1504,2.93591,-5.82436,-29.0282,4.57102
10.174,2.93414,-5.83796,-29.0235,4.58981
10.4224,2.91544,-5.99885,-28.9857,4.77521
10.4865,2.91738,-6.03647,-28.9821,4.82698
10.5304,2.9179,-6.06355,-28.9801,4.86149
10.5591,2.91842,-6.08056,-28.9799,4.8846
10.6114,2.91505,-6.11131,-28.9762,4.9267
10.7921,2.90602,-6.22852,-28.9558,5.06269
10.8898,2.90751,-6.287,-28.9436,5.14011
10.9304,2.90603,-6.31037,-28.9324,5.17125
10.9549,2.90364,-6.32567,-28.9262,5.18943
11.1449,2.89806,-6.4459,-28.9008,5.33427
11.1858,2.8979,-6.47253,-28.8954,5.36492
11.2007,2.89782,-6.48143,-28.8931,5.37656
11.3225,2.89898,-6.5504,-28.8776,5.47578
11.3629,2.9004,-6.57251,-28.8724,5.50925
11.3854,2.90125,-6.5852,-28.8705,5.52769
11.4815,2.90236,-6.64252,-28.8703,5.60478
11.6821,2.88374,-6.75442,-28.8334,5.76717
11.69,2.88363,-6.759,-28.8334,5.77367
11.8037,2.88179,-6.82873,-28.8269,5.86313
11.8052,2.8817,-6.82974,-28.8266,5.86423
11.8943,2.87073,-6.88436,-28.806,5.9315
11.9432,2.86434,-6.9126,-28.7949,5.96995
12.1241,2.84563,-7.0184,-28.7555,6.11127
12.1317,2.84435,-7.02222,-28.7536,6.11751
12.3655,2.79178,-7.16057,-28.6857,6.29332
12.4051,2.78718,-7.18213,-28.6841,6.32652
12.6658,2.75287,-7.31998,-28.6238,6.53941
12.6666,2.7528,-7.32042,-28.6236,6.5401
12.8039,2.73981,-7.39563,-28.595,6.65128
13.0048,2.73465,-7.49844,-28.5508,6.81824
13.1351,2.74707,-7.55899,-28.5117,6.92675
13.1592,2.74989,-7.57085,-28.5066,6.94704
13.1628,2.7504,-7.57273,-28.5059,6.95005
13.2805,2.76504,-7.63621,-28.4648,7.0403
13.4986,2.81422,-7.7417,-28.3941,7.21752
13.5277,2.8218,-7.75402,-28.3851,7.24234
13.7477,2.88867,-7.85837,-28.3087,7.4203
13.7607,2.89286,-7.86527,-28.304,7.43032
13.9231,2.94469,-7.94184,-28.2473,7.56174
13.9832,2.96558,-7.9674,-28.2227,7.61035
14.0202,2.97658,-7.98549,-28.2077,7.63898
14.0698,2.99008,-8.00841,-28.1883,7.67837
14.1178,3.00006,-8.02802,-28.1705,7.71845
14.1543,3.00538,-8.04483,-28.1575,7.74805
