"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.13308,46.0066,21.3918,-10.7543
0.00765557,2.14192,46.0083,21.3867,-10.7597
0.0540561,2.19358,46.0239,21.3595,-10.7939
0.0629124,2.19067,46.0278,21.3515,-10.7943
0.108918,2.17382,46.0466,21.3095,-10.7945
0.129707,2.16284,46.0529,21.2898,-10.7927
0.129789,2.16279,46.0529,21.2897,-10.7927
0.131603,2.16178,46.0534,21.288,-10.7925
0.180839,2.12877,46.0663,21.2414,-10.7833
0.180945,2.12869,46.0663,21.2413,-10.7832
0.207321,2.11013,46.0752,21.2167,-10.7795
0.312898,2.03494,46.1018,21.1165,-10.7597
0.31292,2.03493,46.1018,21.1165,-10.7597
0.318456,2.03098,46.1037,21.1113,-10.7589
0.438449,1.9468,46.1372,20.9982,-10.737
0.488918,1.91344,46.156,20.9524,-10.727
0.49404,1.90998,46.1577,20.9478,-10.7258
0.537404,1.88066,46.1745,20.9088,-10.7172
0.593843,1.84417,46.1945,20.8575,-10.7044
0.724317,1.76738,46.2396,20.7376,-10.6795
0.755618,1.75025,46.2489,20.7082,-10.6746
0.79014,1.73262,46.2572,20.6753,-10.6678
0.795271,1.72997,46.2592,20.6708,-10.6666
0.812197,1.72129,46.2642,20.655,-10.6633
0.904516,1.67913,46.287,20.5679,-10.6428
0.949809,1.66119,46.3022,20.5267,-10.6316
0.952783,1.66006,46.3032,20.524,-10.631
1.0384,1.6315,46.3275,20.4433,-10.6159
1.03933,1.63138,46.3278,20.4426,-10.6154
1.04824,1.62851,46.3314,20.4345,-10.6138
1.16383,1.6005,46.3577,20.3238,-10.5938
1.16624,1.59999,46.3582,20.3215,-10.5933
1.26449,1.58365,46.3876,20.2301,-10.5724
1.38645,1.5787,46.4228,20.1145,-10.5557
1.40948,1.57863,46.4268,20.0922,-10.5515
1.53533,1.58948,46.4643,19.9734,-10.5335
1.63018,1.6118,46.4885,19.8838,-10.5143
1.68396,1.62704,46.4983,19.8315,-10.5065
1.736,1.64388,46.5054,19.7801,-10.5017
1.7406,1.64551,46.5059,19.7756,-10.501
1.76913,1.65534,46.5114,19.7479,-10.497
1.84273,1.68164,46.5334,19.6786,-10.4855
1.93111,1.71797,46.5703,19.5995,-10.4721
1.9568,1.729,46.5812,19.5763,-10.4696
1.99958,1.74706,46.5989,19.5378,-10.464
2.06764,1.77761,46.6233,19.4744,-10.4594
2.09251,1.78709,46.6333,19.4517,-10.458
2.0928,1.7872,46.6334,19.4514,-10.458
2.10063,1.78997,46.6365,19.4443,-10.4573
2.10092,1.79008,46.6367,19.444,-10.4573
2.13726,1.80378,46.6512,19.4108,-10.4545
2.13759,1.80389,46.6514,19.4105,-10.4545
2.17818,1.81863,46.6678,19.3734,-10.4534
2.22065,1.83546,46.682,19.3335,-10.4511
2.24759,1.84564,46.6916,19.3084,-10.4489
2.36575,1.89037,46.7331,19.1978,-10.4496
2.36958,1.89179,46.7354,19.1947,-10.4495
2.3911,1.89883,46.7461,19.1761,-10.4485
2.39757,1.90069,46.748,19.1699,-10.4486
2.44477,1.91174,46.7657,19.1262,-10.4517
2.4807,1.9182,46.7787,19.0928,-10.4517
2.52986,1.92537,46.795,19.0465,-10.4551
2.57098,1.93068,46.809,19.0078,-10.4554
2.63094,1.93679,46.8293,18.9516,-10.4599
2.63873,1.93763,46.8319,18.9443,-10.4602
2.66127,1.93922,46.8393,18.923,-10.4604
2.68136,1.94033,46.8452,18.9038,-10.4602
2.68636,1.94039,46.847,18.8991,-10.4604
2.78909,1.94255,46.8753,18.8003,-10.4617
2.86236,1.94397,46.8973,18.7309,-10.4692
2.90292,1.94451,46.9094,18.6922,-10.4704
2.92753,1.94357,46.9149,18.6682,-10.472
2.99338,1.94141,46.9304,18.6042,-10.4708
3.02764,1.93991,46.9384,18.5709,-10.4716
3.03821,1.93956,46.9409,18.5607,-10.4726
3.13957,1.93954,46.9778,18.4665,-10.479
3.22856,1.94339,47.0066,18.3823,-10.4804
3.22993,1.94352,47.007,18.381,-10.4803
3.38992,1.95,47.0547,18.2283,-10.4818
3.47054,1.95069,47.0846,18.1534,-10.4828
3.47791,1.95067,47.087,18.1465,-10.4829
3.49978,1.95024,47.0943,18.1259,-10.4819
3.63742,1.9484,47.1288,17.9927,-10.4859
3.66221,1.94871,47.1347,17.9687,-10.4845
3.70209,1.94692,47.1395,17.9291,-10.4834
3.74757,1.94464,47.1459,17.8843,-10.4793
3.86741,1.93765,47.168,17.7665,-10.4791
4.01156,1.92936,47.1728,17.6228,-10.4683
4.0313,1.92809,47.1746,17.6032,-10.4674
4.04408,1.9249,47.1736,17.5905,-10.466
