"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.17235,7.85408,-32.9012,5.78715
0.00282623,2.17564,7.85397,-32.8983,5.78737
0.0630241,2.24576,7.84371,-32.839,5.78603
0.162169,2.24089,7.80419,-32.7693,5.84438
0.266911,2.23012,7.7613,-32.7046,5.91466
0.318905,2.22623,7.74008,-32.6704,5.94762
0.378971,2.2211,7.71595,-32.6286,5.9834
0.411516,2.21708,7.70327,-32.6074,6.00452
0.486955,2.20759,7.67694,-32.5598,6.05682
0.575474,2.20193,7.64689,-32.5053,6.11974
0.581642,2.20135,7.64509,-32.5017,6.12447
0.610616,2.1967,7.63977,-32.4852,6.14768
0.647859,2.18912,7.63447,-32.4622,6.17647
0.845199,2.1602,7.57576,-32.3408,6.32052
0.848792,2.16029,7.57417,-32.3387,6.32301
0.871734,2.15962,7.56417,-32.3262,6.33946
0.976442,2.14851,7.52514,-32.2671,6.4165
1.00055,2.14686,7.51496,-32.2538,6.43386
1.12154,2.13987,7.47207,-32.1807,6.5202
1.25996,2.13744,7.4298,-32.1089,6.63077
1.26098,2.13746,7.42942,-32.1084,6.63153
1.29191,2.13798,7.41789,-32.0914,6.65468
1.40039,2.14924,7.38393,-32.0258,6.73414
1.45913,2.15581,7.36681,-31.9897,6.77719
1.4737,2.15766,7.3618,-31.9817,6.78831
1.58527,2.16733,7.32399,-31.9279,6.87844
1.74173,2.18798,7.27321,-31.838,6.99599
1.81792,2.20257,7.2564,-31.7949,7.05649
1.83545,2.20365,7.25069,-31.786,7.07048
1.83781,2.20372,7.24988,-31.7847,7.07229
2.00312,2.20555,7.21074,-31.6908,7.20261
2.01927,2.20546,7.20587,-31.6834,7.21612
2.02038,2.20524,7.20575,-31.6828,7.21702
2.19978,2.17775,7.18284,-31.5733,7.3573
2.25302,2.1706,7.17326,-31.5468,7.40243
2.3067,2.15755,7.16411,-31.5136,7.44366
2.43027,2.12968,7.13661,-31.4494,7.54558
2.56784,2.10674,7.11905,-31.3661,7.65361
2.73409,2.0704,7.07839,-31.2809,7.79048
2.84714,2.05186,7.05004,-31.221,7.88206
3.03205,2.02415,7.01357,-31.1219,8.03386
3.07131,2.01453,7.00782,-31.0987,8.06504
3.13844,1.99747,7.0005,-31.0614,8.12032
3.18748,1.98323,6.99797,-31.0362,8.16233
3.21672,1.96984,7.00144,-31.0225,8.18791
3.3303,1.91469,6.99634,-30.9618,8.28379
3.38437,1.88266,6.99981,-30.9328,8.32927
3.4599,1.83274,6.99672,-30.8944,8.3943
3.49461,1.80911,6.99524,-30.8749,8.42296
3.51799,1.79345,6.99421,-30.8605,8.44136
3.70315,1.67793,6.98241,-30.7539,8.59229
3.70783,1.67522,6.98153,-30.7508,8.59565
3.7158,1.6707,6.97963,-30.7456,8.60135
3.91899,1.55508,6.95316,-30.6269,8.76419
3.91912,1.55502,6.95313,-30.6269,8.76428
3.95048,1.5399,6.94568,-30.6063,8.78672
4.12548,1.47365,6.912,-30.4993,8.92106
4.12757,1.47295,6.91164,-30.4981,8.92275
4.24171,1.44099,6.89125,-30.4292,9.01139
4.28399,1.43204,6.8816,-30.4012,9.04165
4.41568,1.40549,6.86483,-30.3185,9.14269
4.4694,1.40086,6.85818,-30.2852,9.18433
4.59706,1.39089,6.84035,-30.202,9.27948
4.60533,1.39056,6.83935,-30.197,9.28606
4.71966,1.39468,6.82761,-30.1248,9.37391
4.72869,1.39454,6.82636,-30.1188,9.38053
4.74368,1.39533,6.82599,-30.1094,9.39218
4.81737,1.39693,6.81526,-30.0623,9.44786
4.82309,1.39714,6.81443,-30.0585,9.45198
4.84727,1.39834,6.812,-30.0434,9.47073
4.93225,1.40157,6.80882,-29.99,9.53678
4.96462,1.40462,6.80631,-29.9715,9.56319
4.98874,1.40642,6.80474,-29.9567,9.58219
5.04385,1.40921,6.80328,-29.9199,9.62323
5.17432,1.4322,6.79133,-29.8395,9.72528
5.19674,1.43626,6.78765,-29.8255,9.74239
5.28289,1.44805,6.78488,-29.7717,9.80964
5.29902,1.45002,6.78362,-29.7615,9.82204
5.33913,1.45913,6.78011,-29.7372,9.85379
5.36779,1.46563,6.77717,-29.7188,9.87551
5.38239,1.46822,6.77562,-29.7088,9.88606
5.39524,1.46999,6.77489,-29.7003,9.89567
5.50435,1.48778,6.77692,-29.6343,9.98256
5.54168,1.49619,6.77581,-29.6138,10.0137
5.59,1.50042,6.76437,-29.588,10.0529
5.68886,1.51592,6.75281,-29.5294,10.1317
5.71185,1.51894,6.74663,-29.5168,10.1499
5.74519,1.52054,6.74842,-29.496,10.176
5.84135,1.52957,6.74006,-29.4417,10.2549
5.84375,1.52979,6.74019,-29.4402,10.2567
5.8548,1.53035,6.74167,-29.4336,10.2654
5.92624,1.53068,6.73505,-29.3909,10.3223
6.03504,1.5416,6.72958,-29.3311,10.4131
6.05903,1.54513,6.73027,-29.3167,10.4322
6.0668,1.54563,6.73055,-29.3125,10.4387
6.12153,1.54824,6.73121,-29.2803,10.4831
6.12899,1.54853,6.73179,-29.2759,10.489
6.13464,1.54848,6.73338,-29.2724,10.4931
6.18152,1.54728,6.73477,-29.2459,10.5318
6.28821,1.55323,6.73365,-29.1808,10.6164
6.35981,1.56047,6.72756,-29.1378,10.6733
6.38046,1.56145,6.72457,-29.125,10.6892
6.40108,1.5628,6.72201,-29.1128,10.7056
6.4511,1.56488,6.72134,-29.0834,10.746
6.47264,1.5665,6.72063,-29.0697,10.7626
6.53026,1.56736,6.72343,-29.033,10.807
6.60673,1.5731,6.72493,-28.9806,10.8627
6.63552,1.57535,6.72691,-28.9619,10.8844
6.63715,1.57534,6.72699,-28.9607,10.8856
6.75159,1.57891,6.73148,-28.886,10.9722
6.81748,1.58389,6.72723,-28.8433,11.0222
6.85546,1.58681,6.72467,-28.8195,11.0517
6.87009,1.58772,6.72342,-28.8097,11.0624
6.92076,1.5882,6.72046,-28.7783,11.1021
