Distance,Diameter
0,2.23973
0.000394796,2.24029
0.0985281,2.37998
0.154468,2.43627
0.185277,2.46814
0.193101,2.4702
0.222497,2.48084
0.227763,2.47981
0.234543,2.47845
0.306225,2.46577
0.354874,2.45668
0.357494,2.45622
0.393423,2.45078
0.50422,2.44194
0.530069,2.44091
0.602365,2.43605
0.653686,2.43471
0.690516,2.4339
0.707033,2.43363
0.736372,2.43197
0.78653,2.42601
0.872522,2.41694
0.954303,2.40892
1.0445,2.40124
1.08786,2.3994
1.11777,2.39945
1.13941,2.39922
1.19269,2.3992
1.22258,2.39729
1.22259,2.39729
1.2257,2.3969
1.23777,2.39524
1.26197,2.39132
1.31429,2.38393
1.36605,2.37891
1.4245,2.37667
1.42461,2.37666
1.43814,2.37655
1.47583,2.37581
1.55604,2.36454
1.61959,2.35579
1.6455,2.35137
1.66743,2.3469
1.71751,2.33607
1.71752,2.33607
1.71896,2.33571
1.73481,2.33077
1.78609,2.3157
1.92451,2.28262
1.95842,2.27809
1.97346,2.27614
1.98922,2.27221
2.00726,2.26831
2.01307,2.26668
2.05019,2.25594
2.26785,2.21936
2.27173,2.21914
2.30829,2.21698
2.32797,2.21557
2.3403,2.21369
2.35521,2.21158
2.37495,2.20879
2.38945,2.2066
2.43641,2.19994
2.52302,2.19382
2.59642,2.19461
2.65881,2.19881
2.71557,2.20237
2.72418,2.20315
2.76099,2.2055
2.82819,2.20916
2.91418,2.21977
2.92157,2.22064
2.98217,2.22864
2.9827,2.22873
3.04908,2.24105
3.05028,2.24133
3.10899,2.25492
3.10907,2.25494
3.11956,2.25743
3.17447,2.27039
3.20864,2.27891
3.27486,2.29716
3.29506,2.30244
3.33811,2.31387
3.36066,2.32047
3.38292,2.32686
3.38327,2.32696
3.42625,2.33944
3.42648,2.33949
3.48263,2.3541
3.55376,2.36882
3.56103,2.37044
3.57905,2.37376
3.59602,2.3769
3.62933,2.38278
3.62935,2.38279
3.63603,2.38381
3.64818,2.38514
3.6531,2.38566
3.69737,2.38983
3.71601,2.39116
3.75109,2.39425
3.80303,2.39879
3.818,2.3993
3.87723,2.40095
3.89112,2.4013
3.90642,2.40141
3.93233,2.39932
3.97699,2.39364
3.98036,2.3932
3.99154,2.39221
4.05261,2.3848
4.11569,2.3768
4.11731,2.37654
4.16184,2.36794
4.1948,2.3615
4.20246,2.35966
4.24816,2.34837
4.24818,2.34836
4.25219,2.34737
4.25231,2.34734
4.28189,2.33928
4.33301,2.32449
4.34808,2.32003
4.35851,2.31639
4.43805,2.2908
4.50292,2.26863
4.58177,2.24477
4.58323,2.24439
4.62322,2.2345
4.64579,2.22966
4.67309,2.22321
4.68233,2.22095
4.70815,2.21446
4.73126,2.20888
4.79698,2.19355
4.80734,2.19094
4.85059,2.17931
4.90763,2.16487
4.92167,2.16196
4.97314,2.14908
5.0462,2.133
5.04635,2.13298
5.06454,2.12969
5.14119,2.11579
5.14161,2.11573
5.18781,2.10871
5.19256,2.10801
5.24053,2.10097
5.25447,2.09888
5.28948,2.09185
5.33168,2.08433
5.34866,2.08164
5.37325,2.07784
5.39072,2.07529
5.42899,2.06876
5.49208,2.06198
5.5347,2.05815
5.58184,2.05431
5.58799,2.05351
5.64356,2.04617
5.66777,2.04366
5.68476,2.04204
5.68808,2.04169
5.73515,2.03636
5.77913,2.03182
5.77988,2.03176
5.8295,2.02929
5.88922,2.02553
5.93919,2.02467
5.96235,2.02421
5.98472,2.02319
5.98786,2.02298
6.00209,2.02143
6.05625,2.01673
6.09768,2.01209
6.13633,2.00794
6.18125,2.00418
6.20271,2.00264
6.20481,2.00244
6.22341,2.00062
6.2465,1.99742
6.26216,1.99497
6.33535,1.98562
6.35019,1.98429
6.35314,1.98395
6.37581,1.98057
6.41006,1.97509
6.42635,1.97273
6.47945,1.96518
6.50917,1.96188
6.55684,1.95721
6.60203,1.95315
6.62189,1.95139
6.63475,1.94992
6.64901,1.94802
6.68658,1.9419
6.68694,1.94185
6.76685,1.93538
6.77453,1.93489
6.8065,1.93159
6.83129,1.92894
6.88611,1.92212
6.91487,1.91964
6.95195,1.91561
6.9674,1.91353
6.98745,1.91043
7.03575,1.903
7.03894,1.90243
7.04235,1.9017
7.06036,1.89798
7.08223,1.89405
7.10698,1.88996
7.18965,1.87842
7.20936,1.8763
7.27754,1.86963
7.33648,1.86616
7.38027,1.86539
7.40365,1.86444
7.45223,1.86302
7.47183,1.86274
7.48751,1.86266
7.49001,1.86243
