Distance,Diameter
0,2.95004
0.0239054,2.95048
0.0362213,2.95088
0.0604608,2.95149
0.0733744,2.95136
0.126111,2.95188
0.137169,2.95151
0.206963,2.94781
0.212123,2.94697
0.235143,2.94204
0.366576,2.92823
0.398193,2.92544
0.398773,2.92538
0.452118,2.91897
0.564651,2.91126
0.623045,2.91076
0.629671,2.91036
0.648193,2.90806
0.696913,2.90019
0.700896,2.89955
0.732517,2.89362
0.942541,2.87668
1.0002,2.87839
1.01616,2.87879
1.01887,2.87876
1.04533,2.87833
1.07813,2.87561
1.10832,2.87164
1.11062,2.87132
1.20747,2.86124
1.22099,2.86026
1.29382,2.85453
1.33162,2.85302
1.42177,2.85261
1.46948,2.85359
1.50939,2.85366
1.51712,2.85344
1.52604,2.85272
1.59293,2.84831
1.6559,2.84175
1.67057,2.84017
1.67393,2.83962
1.6763,2.83904
1.75264,2.82071
1.86192,2.80251
1.94809,2.79285
2.01996,2.78541
2.11009,2.78022
2.18347,2.77932
2.18908,2.77919
2.22338,2.77828
2.26109,2.7765
2.26192,2.77644
2.26344,2.77626
2.26805,2.77565
2.35318,2.76524
2.36444,2.76426
2.50846,2.76269
2.52874,2.76247
2.61716,2.76449
2.61764,2.76449
2.69349,2.76698
2.70141,2.76725
2.7619,2.76994
2.76861,2.77021
2.81356,2.77094
2.86104,2.7728
2.92143,2.77761
2.92259,2.7777
2.96924,2.78202
2.99144,2.78457
3.09133,2.8001
3.10519,2.80116
3.18392,2.80591
3.19998,2.80706
3.23371,2.80656
3.2445,2.80637
3.26744,2.8058
3.37816,2.8083
3.41251,2.81096
3.41326,2.81098
3.48865,2.81283
3.50378,2.81358
3.54181,2.81559
3.57442,2.81882
3.59302,2.82033
3.60309,2.82053
3.61606,2.82083
3.70393,2.82344
3.73823,2.82654
3.75292,2.82817
3.84612,2.8408
3.8885,2.84826
3.90288,2.85069
3.9311,2.85458
3.94924,2.8565
3.94943,2.85652
3.97268,2.85983
3.98554,2.86151
4.01712,2.86476
4.02323,2.86535
4.0316,2.86611
4.03456,2.86633
4.04164,2.8669
4.06656,2.86858
4.0667,2.86859
4.08369,2.86965
4.11253,2.87185
4.12153,2.87246
4.17144,2.87356
4.20859,2.87359
4.20866,2.87359
4.2262,2.87385
4.2572,2.87468
4.25734,2.87468
4.26916,2.87476
4.36582,2.87822
4.38206,2.87893
4.4703,2.88302
4.55705,2.88724
4.64653,2.89394
4.69697,2.89678
4.72289,2.8978
4.75279,2.89809
4.77754,2.89698
4.8617,2.89702
4.88394,2.89652
4.89217,2.89636
4.92423,2.89661
4.99475,2.89698
5.02011,2.89861
5.05123,2.89773
5.22156,2.90323
5.27548,2.90641
5.27606,2.90645
5.30129,2.90701
5.3743,2.90503
5.50267,2.91154
5.50271,2.91155
5.51245,2.91236
5.58117,2.91852
5.60072,2.91987
5.64741,2.92194
5.66831,2.92175
5.75466,2.91992
5.76014,2.91974
5.84875,2.91078
5.91752,2.90483
5.95296,2.90163
5.97654,2.89909
6.08326,2.88179
6.08332,2.88178
6.09866,2.8793
6.10492,2.87805
6.17623,2.86705
6.29377,2.85513
6.29394,2.85513
6.29612,2.85492
6.38455,2.84722
6.56948,2.84545
6.57733,2.84509
6.62567,2.84356
6.71627,2.83783
6.95873,2.84024
7.03246,2.84495
7.13766,2.85291
7.13767,2.85291
7.1387,2.85297
7.1656,2.85339
7.17485,2.85355
7.2369,2.85276
7.2865,2.8528
7.31298,2.85308
7.42073,2.85893
7.42968,2.85917
7.49982,2.85942
7.53078,2.85914
7.57281,2.85729
7.68736,2.8502
7.7343,2.84275
7.83332,2.83086
7.90611,2.82591
7.9166,2.82526
8.01418,2.81435
8.04458,2.81044
8.04715,2.80988
8.05989,2.80709
8.14109,2.79254
8.15949,2.78926
8.20228,2.7817
8.28815,2.76591
8.35394,2.75738
8.36868,2.75584
8.44679,2.74898
8.46344,2.74708
8.46972,2.746
8.51449,2.73953
8.51783,2.73843
8.54308,2.72951
8.60312,2.70872
8.62497,2.70105
8.68773,2.67813
8.69522,2.67537
8.77321,2.64597
8.91701,2.60637
8.948,2.59908
9.0225,2.58108
9.21601,2.54314
9.21611,2.54313
9.24167,2.54024
9.30177,2.53284
9.30778,2.53187
9.50083,2.51208
9.56799,2.51457
9.62232,2.51697
9.6236,2.51704
9.6913,2.51852
9.69158,2.51853
9.76038,2.5198
9.76091,2.51983
9.81778,2.52003
9.81839,2.52002
9.92004,2.51676
9.93837,2.51645
9.96585,2.51609
10.0266,2.51725
10.1197,2.5153
10.1677,2.51427
10.1698,2.5143
10.2563,2.51159
10.3562,2.51163
10.3563,2.51163
10.3628,2.51182
10.4586,2.51277
10.4789,2.5122
10.511,2.51127
10.5434,2.51054
10.6451,2.51428
10.6468,2.51437
10.7188,2.51549
10.7818,2.51757
10.7958,2.51698
10.8467,2.5165
10.8511,2.51657
10.8768,2.51757
10.8986,2.51881
10.973,2.52389
11.0053,2.5292
11.0534,2.53181
11.064,2.53284
11.1185,2.53437
11.1251,2.53363
11.2077,2.52794
11.2333,2.52881
11.3637,2.53553
11.3781,2.53728
11.3988,2.53993
11.4002,2.54004
11.4355,2.5418
11.4361,2.5418
11.4616,2.54082
11.5557,2.53801
11.5698,2.53765
11.6258,2.53509
11.6551,2.53415
11.6572,2.53405
11.6776,2.53224
11.7034,2.52934
11.7369,2.52434
11.8292,2.5093
11.9054,2.49359
