Distance,Diameter
0,2.63982
0.0799766,2.75459
0.129901,2.75898
0.180968,2.76394
0.226726,2.7691
0.277566,2.77259
0.318326,2.7747
0.357665,2.77648
0.399601,2.78016
0.433225,2.78312
0.445359,2.7844
0.448615,2.78459
0.46337,2.78564
0.480555,2.7872
0.480853,2.78724
0.554851,2.79739
0.599722,2.80497
0.600468,2.80508
0.656125,2.81232
0.662547,2.81299
0.729383,2.81839
0.748613,2.81947
0.854277,2.82904
0.928166,2.83659
1.00201,2.84623
1.07906,2.85137
1.0889,2.85224
1.128,2.85454
1.2309,2.86275
1.25987,2.86636
1.26408,2.86696
1.29628,2.87078
1.29766,2.87093
1.34796,2.87526
1.3903,2.87632
1.40743,2.87624
1.45827,2.87606
1.56154,2.88351
1.62472,2.88925
1.68686,2.89186
1.69899,2.89177
1.76002,2.88995
1.85903,2.88599
1.91813,2.88633
2.01625,2.88979
2.0189,2.88996
2.11056,2.89664
2.17976,2.90497
2.17979,2.90497
2.18069,2.90507
2.22717,2.90746
2.26281,2.90945
2.28365,2.91002
2.29788,2.91035
2.35258,2.90934
2.36807,2.90883
2.40715,2.90901
2.44924,2.90818
2.52145,2.90976
2.56221,2.91195
2.57592,2.91281
2.65827,2.92004
2.74069,2.93219
2.79259,2.93893
2.82314,2.94237
2.8372,2.94357
2.8531,2.94473
2.8758,2.94663
2.89624,2.94768
2.94082,2.94971
2.99277,2.95327
3.02258,2.95519
3.13242,2.96917
3.14061,2.97028
3.24058,2.9839
3.24111,2.98399
3.28532,2.99161
3.39043,3.01527
3.41177,3.01892
3.46192,3.027
3.49025,3.03061
3.49072,3.03067
3.51938,3.03444
3.51945,3.03445
3.5252,3.03533
3.53058,3.03591
3.54356,3.03732
3.6556,3.05264
3.70528,3.05922
3.77346,3.06941
3.84267,3.0771
3.89258,3.08181
3.97168,3.08915
4.00324,3.09175
4.06828,3.09099
4.07515,3.09072
4.10226,3.08847
4.18169,3.07689
4.31652,3.06694
4.38614,3.06451
4.39352,3.06422
4.47219,3.05909
4.61929,3.05753
4.63784,3.05803
4.69978,3.05516
4.76133,3.05291
4.78326,3.05124
4.78964,3.05052
4.84572,3.04045
4.87356,3.03552
5.15641,2.99772
5.17031,2.99608
5.17046,2.99605
5.18934,2.99315
5.25543,2.98371
5.33331,2.97266
5.38112,2.96561
5.42351,2.95707
5.72807,2.9046
5.78435,2.90034
5.81186,2.8977
5.8243,2.89625
5.82726,2.89575
5.83798,2.89421
6.091,2.8645
6.14399,2.86421
6.1455,2.86424
6.19424,2.85989
6.21534,2.85822
6.28841,2.84887
6.40179,2.83938
6.45074,2.83558
6.50686,2.83215
6.50928,2.83221
6.53837,2.83125
6.53851,2.83124
6.5559,2.83038
6.6122,2.82871
6.64486,2.8281
6.69336,2.82203
6.72644,2.81553
6.78376,2.80805
6.83276,2.8002
6.91833,2.78955
6.94821,2.78749
6.99819,2.77933
7.02941,2.77472
7.07459,2.76839
7.14527,2.75522
7.1713,2.75292
7.17131,2.75292
7.17473,2.75238
7.20283,2.74611
7.27944,2.72316
7.375,2.6949
7.4763,2.67079
7.47824,2.67033
7.48895,2.6672
7.56763,2.64543
7.58113,2.64176
7.63718,2.62506
7.76303,2.59721
7.83608,2.5853
7.84318,2.58339
7.91886,2.56434
7.94738,2.55742
7.9944,2.54582
8.0567,2.53169
8.08392,2.52698
8.11653,2.52143
8.15055,2.51441
8.15062,2.51439
8.16835,2.51071
8.24055,2.499
8.24058,2.499
8.24819,2.49745
8.25309,2.49629
8.35828,2.4628
8.42619,2.44904
8.44829,2.4434
8.51766,2.42711
8.51837,2.42696
8.54729,2.42074
8.54735,2.42073
8.55487,2.41881
8.57044,2.41412
8.64425,2.39518
8.74042,2.37741
8.81221,2.36456
8.85008,2.35529
8.86603,2.35162
8.91964,2.33644
8.91964,2.33644
8.91975,2.33641
9.09913,2.2941
9.14526,2.28998
9.16549,2.28722
9.17011,2.28663
