Distance,Diameter
0,2.32407
0.0023947,2.3235
0.186855,2.29061
0.269366,2.28996
0.295191,2.29103
0.297309,2.29104
0.302837,2.29095
0.312728,2.29072
0.31448,2.29067
0.351859,2.28901
0.422722,2.28745
0.42736,2.28731
0.504123,2.28571
0.584806,2.29029
0.627482,2.29572
0.651433,2.29898
0.672033,2.30254
0.678131,2.30346
0.751654,2.31454
0.763928,2.31548
0.788544,2.31719
0.790911,2.31736
0.814421,2.31934
0.875615,2.32103
0.901211,2.32224
0.993919,2.33096
1.00387,2.33217
1.03011,2.33481
1.08274,2.3412
1.09565,2.34243
1.10664,2.34321
1.13897,2.34556
1.16239,2.34639
1.21151,2.34807
1.24425,2.35089
1.24432,2.35089
1.26039,2.352
1.26651,2.35234
1.2941,2.35427
1.30015,2.35469
1.3126,2.35525
1.31458,2.35526
1.33302,2.35528
1.36932,2.35533
1.38143,2.35578
1.41977,2.35755
1.45926,2.35973
1.47837,2.36027
1.50025,2.36041
1.52087,2.36003
1.55138,2.35937
1.57696,2.35878
1.67814,2.35852
1.67897,2.35857
1.7332,2.36028
1.82759,2.3619
1.8323,2.36234
1.88177,2.36597
1.89893,2.36751
1.90731,2.36825
1.9425,2.3694
1.95197,2.36944
1.96631,2.36917
1.97238,2.36894
2.1111,2.36828
2.14293,2.37065
2.15972,2.37118
2.16961,2.37094
2.22628,2.36712
2.23511,2.36654
2.41757,2.36436
2.46506,2.37008
2.47827,2.3714
2.49647,2.37231
2.50405,2.3725
2.55133,2.37223
2.552,2.37222
2.67566,2.37252
2.6757,2.37252
2.68149,2.3728
2.73817,2.37458
2.8084,2.37353
2.82151,2.37296
2.84406,2.37146
2.94085,2.365
2.9416,2.36493
3.01703,2.3599
3.03218,2.35871
3.06339,2.35541
3.0969,2.35141
3.12884,2.34767
3.18984,2.34079
3.22838,2.33789
3.2675,2.33311
3.28291,2.33098
3.29984,2.32757
3.33727,2.31908
3.33888,2.31868
3.50241,2.28579
3.55618,2.27195
3.64746,2.24238
3.72661,2.22202
3.7506,2.2152
3.77243,2.20842
3.81711,2.19524
3.81752,2.19511
3.89317,2.17273
4.04683,2.13063
4.1108,2.11925
4.11703,2.11798
4.19126,2.09643
4.4157,2.03879
4.45771,2.03331
4.4921,2.02921
4.50542,2.02745
4.53332,2.02253
4.54795,2.02036
4.66364,2.00456
4.70975,1.9989
4.73148,1.99629
4.74589,1.99355
4.77774,1.98773
4.88943,1.9767
4.94243,1.97713
4.97408,1.97658
5.04368,1.97957
5.07604,1.98052
5.08324,1.98036
5.17863,1.98006
5.21709,1.98282
5.2406,1.98424
5.27565,1.98629
5.35169,1.99526
5.41259,2.00622
5.42049,2.00702
5.50052,2.01093
5.51462,2.01202
5.52857,2.01246
5.53603,2.01265
5.54961,2.01307
5.62001,2.01555
5.6265,2.01598
5.68592,2.02191
5.70337,2.02324
5.74688,2.02772
5.77197,2.02884
5.77919,2.02902
5.79239,2.02956
5.83689,2.02978
5.84021,2.02974
5.91698,2.0312
5.92463,2.03138
5.94549,2.03196
5.97262,2.03199
5.998,2.03112
6.07314,2.0309
6.07733,2.0309
6.11,2.02885
6.116,2.02847
6.14589,2.02499
6.17604,2.02168
6.17604,2.02168
6.17707,2.02155
6.21726,2.01491
6.24121,2.0095
6.27026,2.00349
6.30643,1.99695
6.3255,1.99354
6.39464,1.98089
6.45384,1.97201
6.48079,1.96829
6.49237,1.96676
6.53542,1.96177
6.54356,1.96068
6.55339,1.9592
6.60499,1.95263
6.63925,1.94718
6.70786,1.93907
6.73409,1.93743
6.75049,1.93665
6.80391,1.93446
6.83072,1.93298
6.89607,1.9291
6.97443,1.92515
7.05598,1.92701
7.1056,1.92708
7.14015,1.92733
7.20141,1.92595
7.22196,1.9256
7.23494,1.925
7.32234,1.92101
7.38515,1.92151
7.42663,1.92235
7.42663,1.92235
7.42669,1.92236
7.4501,1.9233
7.48625,1.92433
7.49131,1.92447
7.50593,1.92425
7.56291,1.9213
7.5729,1.92105
7.64464,1.91791
7.70815,1.91547
7.71712,1.91546
7.74177,1.91348
7.7841,1.91193
7.80091,1.91072
7.82149,1.90973
7.83685,1.90881
7.85922,1.90673
7.8696,1.90529
7.90552,1.9005
7.91201,1.89976
7.91763,1.89912
7.92294,1.8982
7.98877,1.88571
7.99834,1.88421
8.03334,1.87595
8.04985,1.87052
8.07907,1.85798
8.09352,1.85198
8.12211,1.83942
8.17433,1.8153
8.18742,1.80892
8.23224,1.78763
8.26926,1.7712
8.27639,1.76805
8.33274,1.74557
