Distance,Diameter
0,1.97554
0.0426029,2.02857
0.0476128,2.03501
0.048225,2.03487
0.104699,2.02105
0.229016,2.00237
0.259724,1.99982
0.27521,1.99878
0.275297,1.99877
0.297212,1.99684
0.335192,1.99372
0.342743,1.99261
0.376552,1.98681
0.456513,1.97849
0.456612,1.97848
0.468884,1.97769
0.529242,1.97435
0.568465,1.97415
0.612009,1.97055
0.642503,1.96856
0.698007,1.96743
0.735071,1.96804
0.762964,1.96898
0.804961,1.97028
0.817923,1.97077
0.818392,1.9708
0.876693,1.97366
0.905559,1.9758
0.919013,1.97676
0.947964,1.9769
0.999447,1.97647
1.06771,1.97966
1.08051,1.98012
1.12487,1.98153
1.13265,1.98162
1.14061,1.98152
1.14887,1.98129
1.20876,1.98149
1.20876,1.98149
1.20889,1.98149
1.28306,1.98258
1.31087,1.98372
1.34994,1.98601
1.35962,1.98634
1.41491,1.9873
1.4238,1.98733
1.46053,1.987
1.5048,1.98727
1.51989,1.98761
1.56147,1.988
1.58279,1.98855
1.58982,1.98851
1.59377,1.98846
1.61764,1.98817
1.62536,1.98804
1.66334,1.98789
1.68164,1.98751
1.69746,1.98692
1.69869,1.98687
1.70368,1.9867
1.7444,1.98541
1.75574,1.98488
1.76116,1.98434
1.76202,1.98424
1.85148,1.97753
1.89133,1.97627
1.93683,1.97634
1.93821,1.97632
1.94001,1.97632
1.98938,1.9758
1.98941,1.9758
1.99277,1.97576
2.00545,1.97472
2.06844,1.97099
2.0732,1.97054
2.07851,1.96991
2.08764,1.96887
2.12873,1.96521
2.1696,1.96328
2.17324,1.96306
2.23315,1.95928
2.23919,1.95876
2.2396,1.95874
2.30667,1.95512
2.3151,1.95471
2.32746,1.95409
2.35924,1.95257
2.41258,1.95081
2.41306,1.95081
2.47934,1.94998
2.50914,1.94914
2.54354,1.94829
2.55394,1.94776
2.64086,1.94806
2.64461,1.94811
2.70207,1.95009
2.71378,1.95073
2.76171,1.95151
2.77178,1.95128
2.82937,1.95176
2.82938,1.95176
2.82986,1.95179
2.86722,1.95202
2.92029,1.95409
2.921,1.95413
2.95575,1.95597
2.95578,1.95597
2.96244,1.95619
3.02002,1.95815
3.03703,1.9577
3.09039,1.95322
3.10266,1.95202
3.156,1.94801
3.16162,1.94745
3.16413,1.94709
3.17394,1.94563
3.18837,1.94347
3.23323,1.93703
3.27174,1.93247
3.29555,1.9288
3.29743,1.92845
3.32131,1.92277
3.40292,1.90498
3.40423,1.90477
3.41902,1.90195
3.4193,1.90189
3.47097,1.89062
3.48174,1.88801
3.54335,1.87195
3.61317,1.85971
3.65404,1.85272
3.67523,1.84887
3.73063,1.83848
3.77799,1.82901
3.86496,1.8184
3.92155,1.8175
3.92729,1.8172
3.98527,1.81384
4.02976,1.81051
4.08825,1.81007
4.11742,1.81103
4.15081,1.81274
4.18056,1.81412
4.21976,1.8163
4.26368,1.82112
4.26715,1.82151
4.27072,1.82178
4.36278,1.83357
4.38388,1.83711
4.39279,1.83845
4.45407,1.84737
4.46141,1.84862
4.47018,1.85009
4.53665,1.86329
4.55011,1.86591
4.5909,1.87437
4.5917,1.87453
4.59851,1.87598
4.64144,1.88465
4.68829,1.89612
4.71498,1.90219
4.72477,1.90452
4.73369,1.90655
4.77527,1.9151
4.78412,1.91687
4.80859,1.92096
4.82131,1.92276
4.8236,1.92308
4.82372,1.9231
4.85294,1.92727
4.91771,1.93948
4.9822,1.95313
4.99131,1.95529
5.02563,1.9626
5.03609,1.96423
5.03616,1.96424
5.04487,1.9653
5.04527,1.96534
5.06995,1.96797
5.07012,1.96799
5.07833,1.96867
5.10771,1.97128
5.12691,1.97293
5.13586,1.9737
5.17485,1.97646
5.2186,1.98047
5.23959,1.98109
5.24483,1.98124
5.27269,1.98075
5.29299,1.97888
5.35629,1.97421
5.38721,1.97143
5.47569,1.96957
5.47586,1.96957
5.49735,1.96989
5.5045,1.97014
5.51508,1.97016
5.5318,1.9697
5.53568,1.9695
5.54485,1.96886
5.56017,1.96734
5.57848,1.96466
5.63546,1.95675
5.68317,1.95176
5.69657,1.95012
5.71216,1.94759
5.73799,1.94335
5.76263,1.9395
5.76562,1.93881
5.80389,1.92683
5.84721,1.91302
5.85268,1.91131
5.88103,1.90134
6.00245,1.87111
6.02773,1.86485
6.04389,1.86058
6.06237,1.85489
6.08974,1.84351
6.27855,1.80723
6.2998,1.80456
6.31761,1.80088
6.32554,1.79893
6.51886,1.76679
6.55524,1.7649
6.57924,1.76243
6.60711,1.75934
6.65747,1.753
6.65989,1.75275
6.72791,1.74895
6.8218,1.75372
6.82536,1.75406
6.88037,1.75896
6.88933,1.75936
6.94419,1.76161
6.9468,1.76176
6.97025,1.76273
7.05971,1.77406
7.09104,1.78023
7.10929,1.78449
7.13085,1.79027
7.13495,1.79124
7.17392,1.79954
7.1914,1.80356
7.21784,1.80935
7.23773,1.81369
7.24627,1.81542
7.27,1.8206
7.30272,1.82824
7.33816,1.8379
7.36339,1.84502
7.37687,1.84859
7.41092,1.8575
7.4402,1.86442
7.45391,1.86757
7.49007,1.8772
7.49024,1.87725
7.50472,1.88078
7.55327,1.89285
7.59187,1.90152
7.59452,1.90214
7.62997,1.91255
7.64463,1.91562
7.70089,1.92661
7.70366,1.92718
7.73579,1.93286
7.75835,1.93695
7.80654,1.94667
7.81062,1.94746
7.85175,1.95516
7.88125,1.96041
7.88745,1.96125
7.89195,1.96173
7.95185,1.97044
7.98116,1.97416
8.01454,1.9781
8.0171,1.97838
8.05022,1.98051
8.05382,1.98065
8.10559,1.98078
8.10905,1.98076
8.11874,1.98066
8.15478,1.97923
8.17108,1.97891
8.20416,1.97892
8.2053,1.97889
8.23981,1.97805
8.26448,1.97685
8.28227,1.97541
8.29861,1.97436
8.30025,1.97419
8.32711,1.97169
8.35394,1.96824
8.36294,1.96654
8.3976,1.96169
8.45634,1.95589
8.47913,1.95426
8.5226,1.94931
8.55392,1.94611
8.6103,1.94009
8.6565,1.93479
8.66054,1.93425
8.69614,1.92895
8.76417,1.92016
8.83212,1.91526
8.86091,1.91277
8.87637,1.91112
8.92824,1.90689
8.95213,1.90333
9.00127,1.89712
9.06928,1.88958
9.07532,1.88921
9.12019,1.886
9.1918,1.88495
