Distance,Diameter
0,1.63155
0.0170153,1.63461
0.0427518,1.63438
0.0444154,1.63438
0.0807712,1.62088
0.10469,1.61096
0.164392,1.58468
0.200758,1.56872
0.241221,1.54877
0.303759,1.52063
0.40088,1.48948
0.432112,1.48089
0.459554,1.47203
0.518192,1.45051
0.518617,1.45039
0.57113,1.43618
0.641113,1.42482
0.661641,1.42268
0.69377,1.41921
0.709166,1.41788
0.722358,1.4158
0.766409,1.4085
0.853651,1.40407
0.855934,1.4041
0.892952,1.40519
0.894375,1.40522
0.911157,1.40489
0.92903,1.40431
0.964562,1.40396
0.981838,1.40358
1.04553,1.408
1.0853,1.41406
1.0943,1.41516
1.11368,1.41785
1.11484,1.41801
1.12433,1.4191
1.14183,1.42122
1.1773,1.42608
1.25471,1.44193
1.28822,1.45082
1.29769,1.45353
1.31542,1.45876
1.31853,1.45967
1.34671,1.46758
1.37504,1.47633
1.37725,1.47698
1.41033,1.48738
1.43441,1.49512
1.43445,1.49513
1.43859,1.49648
1.47795,1.51039
1.51889,1.52635
1.54985,1.53873
1.55446,1.5404
1.55448,1.54041
1.55648,1.54111
1.5906,1.55275
1.61251,1.56095
1.61259,1.56098
1.63393,1.57013
1.63483,1.57055
1.66191,1.58322
1.69617,1.60047
1.70611,1.6057
1.70623,1.60576
1.72097,1.61271
1.74382,1.62393
1.74397,1.624
1.76287,1.63301
1.76288,1.63301
1.76568,1.63426
1.81319,1.65623
1.81686,1.65805
1.86737,1.68478
1.86987,1.68611
1.87028,1.68633
1.89593,1.69994
1.90372,1.70418
1.93314,1.71773
1.9469,1.72392
1.97438,1.7362
2.01288,1.75436
2.02363,1.75946
2.05041,1.77192
2.06408,1.7782
2.08213,1.78635
2.08998,1.7897
2.12518,1.80454
2.17568,1.82752
2.18554,1.83223
2.19065,1.83466
2.21311,1.84522
2.21751,1.8472
2.23488,1.85429
2.23988,1.85624
2.24363,1.85765
2.25094,1.86019
2.25401,1.86129
2.26883,1.86648
2.27463,1.86847
2.29029,1.87447
2.30692,1.88142
2.34835,1.89309
2.40487,1.9126
2.43434,1.9243
2.43454,1.92438
2.45951,1.93425
2.47297,1.9394
2.48592,1.94389
2.50594,1.9501
2.52001,1.95433
2.52617,1.95607
2.56282,1.96466
2.60189,1.97442
2.61744,1.97836
2.64691,1.98506
2.65197,1.98614
2.65511,1.98666
2.66813,1.98883
2.6707,1.98919
2.68216,1.99081
2.7051,1.99372
2.71531,1.99484
2.75591,1.99823
2.76322,1.99894
2.79165,2.00195
2.80071,2.00314
2.82597,2.00473
2.87658,2.0088
2.89242,2.01034
2.95186,2.01563
2.99532,2.02003
3.03611,2.02223
3.05188,2.02319
3.06174,2.02362
3.06417,2.02374
3.12348,2.02495
3.23353,2.03952
3.28685,2.04599
3.30734,2.048
3.32443,2.04914
3.36051,2.05106
3.41446,2.05593
3.42824,2.05738
3.49893,2.06572
3.52563,2.06898
3.53038,2.06906
3.5838,2.06996
3.58386,2.06996
3.59908,2.07032
3.62035,2.07078
3.64739,2.07145
3.70228,2.07416
3.7316,2.07571
3.75423,2.07662
3.75716,2.07677
3.77512,2.07765
3.79797,2.07903
3.81858,2.07906
3.83551,2.0783
3.85771,2.07692
3.90269,2.07481
3.94296,2.07356
3.95748,2.07327
3.9861,2.07356
4.0018,2.07271
4.05018,2.06893
4.0646,2.06664
4.14311,2.05565
4.19348,2.05123
4.1938,2.0512
4.20682,2.04999
4.24978,2.04353
4.27402,2.04081
4.2741,2.04079
4.35938,2.02977
4.36434,2.02926
4.46571,2.0244
4.49533,2.02462
4.5589,2.02459
4.59564,2.02485
4.63363,2.02415
4.64992,2.02322
4.68026,2.02187
4.73762,2.01704
4.77454,2.01185
4.88397,2.0054
4.92444,2.00662
4.93059,2.00681
4.9357,2.00688
4.98749,2.00324
5.05435,2.00009
5.11864,2.00139
5.13278,2.00229
5.17012,2.00458
5.17029,2.00459
5.21252,2.00658
5.22781,2.00742
5.24622,2.00802
5.29798,2.01165
5.3059,2.01229
5.34246,2.01427
5.36182,2.01513
5.36929,2.01542
5.36962,2.01542
5.38982,2.01575
5.51074,2.01972
5.52098,2.02041
5.55948,2.02284
5.56003,2.02287
5.56552,2.02292
5.59123,2.02331
5.60943,2.02393
5.62347,2.02425
5.65936,2.02571
5.66797,2.02561
5.72629,2.02445
5.75217,2.02457
5.80885,2.02803
5.84118,2.02981
5.86442,2.03092
5.91957,2.03443
5.9322,2.0345
5.97645,2.03566
5.98782,2.03584
6.00061,2.03595
6.06082,2.03842
6.06558,2.03877
6.07826,2.0396
6.09139,2.03936
6.19378,2.03905
6.23618,2.03908
6.23649,2.03908
6.26196,2.03933
6.32397,2.04112
6.32465,2.04115
6.35208,2.04228
6.37258,2.04307
6.39313,2.04399
6.39643,2.04406
6.45028,2.04566
6.46376,2.04632
6.52724,2.05004
6.5276,2.05008
6.57194,2.05494
6.57199,2.05495
6.58491,2.05676
6.60608,2.05927
6.60629,2.05929
6.61918,2.0602
