Distance,Diameter
0,2.30946
0.00192737,2.3097
0.0159313,2.31128
0.0433802,2.31483
0.0708084,2.3184
0.0859802,2.32012
0.158885,2.32722
0.159898,2.32728
0.193836,2.32926
0.265579,2.33286
0.308795,2.33631
0.313358,2.33663
0.359678,2.33885
0.396653,2.3392
0.41869,2.33928
0.442689,2.33894
0.506243,2.33405
0.512311,2.33353
0.546505,2.33015
0.586384,2.32594
0.627029,2.3224
0.627378,2.32237
0.654261,2.32062
0.654711,2.32058
0.698603,2.31496
0.707892,2.31306
0.726417,2.30914
0.7864,2.29791
0.79708,2.29573
0.8416,2.28695
0.928976,2.27335
0.957231,2.26866
1.01772,2.25782
1.1049,2.24408
1.13152,2.23989
1.19221,2.22897
1.21027,2.22553
1.28566,2.21031
1.30996,2.20509
1.38073,2.19231
1.44968,2.18257
1.45417,2.18196
1.53377,2.1685
1.59671,2.16158
1.64249,2.15527
1.65279,2.15364
1.69277,2.14723
1.70942,2.14461
1.73496,2.1402
1.73513,2.14017
1.74922,2.13819
1.83124,2.12848
1.86299,2.12613
1.90547,2.12373
1.91883,2.12284
1.92439,2.12242
1.9739,2.11967
1.99561,2.11798
2.02564,2.11444
2.08081,2.10713
2.08404,2.10675
2.11376,2.10346
2.14694,2.09907
2.14728,2.09903
2.17574,2.09577
2.18881,2.09416
2.20139,2.09262
2.23431,2.08854
2.27279,2.08368
2.28361,2.08232
2.28945,2.08148
2.30923,2.07882
2.33703,2.07507
2.33953,2.07471
2.34789,2.07314
2.38857,2.06492
2.39935,2.06252
2.42938,2.05524
2.47029,2.04677
2.50286,2.04035
2.52506,2.0352
2.56784,2.02382
2.56788,2.02381
2.57031,2.02314
2.5706,2.02305
2.59398,2.01612
2.59403,2.0161
2.60023,2.01412
2.66374,1.99486
2.67842,1.99064
2.71863,1.97873
2.72138,1.97787
2.76819,1.96426
2.774,1.96226
2.77403,1.96225
2.78091,1.95966
2.82321,1.9434
2.85344,1.93132
2.97474,1.88886
3.00419,1.8819
3.03696,1.87297
3.03696,1.87297
3.03731,1.87287
3.07105,1.86171
3.08282,1.85787
3.09946,1.85233
3.10432,1.85064
3.17577,1.82824
3.18291,1.82662
3.24122,1.81099
3.26227,1.80634
3.28634,1.80005
3.30263,1.79604
3.34458,1.78495
3.4027,1.77254
3.41252,1.77067
3.52116,1.75309
3.52366,1.75271
3.52811,1.75184
3.53743,1.75011
3.56385,1.74456
3.59827,1.73761
3.63897,1.73054
3.71007,1.72383
3.75896,1.72274
3.77081,1.72263
3.81996,1.71932
3.82005,1.71928
3.8226,1.71921
3.82706,1.71909
3.90958,1.71037
3.99829,1.71218
4.01851,1.71369
4.01876,1.7137
4.0396,1.71448
4.09148,1.71721
4.1028,1.71751
4.13642,1.71667
4.15553,1.71686
4.2082,1.71759
4.22505,1.71804
4.28623,1.72129
4.31437,1.72398
4.34691,1.72661
4.37749,1.72936
4.40454,1.73195
4.46655,1.73403
4.47658,1.73424
4.53657,1.73602
4.54101,1.73625
4.57649,1.73814
4.58115,1.73839
4.59144,1.73874
4.65276,1.74088
4.68729,1.74027
4.72291,1.74022
4.74561,1.73911
4.7738,1.73798
4.77484,1.73795
4.82251,1.73703
4.89064,1.73828
4.89064,1.73828
4.89066,1.73828
4.9582,1.73849
5.0138,1.74055
5.01864,1.74055
5.0758,1.74132
5.07723,1.74134
5.1284,1.7417
5.12935,1.74171
5.17084,1.74253
5.20318,1.74363
5.26153,1.74468
5.26608,1.74476
5.2671,1.74478
5.28804,1.74409
5.2929,1.74391
5.31614,1.74306
5.35462,1.74208
5.3852,1.74171
5.44416,1.74282
5.47287,1.74316
5.48646,1.74302
5.54798,1.74319
5.54856,1.74317
5.61861,1.74195
5.66421,1.74365
5.69007,1.74409
5.72182,1.74353
5.73004,1.74344
5.74185,1.74342
5.75892,1.74328
5.7629,1.74319
5.77059,1.74292
5.84266,1.74327
5.84499,1.74332
5.8991,1.7441
5.91049,1.74459
5.9319,1.74391
5.97553,1.74302
5.99033,1.74291
5.99058,1.7429
6.05239,1.74208
6.06725,1.74224
6.06914,1.74223
6.12758,1.74203
6.16478,1.74104
6.19659,1.74075
6.19812,1.74069
6.25801,1.73838
6.27997,1.7385
6.29597,1.73849
6.32334,1.73855
6.33381,1.73825
6.36874,1.73712
6.39066,1.73635
6.43585,1.73555
6.44738,1.73519
6.49867,1.73374
6.55901,1.73281
6.56926,1.73179
6.61042,1.72871
6.67751,1.72523
6.68416,1.72495
6.7365,1.72233
6.79134,1.71865
6.79332,1.71852
6.81186,1.71702
6.8507,1.71301
6.86297,1.71204
6.89892,1.70981
6.91688,1.70854
6.93841,1.70693
6.96369,1.70443
6.9873,1.70186
7.02861,1.69792
7.03216,1.69752
7.09228,1.69111
7.13155,1.68843
7.15236,1.68715
7.15353,1.68705
7.17343,1.68527
7.21976,1.682
7.27937,1.67644
7.34204,1.6706
7.34535,1.67029
7.36363,1.66868
7.40637,1.66443
7.40857,1.66422
7.46737,1.65845
7.47619,1.65757
7.52706,1.65276
7.53093,1.65238
7.55762,1.64962
7.62081,1.64468
7.66771,1.64124
7.68099,1.63973
7.6888,1.6388
7.75483,1.63114
7.80218,1.62575
7.82724,1.62296
7.89601,1.61804
7.94242,1.61486
7.96065,1.61363
8.02266,1.60907
8.06099,1.60631
8.09673,1.60464
8.15893,1.60424
8.17986,1.60488
8.18502,1.6048
8.19721,1.60425
8.21554,1.60313
8.27152,1.60112
8.28124,1.60088
8.29793,1.60019
8.30464,1.6
8.34574,1.59889
8.40119,1.60018
8.41547,1.60071
8.45451,1.60128
8.45623,1.60127
8.47326,1.60049
8.5289,1.60027
8.59096,1.60143
8.64577,1.6015
8.66096,1.60168
8.70335,1.60236
8.71148,1.60234
8.76818,1.60327
8.76936,1.60331
8.79199,1.60443
8.85242,1.60562
8.86941,1.60626
8.91651,1.60659
8.91784,1.60658
8.98053,1.606
8.98054,1.606
8.98128,1.606
9.04736,1.60665
9.05093,1.60661
9.10823,1.60781
9.11181,1.60791
9.11385,1.60794
9.13179,1.60821
9.17595,1.60924
9.23406,1.60824
9.27454,1.60786
9.3018,1.60945
9.38348,1.613
9.38875,1.61331
9.43875,1.61427
9.46828,1.61548
9.50745,1.61641
9.54682,1.618
9.61925,1.62328
9.65176,1.62692
9.65443,1.62716
9.7081,1.6306
9.7507,1.63432
9.75083,1.63433
9.76654,1.63539
9.83215,1.64048
9.91376,1.65354
9.91381,1.65355
9.92485,1.65558
9.98808,1.66666
10.0543,1.67721
10.0593,1.67802
10.0695,1.67913
10.1001,1.6824
10.1263,1.68503
10.1958,1.69406
10.2239,1.69809
10.2778,1.70687
10.3077,1.71251
10.3578,1.72033
10.424,1.72952
10.4375,1.73154
10.4975,1.73953
10.5657,1.74962
10.6082,1.75692
10.6711,1.76711
10.7086,1.77171
10.7851,1.78278
10.8432,1.79201
10.9215,1.80941
10.9278,1.81082
10.9744,1.8199
10.9859,1.82203
11.0543,1.8347
11.0946,1.84268
11.1168,1.84713
11.1958,1.86533
11.2371,1.87641
11.2745,1.88755
11.2785,1.8886
11.2851,1.88999
11.3034,1.89429
11.3459,1.90426
11.3575,1.90721
11.4173,1.92152
11.4805,1.93889
11.5426,1.95896
11.6139,1.98068
11.6165,1.98151
11.6249,1.98415
11.6917,2.00496
11.7533,2.02643
11.7534,2.02647
11.7762,2.03479
11.7799,2.03612
11.8278,2.05319
11.8371,2.05619
11.8383,2.05657
11.8987,2.07736
11.9154,2.08291
11.9527,2.09606
11.9811,2.10634
11.9936,2.11036
12.0755,2.13983
12.118,2.15357
12.1506,2.16426
12.1668,2.17
12.1847,2.17636
12.1908,2.17834
12.2193,2.18785
12.2318,2.19215
12.2439,2.196
12.2823,2.20853
12.2965,2.21345
12.299,2.21434
12.3152,2.21951
12.3264,2.22295
12.3485,2.22855
12.4114,2.24504
12.4171,2.24634
12.4459,2.25084
12.4679,2.25429
12.5002,2.26079
12.5496,2.26661
12.5496,2.26662
12.5576,2.26747
12.5579,2.26749
12.6368,2.25679
12.6834,2.24732
12.7312,2.23346
12.7315,2.23339
12.7423,2.2298
12.8068,2.20712
12.8069,2.2071
12.8219,2.20154
12.8621,2.1861
12.9032,2.17045
12.9069,2.16901
12.925,2.16202
13.0416,2.12596
13.0532,2.12297
13.0559,2.12213
13.1215,2.10259
13.1513,2.09329
13.2198,2.07185
13.2795,2.05714
13.2798,2.05707
13.3328,2.04455
13.3381,2.04323
13.3999,2.02636
13.4222,2.02013
13.5036,2.00091
13.516,1.9959
13.5728,1.97329
13.5863,1.96848
13.6444,1.9458
13.6451,1.94555
13.6867,1.92894
13.7119,1.91936
13.748,1.90568
13.7775,1.89531
13.7906,1.89104
13.8733,1.86206
13.9332,1.84693
13.9372,1.84604
13.979,1.83555
14.0227,1.82292
14.0371,1.81852
14.0477,1.81508
14.104,1.79942
14.1988,1.78032
14.2478,1.7741
14.2808,1.76884
14.3018,1.76567
14.312,1.76363
14.3984,1.75064
14.4044,1.75031
14.4496,1.74687
14.4777,1.74483
14.5058,1.74215
14.5505,1.73569
14.6681,1.7258
14.6681,1.7258
14.68,1.72603
14.6801,1.72603
14.6878,1.72589
14.6879,1.72589
14.7074,1.7247
14.7392,1.72275
14.7491,1.72185
14.7752,1.71883
14.7801,1.71823
14.8533,1.70827
14.8901,1.70568
14.8922,1.70548
14.8934,1.70542
14.9541,1.70205
14.9607,1.70139
14.9904,1.69799
15.043,1.69342
15.0555,1.69209
15.1168,1.68432
15.1173,1.68429
15.1481,1.68232
15.1576,1.6813
15.2163,1.6757
15.2353,1.67406
15.2883,1.66819
15.3206,1.66341
15.3619,1.65795
15.3859,1.65489
15.4485,1.64829
15.5152,1.64236
15.5524,1.63838
15.5872,1.63397
15.6454,1.62656
15.6961,1.62183
15.7367,1.62125
15.7989,1.62349
15.8062,1.62389
15.8181,1.62336
15.8822,1.62076
15.9048,1.61977
15.9256,1.61944
15.9307,1.61938
15.982,1.62021
15.9923,1.62063
16.052,1.62344
16.1037,1.6286
16.1644,1.63724
16.1873,1.63951
16.2189,1.64196
16.2312,1.6431
16.232,1.64319
16.2361,1.64359
16.2733,1.64677
16.3934,1.66967
16.3978,1.67084
16.4272,1.67825
16.4415,1.68097
16.4782,1.68796
16.5173,1.69418
16.5402,1.69925
16.5449,1.70026
16.6117,1.71757
16.6125,1.71778
16.6345,1.72481
16.6514,1.72964
16.6775,1.7367
16.7005,1.74289
16.7028,1.74347
16.704,1.74378
16.7069,1.74439
16.7073,1.74448
16.7169,1.74659
16.717,1.74662
16.7476,1.75308
16.7483,1.75327
16.8334,1.77709
16.8353,1.77775
16.8629,1.78755
16.8629,1.78755
16.8643,1.78802
16.8644,1.78807
16.8739,1.79111
16.8743,1.79122
16.8828,1.7936
16.898,1.79737
16.9065,1.79969
16.9159,1.80222
16.9202,1.80344
16.9236,1.80442
16.9237,1.80443
16.9406,1.80872
16.9408,1.80876
16.9621,1.81376
16.9765,1.81743
16.9836,1.81948
16.9841,1.81959
17.0106,1.82657
17.0107,1.8266
17.0368,1.8341
17.0368,1.83413
17.0551,1.84072
17.0554,1.84082
17.0581,1.84175
17.0587,1.8419
17.0789,1.84716
17.079,1.84719
17.0892,1.84971
17.0951,1.85125
17.0987,1.85207
17.1099,1.85481
17.1099,1.85483
17.1273,1.85875
17.1331,1.85994
17.1647,1.86581
17.1658,1.8661
17.209,1.8781
17.2201,1.8812
17.2419,1.88687
17.255,1.88944
17.2926,1.89466
17.3046,1.89621
17.3102,1.89677
17.3185,1.89734
17.3542,1.89974
17.3544,1.89976
17.3917,1.9001
17.4019,1.90013
17.4021,1.90012
17.4349,1.89858
17.4455,1.89748
17.4833,1.89286
17.5091,1.89058
17.5203,1.88948
17.5759,1.87941
17.626,1.86961
17.6574,1.86484
17.6682,1.86288
17.6906,1.85842
17.7524,1.84134
17.7814,1.83475
17.7839,1.83417
17.8398,1.8217
17.8416,1.82136
17.8639,1.81787
17.8667,1.81741
17.9057,1.80867
17.9595,1.79891
17.977,1.7953
17.984,1.79385
17.9899,1.79258
18.0034,1.78966
18.0416,1.78101
18.0669,1.77602
18.0791,1.77391
18.1454,1.76114
18.1739,1.7563
18.1821,1.75481
18.2207,1.74805
18.231,1.74616
18.2455,1.74326
18.2554,1.74129
18.2737,1.73752
18.3588,1.72525
18.3837,1.72322
18.4256,1.71868
18.4538,1.71415
18.4627,1.7127
18.4743,1.71105
18.5173,1.70508
18.5232,1.7046
18.5747,1.69986
18.5754,1.69983
18.6364,1.69765
18.6465,1.69793
18.6634,1.69694
18.7034,1.69089
18.741,1.68548
18.8843,1.67692
18.8844,1.67693
18.8883,1.67715
18.8887,1.67715
18.9105,1.67716
18.9641,1.67961
18.9656,1.67964
18.9957,1.6779
19.0023,1.67753
19.0523,1.67541
19.083,1.67544
19.1044,1.67411
19.1434,1.67245
19.1539,1.67214
19.1642,1.67168
19.1643,1.67168
19.1695,1.67119
19.2604,1.66944
19.2906,1.67044
19.3042,1.67076
19.308,1.67078
19.3447,1.67067
19.3975,1.67209
19.3988,1.67213
19.4078,1.67215
19.5145,1.66803
19.5499,1.67011
19.5549,1.67016
19.6162,1.67255
19.6276,1.67303
19.6409,1.67329
19.6711,1.6727
19.7039,1.67304
19.7255,1.67301
19.7794,1.6747
19.7881,1.67493
19.8532,1.67425
19.8543,1.67423
19.8705,1.67414
19.9168,1.67326
19.9172,1.67325
19.9557,1.67189
19.9633,1.67125
20.0196,1.66844
20.0891,1.66754
20.1038,1.66775
20.1333,1.66598
20.1875,1.65988
20.1879,1.65984
20.2028,1.65852
20.2029,1.6585
20.2183,1.65642
20.3218,1.65098
20.3466,1.65075
20.3556,1.65063
20.3765,1.65044
20.3788,1.65032
20.4134,1.64674
20.4184,1.64615
20.4191,1.64605
20.472,1.63872
20.5027,1.63634
20.5368,1.63449
20.5427,1.6342
20.5846,1.6327
20.5934,1.63233
20.628,1.63051
20.6349,1.63001
20.6819,1.62609
20.683,1.62603
20.7569,1.61864
20.8165,1.60814
20.8477,1.60418
20.8481,1.60412
20.8633,1.60169
20.8704,1.60039
20.8714,1.60008
20.9191,1.58944
21.0739,1.57913
