"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.14157,12.6815,-26.2733,-10.9691
0.0282289,2.14284,12.6638,-26.2691,-10.9475
0.0472987,2.14322,12.6525,-26.2669,-10.9323
0.084499,2.14389,12.6324,-26.2653,-10.901
0.0886899,2.14401,12.6301,-26.265,-10.8975
0.164251,2.14834,12.587,-26.2611,-10.8356
0.191777,2.15046,12.5713,-26.2614,-10.813
0.246037,2.15541,12.5424,-26.2637,-10.7671
0.247499,2.15539,12.5416,-26.2639,-10.7659
0.28721,2.15377,12.5208,-26.2695,-10.7326
0.289979,2.15368,12.5193,-26.2697,-10.7302
0.293464,2.15361,12.5173,-26.2696,-10.7274
0.361042,2.15316,12.4809,-26.2711,-10.6705
0.361178,2.15317,12.4808,-26.2711,-10.6704
0.395165,2.15406,12.4603,-26.2688,-10.6434
0.423462,2.15596,12.4437,-26.2676,-10.6205
0.430267,2.15616,12.4397,-26.2677,-10.615
0.464916,2.15554,12.4219,-26.2704,-10.5854
0.529315,2.15326,12.386,-26.2703,-10.5319
0.54244,2.15313,12.3789,-26.2702,-10.5209
0.62713,2.15039,12.3305,-26.2722,-10.4515
0.686312,2.14938,12.2992,-26.2723,-10.4012
0.712425,2.14946,12.2852,-26.2693,-10.3794
0.713124,2.14944,12.2848,-26.2692,-10.3788
0.75147,2.14759,12.2647,-26.2677,-10.3462
0.812575,2.14639,12.235,-26.2746,-10.2932
0.832675,2.14649,12.2251,-26.277,-10.2759
0.88068,2.14654,12.1982,-26.2804,-10.2363
0.897039,2.14664,12.1895,-26.2813,-10.2225
0.929329,2.14587,12.171,-26.2825,-10.196
0.949463,2.14457,12.1604,-26.2829,-10.1789
0.965435,2.14341,12.1517,-26.2829,-10.1655
0.979257,2.14248,12.1442,-26.2824,-10.1539
1.01618,2.14036,12.1229,-26.2801,-10.1238
1.03031,2.13938,12.1141,-26.2796,-10.1128
1.1446,2.13314,12.051,-26.2861,-10.0177
1.15406,2.13282,12.0456,-26.2868,-10.0099
1.21527,2.13104,12.0114,-26.2887,-9.95922
1.22407,2.13079,12.0066,-26.2888,-9.95184
1.27378,2.12902,11.9791,-26.2918,-9.91058
1.30481,2.12819,11.9628,-26.293,-9.88421
1.34815,2.12807,11.9404,-26.2946,-9.84711
1.34941,2.12806,11.9398,-26.2947,-9.84601
1.35915,2.12753,11.9346,-26.2944,-9.83781
1.40775,2.12376,11.908,-26.2971,-9.79723
1.43209,2.12259,11.895,-26.2985,-9.7767
1.46096,2.12228,11.8775,-26.2953,-9.75395
1.4814,2.12199,11.865,-26.2943,-9.73777
1.55933,2.12207,11.8212,-26.2983,-9.67345
