"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,1.42962,22.6685,7.987,-8.11006
0.00243864,1.42922,22.6695,7.98891,-8.10889
0.028299,1.42616,22.6718,8.01412,-8.10362
0.065648,1.42371,22.6745,8.05091,-8.09778
0.0817411,1.42312,22.6752,8.06691,-8.09618
0.0842299,1.423,22.6754,8.06938,-8.09593
0.131535,1.42108,22.6796,8.11607,-8.08963
0.150637,1.41988,22.6831,8.13453,-8.08618
0.15066,1.41987,22.6831,8.13455,-8.08617
0.15116,1.4198,22.6834,8.13496,-8.08599
0.188464,1.41593,22.6913,8.17047,-8.0778
0.188506,1.41593,22.6913,8.17051,-8.07779
0.219562,1.41274,22.6998,8.19921,-8.06944
0.219672,1.41273,22.6998,8.19931,-8.06941
0.239921,1.41182,22.7026,8.21903,-8.06574
0.239977,1.41182,22.7026,8.21908,-8.06573
0.246883,1.41141,22.7034,8.22579,-8.06433
0.292844,1.40885,22.7128,8.26953,-8.05377
0.352751,1.4026,22.7257,8.32652,-8.04061
0.3559,1.40231,22.7267,8.32942,-8.03981
0.441196,1.39974,22.7503,8.40804,-8.0166
0.464085,1.39982,22.757,8.42881,-8.00976
0.479312,1.39978,22.7615,8.44256,-8.00501
0.489243,1.39949,22.7648,8.4515,-8.0022
0.495672,1.39906,22.7671,8.45726,-8.00049
0.544799,1.39619,22.7824,8.50181,-7.98658
0.548158,1.39601,22.7831,8.50499,-7.98576
0.566453,1.39533,22.7875,8.52227,-7.98161
0.633038,1.3975,22.8009,8.58591,-7.96733
0.665038,1.40101,22.8092,8.6154,-7.95815
0.670514,1.40162,22.8107,8.62049,-7.95674
0.677575,1.40238,22.812,8.62727,-7.95526
0.694672,1.40399,22.8148,8.64366,-7.95127
0.7,1.40451,22.8155,8.64883,-7.95017
0.725839,1.40696,22.8201,8.67318,-7.94284
0.765656,1.40929,22.8273,8.71148,-7.93472
0.770846,1.40961,22.828,8.71652,-7.93368
0.838637,1.41679,22.8395,8.78196,-7.92025
0.845587,1.41794,22.8405,8.78866,-7.91871
0.869371,1.422,22.8444,8.81148,-7.91329
0.894617,1.42685,22.8484,8.83596,-7.90854
0.910769,1.42984,22.8507,8.85154,-7.905
0.917355,1.43092,22.8518,8.85781,-7.90325
0.957257,1.43701,22.8604,8.89519,-7.89232
0.971566,1.43925,22.8634,8.90848,-7.88793
0.978417,1.44027,22.8651,8.91481,-7.88591
1.01579,1.44568,22.8747,8.9494,-7.87556
1.02941,1.44803,22.878,8.96201,-7.87152
1.03755,1.44935,22.8804,8.96929,-7.86887
1.04605,1.45082,22.8822,8.97732,-7.86669
1.04999,1.4515,22.8827,8.98116,-7.86597
