"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,2.87987,13.847,-19.7987,-11.7437
0.0612209,2.90446,13.8017,-19.8083,-11.7036
0.0852927,2.913,13.7842,-19.813,-11.6878
0.132327,2.92922,13.7488,-19.8222,-11.6582
0.154658,2.93546,13.7313,-19.8257,-11.6448
0.175082,2.94044,13.7155,-19.8294,-11.6323
0.176598,2.9407,13.7144,-19.8297,-11.6314
0.272756,2.96102,13.6427,-19.8449,-11.5691
0.321926,2.97211,13.6065,-19.8551,-11.5375
0.383252,2.98597,13.5597,-19.8678,-11.4999
0.38334,2.98599,13.5597,-19.8678,-11.4998
0.405205,2.99012,13.5425,-19.8711,-11.4866
0.419088,2.99253,13.5321,-19.8731,-11.4777
0.48,3.00297,13.4853,-19.8811,-11.4396
0.514999,3.00816,13.4595,-19.8872,-11.4167
0.559413,3.0152,13.4272,-19.8933,-11.3868
0.648061,3.0331,13.364,-19.9083,-11.3265
0.706934,3.04911,13.3223,-19.9145,-11.2854
0.729535,3.05458,13.3055,-19.9162,-11.2703
0.769772,3.06198,13.2764,-19.9203,-11.2428
0.853,3.08012,13.2147,-19.9277,-11.1876
0.855707,3.08081,13.2127,-19.928,-11.1857
0.938257,3.09895,13.1509,-19.9361,-11.1316
0.956026,3.10305,13.1379,-19.9383,-11.1196
1.02136,3.11763,13.0918,-19.945,-11.0738
1.02415,3.11827,13.0899,-19.9453,-11.0718
1.04628,3.12335,13.0748,-19.9477,-11.0559
1.09133,3.13334,13.0438,-19.9559,-11.0243
1.12482,3.13955,13.021,-19.9593,-10.9999
1.19512,3.15464,12.9699,-19.9694,-10.9527
1.23688,3.164,12.9389,-19.9745,-10.9252
1.24871,3.16673,12.9303,-19.9762,-10.9173
1.3073,3.18048,12.8869,-19.9865,-10.8793
1.35928,3.19361,12.849,-19.997,-10.8453
1.41623,3.20778,12.809,-20.0092,-10.8066
1.48619,3.22302,12.7617,-20.0225,-10.7568
1.53374,3.23443,12.7286,-20.031,-10.7238
1.57839,3.244,12.696,-20.0383,-10.6942
1.59007,3.24609,12.6879,-20.0401,-10.6859
1.61038,3.24918,12.673,-20.0434,-10.6725
1.65082,3.25459,12.6442,-20.0507,-10.6451
1.66251,3.25606,12.6361,-20.0528,-10.637
1.69676,3.26124,12.6123,-20.059,-10.6131
1.76341,3.27208,12.5668,-20.0726,-10.5663
1.76886,3.27291,12.563,-20.0736,-10.5626
1.83898,3.28535,12.5126,-20.0908,-10.517
1.88608,3.29021,12.4786,-20.0979,-10.4851
1.88621,3.29023,12.4785,-20.0979,-10.485
1.90266,3.29229,12.4664,-20.1013,-10.4744
1.92443,3.29404,12.4504,-20.105,-10.4602
1.93353,3.2947,12.4438,-20.1067,-10.4541
1.99724,3.29965,12.3979,-20.119,-10.4117
2.01707,3.30134,12.384,-20.1228,-10.398
2.07688,3.3075,12.3424,-20.1355,-10.357
2.09326,3.30897,12.3315,-20.1386,-10.3451
2.13257,3.31418,12.3048,-20.1477,-10.3178
2.17741,3.31978,12.2727,-20.1602,-10.2891
2.21422,3.32405,12.2474,-20.1695,-10.264
2.24544,3.32569,12.2246,-20.1766,-10.2439
2.2498,3.32594,12.2214,-20.1777,-10.2411
2.24993,3.32595,12.2213,-20.1777,-10.241
2.25256,3.3261,12.2194,-20.1783,-10.2393
2.25571,3.32621,12.2172,-20.1791,-10.2372
2.32802,3.32638,12.1657,-20.1936,-10.1886
2.35899,3.32703,12.1441,-20.2001,-10.1673
2.38561,3.32691,12.126,-20.2065,-10.1489
2.41374,3.32744,12.1069,-20.2131,-10.1294
2.44908,3.32814,12.0831,-20.221,-10.1044
2.45144,3.32818,12.0815,-20.2215,-10.1028
2.47844,3.32862,12.0627,-20.2279,-10.0845
2.52125,3.32711,12.0331,-20.2372,-10.055
2.5238,3.32682,12.0313,-20.2376,-10.0532
2.5652,3.32212,12.0029,-20.2464,-10.0244
2.60214,3.31666,11.9769,-20.2546,-9.99948
2.79753,3.30414,11.844,-20.2983,-9.86312
2.80224,3.30415,11.8408,-20.2995,-9.85985
2.81055,3.30366,11.8352,-20.3014,-9.85407
2.86584,3.29852,11.7989,-20.3155,-9.81481
2.90491,3.29297,11.7719,-20.3239,-9.78777
2.90834,3.2923,11.7696,-20.3245,-9.78538
3.16651,3.26766,11.5967,-20.3772,-9.60099
3.2032,3.26844,11.5715,-20.3839,-9.57524
3.23514,3.26861,11.5494,-20.3913,-9.55334
3.26467,3.26667,11.5281,-20.3971,-9.53374
3.26751,3.26629,11.5261,-20.3977,-9.53179
3.40052,3.25181,11.434,-20.4214,-9.43882
3.46189,3.24712,11.3921,-20.4345,-9.3959
3.58828,3.24529,11.3082,-20.4604,-9.30507
3.65107,3.24739,11.2651,-20.4718,-9.26082
3.65424,3.2472,11.2628,-20.4725,-9.25879
3.73669,3.24078,11.2056,-20.4846,-9.20064
3.78197,3.23621,11.1743,-20.4925,-9.16888
3.97143,3.22653,11.0479,-20.5227,-9.03096
3.9716,3.22653,11.0478,-20.5228,-9.03084
4.01219,3.22656,11.0221,-20.5284,-9.00001
4.05863,3.22703,10.9913,-20.5354,-8.96595
4.0894,3.22601,10.9703,-20.5385,-8.94361
4.11426,3.22337,10.9534,-20.5418,-8.92574
4.19563,3.21388,10.8989,-20.5532,-8.86635
4.33911,3.2068,10.8034,-20.5793,-8.76255
4.40211,3.20711,10.7622,-20.5867,-8.71541
4.41467,3.20642,10.7536,-20.5876,-8.7063
4.46328,3.20147,10.7204,-20.5936,-8.67129
4.47033,3.20029,10.716,-20.5941,-8.66587
4.67701,3.18068,10.5741,-20.6303,-8.51999
4.74528,3.17557,10.5289,-20.6415,-8.47004
4.80283,3.16598,10.4896,-20.6493,-8.42879
4.80451,3.16562,10.4885,-20.6493,-8.42751
4.98359,3.13841,10.3646,-20.6789,-8.30165
4.98918,3.13747,10.3607,-20.68,-8.29778
5.05181,3.12488,10.319,-20.6917,-8.25254
5.11076,3.11275,10.2756,-20.7043,-8.21468
5.26703,3.08626,10.1634,-20.7232,-8.10759
5.32207,3.08097,10.1235,-20.7351,-8.07152
5.36848,3.07664,10.0908,-20.7465,-8.04067
5.44551,3.06316,10.0392,-20.7621,-7.98562
5.73736,3.02559,9.83164,-20.8003,-7.78404
5.7605,3.02319,9.8158,-20.8046,-7.76772
5.79538,3.0148,9.79223,-20.8081,-7.74225
5.85515,3.00182,9.75012,-20.816,-7.70059
6.04906,2.98346,9.60927,-20.8413,-7.56973
6.11855,2.98156,9.55958,-20.8494,-7.52183
6.12299,2.98123,9.55652,-20.8499,-7.51864
6.15952,2.9764,9.53028,-20.8528,-7.49341
6.19504,2.96978,9.50476,-20.8569,-7.46902
6.31357,2.9505,9.41905,-20.873,-7.38876
6.36577,2.94166,9.38099,-20.8777,-7.35334
6.41655,2.93099,9.34394,-20.8816,-7.31884
6.43106,2.92806,9.33321,-20.8842,-7.30941
6.43888,2.92624,9.32727,-20.8855,-7.30451
6.45602,2.92269,9.31385,-20.8902,-7.2949
6.46244,2.92045,9.30897,-20.8915,-7.29093
6.5028,2.89353,9.27955,-20.8956,-7.26361
6.52771,2.87729,9.26253,-20.902,-7.24659
6.5971,2.82675,9.2116,-20.9184,-7.2024
6.59732,2.82658,9.21143,-20.9184,-7.20226
6.60327,2.82216,9.20694,-20.9199,-7.19864
6.62605,2.8026,9.18943,-20.9217,-7.1842
6.69707,2.74112,9.13328,-20.9268,-7.14101
6.70191,2.73697,9.12957,-20.9274,-7.13794
6.72228,2.71928,9.11384,-20.9302,-7.12533
6.73879,2.70449,9.10104,-20.9336,-7.11547
6.81549,2.636,9.04108,-20.9398,-7.06804
6.81553,2.63596,9.04105,-20.9398,-7.06802
6.81744,2.63423,9.03953,-20.9401,-7.06688
6.8404,2.61323,9.02148,-20.9426,-7.0529
6.89922,2.56092,8.9757,-20.9486,-7.01648
6.90698,2.55402,8.96961,-20.9485,-7.01166
7.04237,2.43807,8.86243,-20.9413,-6.92926
7.06207,2.42223,8.84801,-20.9465,-6.91684
7.1526,2.35029,8.77803,-20.9624,-6.86168
7.23955,2.28316,8.70968,-20.9759,-6.80964
7.30653,2.23563,8.65671,-20.9857,-6.76984
7.36946,2.19104,8.60728,-20.9978,-6.73283
7.3917,2.17671,8.59026,-21.0019,-6.7191
7.56556,2.07469,8.45366,-21.0256,-6.61419
7.62881,2.04581,8.40241,-21.0271,-6.57715
7.64072,2.04057,8.39256,-21.0268,-6.57046
7.65527,2.034,8.3807,-21.026,-6.56208
7.7059,2.00884,8.3386,-21.03,-6.53425
7.8216,1.95979,8.24564,-21.0408,-6.46621
7.87783,1.93967,8.20081,-21.0474,-6.43291
7.92274,1.9262,8.16618,-21.0538,-6.40505
8.0398,1.90455,8.07361,-21.06,-6.33365
8.08288,1.90107,8.03928,-21.0641,-6.30797
8.13008,1.89667,7.99974,-21.0645,-6.28218
8.14406,1.89536,7.98782,-21.0647,-6.27489
8.16692,1.89318,7.9687,-21.0657,-6.26241
8.17909,1.89165,7.95852,-21.0654,-6.25573
8.24741,1.8856,7.90318,-21.066,-6.21566
8.27693,1.88442,7.87973,-21.0659,-6.19775
8.28176,1.88446,7.8759,-21.0661,-6.19481
8.40907,1.89806,7.77491,-21.0651,-6.11729
8.47071,1.91342,7.72503,-21.0645,-6.08108
8.47131,1.91355,7.72457,-21.0646,-6.08071
8.4722,1.91377,7.72386,-21.0648,-6.08019
8.48852,1.91778,7.71088,-21.0677,-6.07073
8.5272,1.9269,7.67885,-21.0712,-6.04934
8.55789,1.9348,7.65371,-21.0724,-6.03178
8.55794,1.9348,7.65367,-21.0724,-6.03175
8.56356,1.93592,7.64937,-21.0736,-6.02833
8.59083,1.94036,7.62798,-21.0795,-6.01249
8.68753,1.9638,7.55202,-21.0911,-5.95379
8.79763,2.00483,7.468,-21.1041,-5.88382
8.86293,2.03685,7.41591,-21.1037,-5.84444
8.90831,2.05807,7.37809,-21.1047,-5.81939
8.92797,2.06704,7.36214,-21.1065,-5.80802
8.95124,2.0774,7.34323,-21.1066,-5.79448
8.99825,2.0994,7.3045,-21.1075,-5.76784
9.14237,2.17196,7.19164,-21.121,-5.67923
9.14962,2.17605,7.18592,-21.122,-5.67489
9.18985,2.19808,7.15484,-21.1293,-5.65041
9.20602,2.20794,7.14215,-21.1304,-5.64045
9.21052,2.21079,7.13862,-21.1306,-5.63767
9.23217,2.2226,7.12171,-21.1327,-5.62431
9.23257,2.22281,7.12139,-21.1327,-5.62407
9.24614,2.22765,7.11113,-21.1317,-5.61525
9.28871,2.23069,7.08262,-21.1328,-5.58365
9.3049,2.23165,7.07145,-21.1328,-5.57193
9.35861,2.23466,7.0335,-21.1318,-5.53395
9.38712,2.23647,7.01415,-21.1317,-5.513
9.43179,2.23872,6.98239,-21.1358,-5.48186
9.43743,2.23865,6.97826,-21.1364,-5.47806
9.44753,2.23833,6.97107,-21.1374,-5.47105
9.4975,2.23752,6.93505,-21.1444,-5.43713
9.57521,2.23011,6.88261,-21.1488,-5.37996
