"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,3.37292,9.27481,-32.1939,-9.56909
0.0314872,3.37524,9.24722,-32.1941,-9.55392
0.0474839,3.37581,9.233,-32.1944,-9.5466
0.0486672,3.37582,9.23193,-32.1945,-9.54609
0.12693,3.37569,9.16147,-32.1937,-9.51204
0.130125,3.37568,9.15855,-32.1934,-9.51079
0.199429,3.36731,9.09541,-32.1923,-9.48223
0.207487,3.36603,9.08803,-32.192,-9.47901
0.267073,3.35497,9.03291,-32.1912,-9.45639
0.273484,3.3534,9.02711,-32.1915,-9.45368
0.330106,3.33769,8.97564,-32.1967,-9.43066
0.343504,3.33361,8.96354,-32.1987,-9.42525
0.359122,3.32822,8.94975,-32.2013,-9.41842
0.388262,3.3177,8.92385,-32.2064,-9.40606
0.406239,3.31101,8.90788,-32.209,-9.39824
0.417683,3.30647,8.89772,-32.211,-9.39336
0.49208,3.27528,8.83357,-32.2267,-9.35912
0.505542,3.26962,8.82166,-32.2292,-9.35336
0.513691,3.2657,8.8144,-32.231,-9.3501
0.535477,3.25377,8.79537,-32.2351,-9.34034
0.58253,3.22815,8.75359,-32.2419,-9.31979
0.68607,3.1726,8.66037,-32.2527,-9.27603
0.695015,3.16808,8.65224,-32.2527,-9.27231
0.709776,3.15974,8.63908,-32.2524,-9.26563
0.720297,3.15357,8.62979,-32.252,-9.26072
0.727754,3.14912,8.62316,-32.2516,-9.25731
0.743065,3.13829,8.60966,-32.2523,-9.25013
0.931423,3.01284,8.44556,-32.2527,-9.15765
0.985357,2.97979,8.39771,-32.2488,-9.13309
1.00694,2.96658,8.37871,-32.2467,-9.12306
1.05244,2.93687,8.33859,-32.2444,-9.10173
1.06939,2.92568,8.32387,-32.2437,-9.09335
1.09482,2.90812,8.30151,-32.2433,-9.08125
1.11068,2.89718,8.28793,-32.2443,-9.0731
1.13686,2.87925,8.26503,-32.2422,-9.06061
1.3861,2.71982,8.04829,-32.2311,-8.93803
1.38649,2.71958,8.04796,-32.231,-8.93786
1.44054,2.68426,8.00237,-32.2277,-8.90901
1.50129,2.6442,7.94998,-32.2208,-8.87904
1.58611,2.59106,7.87507,-32.1951,-8.84862
1.63155,2.56166,7.83478,-32.1868,-8.82933
1.65013,2.54993,7.81854,-32.1838,-8.82083
1.69752,2.51835,7.77814,-32.1788,-8.79655
1.85003,2.43367,7.65178,-32.1713,-8.71149
1.85031,2.43354,7.65156,-32.1713,-8.71132
1.88509,2.41813,7.62379,-32.172,-8.6904
1.89688,2.41269,7.61419,-32.1724,-8.68356
1.94866,2.38548,7.57137,-32.1626,-8.65612
1.96847,2.37574,7.55542,-32.1605,-8.64458
2.05382,2.33136,7.48746,-32.164,-8.59304
2.05408,2.33122,7.48724,-32.164,-8.59291
2.07007,2.32263,7.47372,-32.1627,-8.58449
2.29606,2.22353,7.28612,-32.1305,-8.46266
2.29865,2.22262,7.28401,-32.1302,-8.46117
2.36995,2.19632,7.22623,-32.1176,-8.42137
2.42321,2.1759,7.18351,-32.1083,-8.39095
2.45035,2.16628,7.16193,-32.1083,-8.3745
2.54215,2.13483,7.0892,-32.1083,-8.3185
2.62259,2.11017,7.02578,-32.0975,-8.2702
2.69678,2.0914,6.96864,-32.0873,-8.22398
2.75729,2.07633,6.92248,-32.0783,-8.18592
2.77098,2.07315,6.91189,-32.0772,-8.17732
2.81451,2.06292,6.8795,-32.0755,-8.14829
2.8427,2.05643,6.85816,-32.0752,-8.12986
2.93182,2.03123,6.78964,-32.0585,-8.07538
3.02064,2.01076,6.72287,-32.0401,-8.01979
3.06447,2.00266,6.69126,-32.0311,-7.99079
3.07481,2.00071,6.68363,-32.0296,-7.98397
3.11971,1.99145,6.65168,-32.0227,-7.95319
3.12365,1.9906,6.64886,-32.0221,-7.9505
3.17537,1.98092,6.61057,-32.0138,-7.91674
3.21669,1.9737,6.57937,-32.004,-7.89146
3.22155,1.97291,6.57568,-32.003,-7.88848
3.28833,1.96474,6.52648,-31.9914,-7.84485
3.3509,1.96059,6.4821,-31.9798,-7.80225
3.35514,1.96033,6.47914,-31.979,-7.79934
3.37799,1.95881,6.46269,-31.9744,-7.78416
3.46602,1.95662,6.40179,-31.9553,-7.72353
3.48821,1.95668,6.38689,-31.9514,-7.70755
3.55663,1.9608,6.33921,-31.9398,-7.65987
3.58308,1.9631,6.32013,-31.9356,-7.64204
3.59923,1.96435,6.30894,-31.9329,-7.63074
3.62504,1.96641,6.29117,-31.9296,-7.6123
3.66097,1.96961,6.26558,-31.9254,-7.58743
3.66293,1.96982,6.2642,-31.9252,-7.58606
3.72508,1.97413,6.22173,-31.9128,-7.54241
3.73459,1.97523,6.21544,-31.9107,-7.53558
3.86202,1.99155,6.12879,-31.8709,-7.45105
3.86544,1.99213,6.12654,-31.8697,-7.44876
3.93285,2.00594,6.08073,-31.8533,-7.40212
3.94604,2.00898,6.07144,-31.8511,-7.39302
3.97288,2.01355,6.05345,-31.8452,-7.374
4.00276,2.01867,6.03412,-31.8401,-7.35179
4.04709,2.02657,6.00434,-31.8321,-7.31994
4.08563,2.03297,5.97918,-31.8209,-7.29299
4.16007,2.04771,5.92926,-31.7966,-7.2434
4.19508,2.05569,5.90681,-31.7831,-7.22014
4.21662,2.06041,5.89239,-31.7756,-7.20603
4.27301,2.07412,5.85563,-31.7641,-7.16484
4.29752,2.07774,5.83951,-31.7556,-7.14843
4.33708,2.08437,5.81441,-31.7446,-7.11991
4.33712,2.08438,5.81439,-31.7446,-7.11988
4.34904,2.08592,5.80717,-31.7406,-7.11128
4.34921,2.08594,5.80706,-31.7406,-7.11116
