"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,3.11815,-23.1235,454.109,164.802
0.00433858,3.11996,-23.1278,454.109,164.802
0.0692691,3.13904,-23.1899,454.127,164.808
0.154051,3.16574,-23.2712,454.149,164.818
0.15972,3.16705,-23.2765,454.151,164.819
0.223218,3.18264,-23.3356,454.17,164.832
0.224144,3.18284,-23.3364,454.17,164.832
0.28147,3.19259,-23.3894,454.188,164.846
0.295915,3.19513,-23.4028,454.192,164.849
0.322393,3.19858,-23.4272,454.201,164.854
0.372732,3.20023,-23.4724,454.219,164.867
0.4457,3.19686,-23.5368,454.246,164.888
0.505313,3.19541,-23.5902,454.265,164.907
0.52393,3.19522,-23.6073,454.27,164.913
0.605047,3.19223,-23.6803,454.29,164.941
0.716499,3.18823,-23.7776,454.319,164.988
0.716696,3.18823,-23.7778,454.319,164.988
0.728757,3.18807,-23.7884,454.321,164.993
0.781522,3.1886,-23.8347,454.332,165.016
0.802755,3.18864,-23.8535,454.335,165.025
0.821846,3.18701,-23.87,454.338,165.034
0.868714,3.18198,-23.9107,454.345,165.056
0.931723,3.17181,-23.9661,454.354,165.085
0.931904,3.17178,-23.9663,454.354,165.085
0.940777,3.1701,-23.9738,454.355,165.09
1.04882,3.14817,-24.068,454.37,165.14
1.10317,3.13782,-24.114,454.378,165.168
1.17611,3.12276,-24.1762,454.389,165.205
1.27831,3.10404,-24.2609,454.402,165.26
1.32505,3.09668,-24.2982,454.409,165.288
1.54721,3.07965,-24.4688,454.44,165.426
1.57361,3.07742,-24.4895,454.444,165.442
1.5808,3.07662,-24.4951,454.445,165.447
1.62663,3.07219,-24.5298,454.452,165.476
1.63451,3.07157,-24.5357,454.453,165.481
1.73268,3.06383,-24.6097,454.463,165.545
1.73614,3.06352,-24.6123,454.464,165.547
1.81141,3.05733,-24.6681,454.472,165.597
1.81309,3.05719,-24.6694,454.473,165.598
1.87856,3.05304,-24.7195,454.481,165.639
1.92672,3.04897,-24.7552,454.486,165.671
2.0319,3.0413,-24.8322,454.496,165.742
2.05374,3.03974,-24.8472,454.499,165.758
2.1458,3.0352,-24.9107,454.513,165.823
2.19689,3.03438,-24.9469,454.522,165.858
2.23515,3.03325,-24.9723,454.53,165.885
2.27328,3.0316,-24.9987,454.537,165.912
2.32294,3.02935,-25.0345,454.543,165.946
2.33885,3.02835,-25.0459,454.544,165.957
2.38684,3.02346,-25.0798,454.551,165.99
2.44595,3.01559,-25.1197,454.561,166.032
2.53726,3.00618,-25.1881,454.568,166.092
2.56738,3.00331,-25.2092,454.574,166.113
2.58635,3.00099,-25.2232,454.576,166.125
2.63774,2.99457,-25.2628,454.58,166.158
2.64479,2.99364,-25.2681,454.58,166.163
2.69122,2.98672,-25.304,454.583,166.192
2.70642,2.98423,-25.3154,454.585,166.202
2.71355,2.98289,-25.3206,454.585,166.207
2.74503,2.97659,-25.343,454.591,166.228
2.78204,2.96933,-25.3694,454.597,166.253
2.82588,2.95837,-25.4003,454.607,166.283
2.83653,2.95555,-25.4079,454.61,166.29
2.87744,2.94458,-25.4358,454.623,166.317
2.90824,2.93703,-25.4571,454.633,166.336
2.9146,2.93547,-25.4617,454.635,166.34
2.91468,2.93545,-25.4617,454.635,166.341
2.91912,2.93441,-25.4649,454.637,166.343
3.02026,2.91206,-25.533,454.67,166.41
3.0256,2.91093,-25.5362,454.672,166.414
3.11991,2.89121,-25.6013,454.695,166.478
3.2002,2.87976,-25.6547,454.716,166.535
3.21923,2.87709,-25.6671,454.722,166.548
3.28684,2.86942,-25.7137,454.74,166.593
3.33633,2.86497,-25.7491,454.753,166.625
3.36209,2.86206,-25.7676,454.76,166.642
3.37485,2.86075,-25.7773,454.762,166.65
3.41333,2.85702,-25.8074,454.767,166.673
3.44708,2.85401,-25.8334,454.77,166.694
3.46808,2.852,-25.8484,454.774,166.708
3.70818,2.86678,-26.0285,454.797,166.866
