"Distance","Diameter","RAS_R","RAS_A","RAS_S"
0,3.03893,-23.1452,453.972,164.729
0.0410429,3.09929,-23.1643,454.008,164.724
0.131377,3.13857,-23.2331,454.058,164.755
0.139153,3.14068,-23.2397,454.061,164.757
0.190722,3.15842,-23.2811,454.087,164.774
0.196284,3.15997,-23.2855,454.09,164.776
0.199546,3.16064,-23.2882,454.092,164.777
0.22561,3.16585,-23.3094,454.104,164.786
0.260175,3.17055,-23.3385,454.119,164.796
0.282887,3.17342,-23.3577,454.13,164.803
0.354328,3.18368,-23.4186,454.16,164.824
0.402628,3.18944,-23.4605,454.178,164.84
0.427344,3.19176,-23.4819,454.187,164.848
0.427854,3.1918,-23.4824,454.187,164.849
0.520013,3.19469,-23.563,454.218,164.881
0.520425,3.19471,-23.5633,454.218,164.881
0.552543,3.1956,-23.5916,454.228,164.893
0.600485,3.19494,-23.6343,454.243,164.909
0.70841,3.19127,-23.7271,454.278,164.951
0.882584,3.18776,-23.8702,454.335,165.033
0.947232,3.17961,-23.9254,454.347,165.064
0.947587,3.17956,-23.9257,454.348,165.064
0.990858,3.17228,-23.9637,454.353,165.084
1.00266,3.1701,-23.9738,454.355,165.09
1.1107,3.14817,-24.068,454.37,165.14
1.16505,3.13782,-24.114,454.378,165.168
1.23799,3.12276,-24.1762,454.389,165.205
1.34019,3.10404,-24.2609,454.402,165.26
1.38693,3.09668,-24.2982,454.409,165.288
1.60909,3.07965,-24.4688,454.44,165.426
1.63549,3.07742,-24.4895,454.444,165.442
1.64268,3.07662,-24.4951,454.445,165.447
1.68851,3.07219,-24.5298,454.452,165.476
1.69639,3.07157,-24.5357,454.453,165.481
1.79456,3.06383,-24.6097,454.463,165.545
1.79801,3.06352,-24.6123,454.464,165.547
1.87329,3.05733,-24.6681,454.472,165.597
1.87497,3.05719,-24.6694,454.473,165.598
1.94044,3.05304,-24.7195,454.481,165.639
1.9886,3.04897,-24.7552,454.486,165.671
2.09378,3.0413,-24.8322,454.496,165.742
2.11562,3.03974,-24.8472,454.499,165.758
2.20768,3.0352,-24.9107,454.513,165.823
2.25877,3.03438,-24.9469,454.522,165.858
2.29703,3.03325,-24.9723,454.53,165.885
2.33516,3.0316,-24.9987,454.537,165.912
2.38482,3.02935,-25.0345,454.543,165.946
2.40073,3.02835,-25.0459,454.544,165.957
2.44872,3.02346,-25.0798,454.551,165.99
2.50783,3.01559,-25.1197,454.561,166.032
2.59914,3.00618,-25.1881,454.568,166.092
2.62926,3.00331,-25.2092,454.574,166.113
2.64823,3.00099,-25.2232,454.576,166.125
2.69962,2.99457,-25.2628,454.58,166.158
2.70667,2.99364,-25.2681,454.58,166.163
2.7531,2.98672,-25.304,454.583,166.192
2.7683,2.98423,-25.3154,454.585,166.202
2.77543,2.98289,-25.3206,454.585,166.207
2.80691,2.97659,-25.343,454.591,166.228
2.84391,2.96933,-25.3694,454.597,166.253
2.88776,2.95837,-25.4003,454.607,166.283
2.89841,2.95555,-25.4079,454.61,166.29
2.93932,2.94458,-25.4358,454.623,166.317
2.97012,2.93703,-25.4571,454.633,166.336
2.97648,2.93547,-25.4617,454.635,166.34
2.9765,2.93546,-25.4617,454.635,166.34
2.981,2.93441,-25.4649,454.637,166.343
3.08214,2.91206,-25.533,454.67,166.41
3.08748,2.91093,-25.5362,454.672,166.414
3.18179,2.89121,-25.6013,454.695,166.478
3.26208,2.87976,-25.6547,454.716,166.535
3.28111,2.87709,-25.6671,454.722,166.548
3.34872,2.86942,-25.7137,454.74,166.593
3.39821,2.86497,-25.7491,454.753,166.625
3.42397,2.86206,-25.7676,454.76,166.642
3.43673,2.86075,-25.7773,454.762,166.65
3.47521,2.85702,-25.8074,454.767,166.673
3.50896,2.85401,-25.8334,454.77,166.694
3.52996,2.852,-25.8484,454.774,166.708
3.77006,2.86678,-26.0285,454.797,166.866
3.83876,2.88024,-26.078,454.81,166.912
3.86989,2.88588,-26.102,454.813,166.931
3.91958,2.89416,-26.139,454.822,166.963
3.92484,2.8949,-26.1431,454.823,166.966
3.95649,2.89829,-26.167,454.827,166.987
4.00728,2.90438,-26.2047,454.834,167.02
4.0492,2.91189,-26.2355,454.84,167.048
4.04956,2.91196,-26.2358,454.84,167.048
4.14045,2.93057,-26.3008,454.852,167.11
4.20153,2.94909,-26.3443,454.861,167.152
4.23508,2.95997,-26.3682,454.867,167.175
4.24108,2.96193,-26.3727,454.868,167.179
4.29519,2.9793,-26.4093,454.882,167.216
4.34061,2.99225,-26.4418,454.892,167.246
4.39698,3.00906,-26.4812,454.906,167.284
4.40792,3.01218,-26.4885,454.909,167.291
4.52167,3.04591,-26.5673,454.931,167.37
4.58392,3.06714,-26.61,454.94,167.415
4.63036,3.0836,-26.6427,454.948,167.447
4.63917,3.08665,-26.6486,454.949,167.453
4.64336,3.08807,-26.6513,454.95,167.456
4.66854,3.0963,-26.6678,454.955,167.475
4.72975,3.11235,-26.7091,454.969,167.518
4.75451,3.1165,-26.7243,454.975,167.536
4.82579,3.13013,-26.7706,454.99,167.588
4.86422,3.13626,-26.7931,455.001,167.618
