Distance,Diameter,Radius,,Text File Input
0,2.91293,1.456465,,0 1.456465 0
0.0296226,2.91902,1.45951,,0.0296226 1.45951 0
0.0981433,2.9302,1.4651,,0.0981433 1.4651 0
0.16002,2.93955,1.469775,,0.16002 1.469775 0
0.161095,2.93962,1.46981,,0.161095 1.46981 0
0.257079,2.95329,1.476645,,0.257079 1.476645 0
0.268402,2.95486,1.47743,,0.268402 1.47743 0
0.293798,2.95675,1.478375,,0.293798 1.478375 0
0.469509,2.98263,1.491315,,0.469509 1.491315 0
0.541533,2.99872,1.49936,,0.541533 1.49936 0
0.558458,3.00216,1.50108,,0.558458 1.50108 0
0.630395,3.01643,1.508215,,0.630395 1.508215 0
0.706076,3.03227,1.516135,,0.706076 1.516135 0
0.747278,3.04261,1.521305,,0.747278 1.521305 0
0.791639,3.05282,1.52641,,0.791639 1.52641 0
0.872712,3.0728,1.5364,,0.872712 1.5364 0
0.877692,3.07404,1.53702,,0.877692 1.53702 0
0.93151,3.08546,1.54273,,0.93151 1.54273 0
0.959742,3.09182,1.54591,,0.959742 1.54591 0
0.999571,3.09971,1.549855,,0.999571 1.549855 0
1.05253,3.11072,1.55536,,1.05253 1.55536 0
1.05261,3.11074,1.55537,,1.05261 1.55537 0
1.07127,3.11518,1.55759,,1.07127 1.55759 0
1.10858,3.12303,1.561515,,1.10858 1.561515 0
1.10864,3.12304,1.56152,,1.10864 1.56152 0
1.12508,3.12648,1.56324,,1.12508 1.56324 0
1.18007,3.13937,1.569685,,1.18007 1.569685 0
1.18009,3.13937,1.569685,,1.18009 1.569685 0
1.18092,3.13957,1.569785,,1.18092 1.569785 0
1.22493,3.14848,1.57424,,1.22493 1.57424 0
1.25155,3.15292,1.57646,,1.25155 1.57646 0
1.26422,3.15458,1.57729,,1.26422 1.57729 0
1.30139,3.15734,1.57867,,1.30139 1.57867 0
1.33487,3.15944,1.57972,,1.33487 1.57972 0
1.33493,3.15944,1.57972,,1.33493 1.57972 0
1.33959,3.15962,1.57981,,1.33959 1.57981 0
1.35057,3.15995,1.579975,,1.35057 1.579975 0
1.44233,3.15999,1.579995,,1.44233 1.579995 0
1.49945,3.15513,1.577565,,1.49945 1.577565 0
1.56413,3.15035,1.575175,,1.56413 1.575175 0
1.5786,3.14897,1.574485,,1.5786 1.574485 0
1.63707,3.14081,1.570405,,1.63707 1.570405 0
1.63999,3.14041,1.570205,,1.63999 1.570205 0
1.67018,3.13573,1.567865,,1.67018 1.567865 0
1.78036,3.11556,1.55778,,1.78036 1.55778 0
1.78831,3.1141,1.55705,,1.78831 1.55705 0
1.81074,3.10879,1.554395,,1.81074 1.554395 0
1.89867,3.08378,1.54189,,1.89867 1.54189 0
1.93152,3.07221,1.536105,,1.93152 1.536105 0
1.93456,3.07111,1.535555,,1.93456 1.535555 0
1.98546,3.05207,1.526035,,1.98546 1.526035 0
2.05175,3.03066,1.51533,,2.05175 1.51533 0
2.08462,3.01981,1.509905,,2.08462 1.509905 0
2.10248,3.0136,1.5068,,2.10248 1.5068 0
2.16235,2.99406,1.49703,,2.16235 1.49703 0
2.19272,2.98472,1.49236,,2.19272 1.49236 0
2.23015,2.97464,1.48732,,2.23015 1.48732 0
