Distance,Diameter,Radius,,Text File Input
0,2.39001,1.195005,,0 1.195005 0
0.0414178,2.38429,1.192145,,0.0414178 1.192145 0
0.0870975,2.37891,1.189455,,0.0870975 1.189455 0
0.153601,2.37151,1.185755,,0.153601 1.185755 0
0.161649,2.37106,1.18553,,0.161649 1.18553 0
0.238942,2.36935,1.184675,,0.238942 1.184675 0
0.24714,2.36923,1.184615,,0.24714 1.184615 0
0.248568,2.36911,1.184555,,0.248568 1.184555 0
0.348727,2.36165,1.180825,,0.348727 1.180825 0
0.358158,2.36115,1.180575,,0.358158 1.180575 0
0.373924,2.35946,1.17973,,0.373924 1.17973 0
0.47226,2.35074,1.17537,,0.47226 1.17537 0
0.528464,2.34953,1.174765,,0.528464 1.174765 0
0.591582,2.35031,1.175155,,0.591582 1.175155 0
0.608659,2.35057,1.175285,,0.608659 1.175285 0
0.639869,2.35084,1.17542,,0.639869 1.17542 0
0.686823,2.34937,1.174685,,0.686823 1.174685 0
0.694783,2.34875,1.174375,,0.694783 1.174375 0
0.814504,2.34013,1.170065,,0.814504 1.170065 0
0.821312,2.33981,1.169905,,0.821312 1.169905 0
0.932725,2.33531,1.167655,,0.932725 1.167655 0
0.95183,2.3354,1.1677,,0.95183 1.1677 0
1.03219,2.33433,1.167165,,1.03219 1.167165 0
1.03481,2.33411,1.167055,,1.03481 1.167055 0
1.11372,2.32047,1.160235,,1.11372 1.160235 0
1.13324,2.3178,1.1589,,1.13324 1.1589 0
1.20767,2.31306,1.15653,,1.20767 1.15653 0
1.28657,2.30654,1.15327,,1.28657 1.15327 0
1.28695,2.3065,1.15325,,1.28695 1.15325 0
1.31086,2.30402,1.15201,,1.31086 1.15201 0
1.41696,2.28807,1.144035,,1.41696 1.144035 0
1.44058,2.28473,1.142365,,1.44058 1.142365 0
1.45477,2.28235,1.141175,,1.45477 1.141175 0
1.46721,2.28087,1.140435,,1.46721 1.140435 0
1.56492,2.26796,1.13398,,1.56492 1.13398 0
1.59415,2.26497,1.132485,,1.59415 1.132485 0
1.71209,2.25937,1.129685,,1.71209 1.129685 0
1.71232,2.25936,1.12968,,1.71232 1.12968 0
1.78568,2.25541,1.127705,,1.78568 1.127705 0
1.80643,2.25436,1.12718,,1.80643 1.12718 0
1.88481,2.24793,1.123965,,1.88481 1.123965 0
1.88663,2.24782,1.12391,,1.88663 1.12391 0
1.99491,2.24269,1.121345,,1.99491 1.121345 0
2.03594,2.24223,1.121115,,2.03594 1.121115 0
2.08072,2.24127,1.120635,,2.08072 1.120635 0
2.08673,2.24128,1.12064,,2.08673 1.12064 0
2.13318,2.23965,1.119825,,2.13318 1.119825 0
2.18252,2.23782,1.11891,,2.18252 1.11891 0
2.20019,2.23688,1.11844,,2.20019 1.11844 0
2.25979,2.23267,1.116335,,2.25979 1.116335 0
2.31595,2.23059,1.115295,,2.31595 1.115295 0
2.39776,2.22767,1.113835,,2.39776 1.113835 0
2.40396,2.22752,1.11376,,2.40396 1.11376 0
2.45844,2.22745,1.113725,,2.45844 1.113725 0
2.49286,2.22852,1.11426,,2.49286 1.11426 0
2.54495,2.22939,1.114695,,2.54495 1.114695 0
2.56227,2.2291,1.11455,,2.56227 1.11455 0
2.62072,2.22822,1.11411,,2.62072 1.11411 0
2.64406,2.22766,1.11383,,2.64406 1.11383 0
2.67929,2.2261,1.11305,,2.67929 1.11305 0
2.76391,2.22485,1.112425,,2.76391 1.112425 0
2.77286,2.22475,1.112375,,2.77286 1.112375 0
2.84092,2.22479,1.112395,,2.84092 1.112395 0
2.84433,2.22479,1.112395,,2.84433 1.112395 0
